when casting the key part of the voice of moses , most people's first candidate would probably not be the controversial actor val kilmer ( the saint and the island of dr . 	Translation	Positive	Negative	EmotionRationale
moreau ) , but he was dreamworks's choice in their first traditionally animated movie , the prince of egypt . 	moreau ) , but he was dreamworks's choice in their first traditionally animated movie , the prince of egypt .	1	-1	 moreau[0] but[0] he[0] was[0] dreamworks's[0] choice[0] in[0] their[0] first[0] traditionally[0] animated[0] movie[0] the[0] prince[0] of[0] egypt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the selection of kilmer proved to be a wise one , but the biggest risk dreamworks took wasn't in the casting department . 	the selection of kilmer proved to be a wise one , but the biggest risk dreamworks took wasn't in the casting department .	1	-2	 the[0] selection[0] of[0] kilmer[0] proved[0] to[0] be[0] a[0] wise[0] one[0] but[0] the[0] biggest[0] risk[-1] dreamworks[0] took[0] wasn't[0] in[0] the[0] casting[0] department[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the radical departure was that they decided to use the medium of animation to make a biblical epic , a la cecil b . demille , to move our hearts and minds rather than to tickle our funny bones . 	the radical departure was that they decided to use the medium of animation to make a biblical epic , a la cecil b .<br> demille , to move our hearts and minds rather than to tickle our funny bones .	2	-2	 the[0] radical[-1] departure[0] was[0] that[0] they[0] decided[0] to[0] use[0] the[0] medium[0] of[0] animation[0] to[0] make[0] a[0] biblical[0] epic[0] a[0] la[0] cecil[0] b[0] [[Sentence=-2,1=word max, 1-5]] demille[0] to[0] move[0] our[0] hearts[0] and[0] minds[0] rather[0] than[0] to[0] tickle[0] our[0] funny[1] bones[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
in the press kit producer penney cox says that they wanted to make a film for adults based on sophisticated themes but one that did not exclude children . 	in the press kit producer penney cox says that they wanted to make a film for adults based on sophisticated themes but one that did not exclude children .	2	-1	 in[0] the[0] press[0] kit[0] producer[0] penney[0] cox[0] says[0] that[0] they[0] wanted[0] to[0] make[0] a[0] film[0] for[0] adults[0] based[0] on[0] sophisticated[0] themes[0] but[0] one[0] that[0] did[0] not[0] exclude[-1][NegatedDueToPreviousWord] children[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
animated movies for adults that are appropriate for kids and that are not comedies , now that is something fresh . 	animated movies for adults that are appropriate for kids and that are not comedies , now that is something fresh .	1	-1	 animated[0] movies[0] for[0] adults[0] that[0] are[0] appropriate[0] for[0] kids[0] and[0] that[0] are[0] not[0] comedies[0] now[0] that[0] is[0] something[0] fresh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let me admit up-front that i was quite skeptical as to whether dreamworks could pull it off . 	let me admit up-front that i was quite skeptical as to whether dreamworks could pull it off .	1	-2	 let[0] me[0] admit[0] up[0] front[0] that[0] i[0] was[0] quite[0] skeptical[-1] as[0] to[0] whether[0] dreamworks[0] could[0] pull[0] it[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dreamworks's antz seemed to be a movie not quite appropriate for any age group . 	dreamworks's antz seemed to be a movie not quite appropriate for any age group .	1	-1	 dreamworks's[0] antz[0] seemed[0] to[0] be[0] a[0] movie[0] not[0] quite[0] appropriate[0] for[0] any[0] age[0] group[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the prince of egypt may be harder to market than antz , but it is much more satisfying . 	the prince of egypt may be harder to market than antz , but it is much more satisfying .	2	-1	 the[0] prince[0] of[0] egypt[0] may[0] be[0] harder[0] to[0] market[0] than[0] antz[0] but[0] it[0] is[0] much[0] more[0] satisfying[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
like antz and unlike the more modest casting of pixar's a bug's life , the prince of egpyt has half of hollywood doing the voices . 	like antz and unlike the more modest casting of pixar's a bug's life , the prince of egpyt has half of hollywood doing the voices .	2	-1	 like[1] antz[0] and[0] unlike[0] the[0] more[0] modest[0] casting[0] of[0] pixar's[0] a[0] bug's[0] life[0] the[0] prince[0] of[0] egpyt[0] has[0] half[0] of[0] hollywood[0] doing[0] the[0] voices[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
danny glover is the voice of jethro , jeff goldblum of aaron , steve martin of hotep , helen mirren of the queen , michelle pfeiffer of tzipporah , martin short of huy and patrick stewart of seti . 	danny glover is the voice of jethro , jeff goldblum of aron , steve martin of hotep , helen mirren of the queen , michelle pfeiffer of tzipporah , martin short of huy and patrick stewart of seti .	1	-1	 danny[0] glover[0] is[0] the[0] voice[0] of[0] jethro[0] jeff[0] goldblum[0] of[0] aaron/aron[0] steve[0] martin[0] of[0] hotep[0] helen[0] mirren[0] of[0] the[0] queen[0] michelle[0] pfeiffer[0] of[0] tzipporah[0] martin[0] short[0] of[0] huy[0] and[0] patrick[0] stewart[0] of[0] seti[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
