getting it right is a far far cry from the teenage sex comedy you might expect from a summer movie about male virginity . 	Translation	Positive	Negative	EmotionRationale
the film was directed by randal kleiser , who brought us such bubble-gum classics as grease and the blue lagoon . 	the film was directed by randal kleiser , who brought us such bubble-gum classics as grease and the blue lagoon .	1	-1	 the[0] film[0] was[0] directed[0] by[0] randal[0] kleiser[0] who[0] brought[0] us[0] such[0] bubble[0] gum[0] classics[0] as[0] grease[0] and[0] the[0] blue[0] lagoon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but thanks to kleiser's surprisingly good direction and an intelligent script , getting it right is a pleasantly quiet , moving , and memorable film--one geared strictly toward a sophisticated , adult audience . 	but thanks to kleiser's surprisingly good direction and an intelligent script , getting it right is a pleasantly quiet , moving , and memorable film-one geared strictly toward a sophisticated , adult audience .	3	-2	 but[0] thanks[1] to[0] kleiser's[0] surprisingly[0] good[1] direction[0] and[0] an[0] intelligent[1] script[0] getting[0] it[0] right[0] is[0] a[0] pleasantly[2] quiet[0] moving[0] and[0] memorable[0] film[0] one[0] geared[0] strictly[-1] toward[0] a[0] sophisticated[0] adult[0] audience[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
getting it right stars jesse birdsall ( emily lloyd's boyfriend in wish you were here ) as gavin , a painfully shy 31-year-old hairdresser who lives at home with his parents and who--gasp--is still a virgin . 	getting it right stars jesse birdsall ( emily lloyd's boyfriend in wish you were here ) as gavin , a painfully shy 31-year-old hairdresser who lives at home with his parents and who-gasp-is still a virgin .	1	-4	 getting[0] it[0] right[0] stars[0] jesse[0] birdsall[0] emily[0] lloyd's[0] boyfriend[0] in[0] wish[0] you[0] were[0] here[0] as[0] gavin[0] a[0] painfully[-3] shy[-2][-1 MultiplePositiveWords] 31[0] year[0] old[0] hairdresser[0] who[0] lives[0] at[0] home[0] with[0] his[0] parents[0] and[0] who[0] gasp[0] is[0] still[0] a[0] virgin[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
gavin has no problem whatsoever making small talk with the elderly women who clamor for his services at the hair salon , but expose him to a single 30-year-old beauty and he's a mess . 	gavin has no problem whatsoever making small talk with the elderly women who clamor for his services at the hair salon , but expose him to a single 30-year-old beauty and he's a mess .	3	-2	 gavin[0] has[0] no[0] problem[-1] whatsoever[0] making[0] small[0] talk[0] with[0] the[0] elderly[0] women[0] who[0] clamor[0] for[0] his[0] services[0] at[0] the[0] hair[0] salon[0] but[0] expose[-1] him[0] to[0] a[0] single[0] 30[0] year[0] old[0] beauty[2] and[0] he's[0] a[0] mess[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
much to gavin's surprise , the woman who finally brings him out of his shell and robs him of his virginity is joan ( lynn redgrave ) , a rich , married , and lonely 45-year-old . 	much to gavin's surprise , the woman who finally brings him out of his shell and robs him of his virginity is joan ( lyn redgrave ) , a rich , married , and lonely 45-year-old .	1	-2	 much[0] to[0] gavin's[0] surprise[0] the[0] woman[0] who[0] finally[0] brings[0] him[0] out[0] of[0] his[0] shell[0] and[0] robs[0] him[0] of[0] his[0] virginity[0] is[0] joan[0] lynn/lyn[0] redgrave[0] a[0] rich[0] married[0] and[0] lonely[-1] 45[0] year[0] old[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
getting it right is the simple story of gavin's awkward and haphazard efforts to get it right ; that is , to find the right woman to fulfill his life . 	getting it right is the simple story of gavin's awkward and haphazard efforts to get it right ; that is , to find the right woman to fulfil his life .	1	-2	 getting[0] it[0] right[0] is[0] the[0] simple[0] story[0] of[0] gavin's[0] awkward[-1] and[0] haphazard[-1] efforts[0] to[0] get[0] it[0] right[0] that[0] is[0] to[0] find[0] the[0] right[0] woman[0] to[0] fulfill/fulfil[0] his[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
getting it right is one of those rare movies that devotes itself entirely to in-depth character development . 	getting it right is one of those rare movies that devotes itself entirely to in-depth character development .	3	-1	 getting[0] it[0] right[0] is[0] one[0] of[0] those[0] rare[0] movies[0] that[0] devotes[2] itself[0] entirely[0] to[0] in[0] depth[0] character[0] development[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
gavin's self-conscious voice-over narration of his experiences firmly thrusts us into his psyche . 	gavin's self-conscious voice-over narration of his experiences firmly thrusts us into his psyche .	1	-1	 gavin's[0] self[0] conscious[0] voice[0] over[0] narration[0] of[0] his[0] experiences[0] firmly[0] thrusts[0] us[0] into[0] his[0] psyche[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we observe his fascinating metamorphosis from shy and passive introversion to assertive and self-confident maturity . 	we observe his fascinating metamorphosis from shy and passive introversion to assertive and self-confident maturity .	2	-3	 we[0] observe[0] his[0] fascinating[0] metamorphosis[0] from[0] shy[-2] and[0] passive[0] introversion[0] to[0] assertive[0] and[0] self[0] confident[1] maturity[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
birdsall's superb , understated performance as gavin is the real backbone of the film ; he seems convincing and authentic throughout . 	birdsall's superb , understated performance as gavin is the real backbone of the film ; he seems convincing and authentic throughout .	1	-1	 birdsall's[0] superb[0] understated[0] performance[0] as[0] gavin[0] is[0] the[0] real[0] backbone[0] of[0] the[0] film[0] he[0] seems[0] convincing[0] and[0] authentic[0] throughout[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the charm of getting it right also lies in the wide array of people who inhabit or invade gavin's life . 	the charm of getting it right also lies in the wide array of people who inhabit or invade gavin's life .	2	-3	 the[0] charm[1] of[0] getting[0] it[0] right[0] also[0] lies[-2] in[0] the[0] wide[0] array[0] of[0] people[0] who[0] inhabit[0] or[0] invade[-1] gavin's[0] life[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
despite her limited screen time , redgrave makes quite a splash in the movie as gavin's middle-aged seducer . 	despite her limited screen time , redgrave makes quite a splash in the movie as gavin's middle-aged seducer .	1	-1	 despite[0] her[0] limited[0] screen[0] time[0] redgrave[0] makes[0] quite[0] a[0] splash[0] in[0] the[0] movie[0] as[0] gavin's[0] middle[0] aged[0] seducer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for a supporting character , joan is unusually and impressively complex , thanks in large part to redgrave's magnificent performance . 	for a supporting character , joan is unusually and impressively complex , thanks in large part to redgrave's magnificent performance .	4	-1	 for[0] a[0] supporting[1] character[0] joan[0] is[0] unusually[0] and[0] impressively[1] complex[0] thanks[1] in[0] large[0] part[0] to[0] redgrave's[0] magnificent[3] performance[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
