along his carreer , mel gibson has collected several successes , not only from an economic point of view but also from an artistic point of view . 	Translation	Positive	Negative	EmotionRationale
for all that , i think no one could guess the skills and abilities now disclosed in braveheart . 	for all that , i think no one could guess the skills and abilities now disclosed in braveheart .	3	-1	 for[0] all[0] that[0] i[0] think[0] no[0] one[0] could[0] guess[0] the[0] skills[0] and[0] abilities[0] now[0] disclosed[0] in[0] braveheart[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the australian actor decided to produce and direct a film about sir william wallace , a popular scotch hero of the 13th century , where he would also perform the principal role . 	the australian actor decided to produce and direct a film about sir william wallace , a popular scotch hero of the 13th century , where he would also perform the principal role .	3	-1	 the[0] australian[0] actor[0] decided[0] to[0] produce[0] and[0] direct[0] a[0] film[0] about[0] sir[0] william[0] wallace[0] a[0] popular[0] scotch[0] hero[2] of[0] the[0] 13th[0] century[0] where[0] he[0] would[0] also[0] perform[0] the[0] principal[0] role[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
accepting so huge challenge , mel gibson run the risk of stain all his work of years , with a suppoosed failure , just to see recognized , by everyone , all his potentialities and , that way , to consolidate his position in hollywood . 	accepting so huge challenge , mel gibson run the risk of stain all his work of years , with a supposed failure , just to see recognized , by everyone , all his potentialities and , that way , to consolidate his position in hollywood .	1	-3	 accepting[0] so[0] huge[0] challenge[-1] mel[0] gibson[0] run[0] the[0] risk[-1] of[0] stain[-1] all[0] his[0] work[0] of[0] years[0] with[0] a[0] suppoosed/supposed[0] failure[-2] just[0] to[0] see[0] recognized[0] by[0] everyone[0] all[0] his[0] potentialities[0] and[0] that[0] way[0] to[0] consolidate[0] his[0] position[0] in[0] hollywood[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it was , definitely , an enormous risk but i'm sure mel knew exactly well what he was going to face . 	it was , definitely , an enormous risk but i'm sure mel knew exactly well what he was going to face .	1	-2	 it[0] was[0] definitely[0] an[0] enormous[0] risk[-1] but[0] i'm[0] sure[0] mel[0] knew[0] exactly[0] well[0] what[0] he[0] was[0] going[0] to[0] face[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
braveheart is , in fact , a magnificent and magisterial film . 	braveheart is , in fact , a magnificent and magisterial film .	4	-1	 braveheart[2] is[0] in[0] fact[0] a[0] magnificent[3] and[0] magisterial[0] film[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
for three hours we are completely absorbed by the narrative's rhyitm which never gives place to a single moment of monotony or uninterest . 	for three hours we are completely absorbed by the narrative's rhyitm which never gives place to a single moment of monotony or uninterest .	1	-2	 for[0] three[0] hours[0] we[0] are[0] completely[0] absorbed[0] by[0] the[0] narrative's[0] rhyitm[0] which[0] never[0] gives[0] place[0] to[0] a[0] single[0] moment[0] of[0] monotony[-1] or[0] uninterest[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the william wallace's story is the story of so many others brave liberty's defenders who fought and gave the life for that essential value , along the centuries . 	the william wallace's story is the story of so many others brave liberty's defenders who fought and gave the life for that essential value , along the centuries .	3	-3	 the[0] william[0] wallace's[0] story[0] is[0] the[0] story[0] of[0] so[0] many[0] others[0] brave[2] liberty's[0] defenders[0] who[0] fought[-2] and[0] gave[0] the[0] life[0] for[0] that[0] essential[0] value[1] along[0] the[0] centuries[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
seeing himself and his people victims of injustices and violent repression , william wallace dares to face the powerful edward i , king of england , in a war by the autonomy of scotland . 	seeing himself and his people victims of injustices and violent repression , william wallace dares to face the powerful edward i , king of england , in a war by the autonomy of scotland .	1	-3	 seeing[0] himself[0] and[0] his[0] people[0] victims[-2] of[0] injustices[0] and[0] violent[-2] repression[-1] william[0] wallace[0] dares[0] to[0] face[0] the[0] powerful[0] edward[0] i[0] king[0] of[0] england[0] in[0] a[0] war[-2] by[0] the[0] autonomy[0] of[0] scotland[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as the victories succeed the number of fighters with wallace goes growing up . 	as the victories succeed the number of fighters with wallace goes growing up .	3	-3	 as[0] the[0] victories[0] succeed[2] the[0] number[0] of[0] fighters[-2] with[0] wallace[0] goes[0] growing[0] up[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
his courage and inteligence are admired by everyone , including the princess isabelle of wales , wife of edward's son . 	his courage and inteligence are admired by everyone , including the princess isabelle of wales , wife of edward's son .	3	-1	 his[0] courage[1] and[0] inteligence[0] are[0] admired[2] by[0] everyone[0] including[0] the[0] princess[0] isabelle[0] of[0] wales[0] wife[0] of[0] edward's[0] son[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , william wallace was also surrounded by enemies and some of them were closer than he thought . 	however , william wallace was also surrounded by enemies and some of them were closer than he thought .	1	-2	 however[0] william[0] wallace[0] was[0] also[0] surrounded[0] by[0] enemies[-1] and[0] some[0] of[0] them[0] were[0] closer[0] than[0] he[0] thought[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
braveheart may not be an historically corrected movie but the nature of its message make us think about the importance that we give to liberty , nowadays . 	braveheart may not be an historically corrected movie but the nature of its message make us think about the importance that we give to liberty , nowadays .	3	-1	 braveheart[2] may[0] not[0] be[0] an[0] historically[0] corrected[0] movie[0] but[0] the[0] nature[0] of[0] its[0] message[0] make[0] us[0] think[0] about[0] the[0] importance[0] that[0] we[0] give[0] to[0] liberty[0] nowadays[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
mel gibson directs with a lot of brilliancy a brilliant cast . 	mel gibson directs with a lot of brilliancy a brilliant cast .	2	-1	 mel[0] gibson[0] directs[0] with[0] a[0] lot[0] of[0] brilliancy[1] a[0] brilliant[1] cast[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
patrick mcgoohan has a very nice performance as edward i , the king longshank . 	patrick mcgoohan has a very nice performance as edward i , the king longshank .	3	-1	 patrick[0] mcgoohan[0] has[0] a[0] very[0] nice[1][1 LastWordBoosterStrength] performance[0] as[0] edward[0] i[0] the[0] king[0] longshank[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the scene when he waits for the death and loses his voice is really good . 	the scene when he waits for the death and loses his voice is really good .	3	-3	 the[0] scene[0] when[0] he[0] waits[0] for[0] the[0] death[-2] and[0] loses[-1] his[0] voice[0] is[0] really[0] good[1][1 LastWordBoosterStrength] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
sophie marceau , as princess isabelle , has along the movie no more than fifteen minutes of performance but mel gibson gave to those minutes such a very special treatment that princess isabelle soon becomes one of the major characters in braveheart . 	sophie marceau , as princess isabelle , has along the movie no more than fifteen minutes of performance but mel gibson gave to those minutes such a very special treatment that princess isabelle soon becomes one of the major characters in braveheart .	3	-1	 sophie[0] marceau[0] as[0] princess[0] isabelle[0] has[0] along[0] the[0] movie[0] no[0] more[0] than[0] fifteen[0] minutes[0] of[0] performance[0] but[0] mel[0] gibson[0] gave[0] to[0] those[0] minutes[0] such[0] a[0] very[0] special[1][1 LastWordBoosterStrength] treatment[0] that[0] princess[0] isabelle[0] soon[0] becomes[0] one[0] of[0] the[0] major[0] characters[0] in[0] braveheart[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i also liked the performances of angus macfadyen , as robert the bruce , and , of course , mel gibson , as william wallace . 	i also liked the performances of angus macfadyen , as robert the bruce , and , of course , mel gibson , as william wallace .	3	-1	 i[0] also[0] liked[2] the[0] performances[0] of[0] angus[0] macfadyen[0] as[0] robert[0] the[0] bruce[0] and[0] of[0] course[0] mel[0] gibson[0] as[0] william[0] wallace[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , i think this time the mel gibson's work as director was much better than his work as actor . 	however , i think this time the mel gibson's work as director was much better than his work as actor .	1	-1	 however[0] i[0] think[0] this[0] time[0] the[0] mel[0] gibson's[0] work[0] as[0] director[0] was[0] much[0] better[0] than[0] his[0] work[0] as[0] actor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the excellent music composed by james horner is another thing that helps braveheart to be the success that it really is . 	the excellent music composed by james horner is another thing that helps braveheart to be the success that it really is .	4	-1	 the[0] excellent[3] music[0] composed[0] by[0] james[0] horner[0] is[0] another[0] thing[0] that[0] helps[0] braveheart[2] to[0] be[0] the[0] success[2] that[0] it[0] really[0] is[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
when we join that music to the beautiful scotch landscapes , view by the camera of john toll , then we realize all the beauty of this film . 	when we join that music to the beautiful scotch landscapes , view by the camera of john toll , then we realize all the beauty of this film .	3	-1	 when[0] we[0] join[0] that[0] music[0] to[0] the[0] beautiful[2] scotch[0] landscapes[0] view[0] by[0] the[0] camera[0] of[0] john[0] toll[0] then[0] we[0] realize[0] all[0] the[0] beauty[2] of[0] this[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
braveheart is , in my opinion , one of the best movies of 1995 ! 	braveheart is , in my opinion , one of the best movies of 1995 !	3	-1	 braveheart[2] is[0] in[0] my[0] opinion[0] one[0] of[0] the[0] best[1] movies[0] of[0] 1995[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
