in 1995 , brian singer and christopher mcquarrie dreamed up a simple concept : the audience isn't stupid . 	Translation	Positive	Negative	EmotionRationale
from that , they went on and created the most plot-driven , intricately pieced movie in the last 25 years . 	from that , they went on and created the most plot-driven , intricately pieced movie in the last 25 years .	1	-1	 from[0] that[0] they[0] went[0] on[0] and[0] created[0] the[0] most[0] plot[0] driven[0] intricately[0] pieced[0] movie[0] in[0] the[0] last[0] 25[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the result : the usual suspects , one hell of a movie that redefines the word plot twist . 	the result : the usual suspects , one hell of a movie that redefines the word plot twist .	1	-2	 the[0] result[0] the[0] usual[0] suspects[0] one[0] hell[-1] of[0] a[0] movie[0] that[0] redefines[0] the[0] word[0] plot[0] twist[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story is convoluted , and is really confusing to read , although easy to follow on screen . 	the story is convoluted , and is really confusing to read , although easy to follow on screen .	1	-3	 the[0] story[0] is[0] convoluted[0] and[0] is[0] really[0] confusing[-1][-1 LastWordBoosterStrength] to[0] read[0] although[0] easy[0] to[0] follow[0] on[0] screen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
special investigator kujan ( chazz palminteri ) grills " verbal " kint ( kevin spacey ) , a crippled con-man who is the lone survivor of an la boat explosion that claimed more than 20 victims . 	special investigator kujan ( chaz palminteri ) grills " verbal " kint ( kevin spacey ) , a crippled con-man who is the lone survivor of an la boat explosion that claimed more than 20 victims .	2	-3	 special[1] investigator[0] kujan[0] chazz/chaz[0] palminteri[0] grills[0] verbal[0] kint[0] kevin[0] spacey[0] a[0] crippled[-1] con[0] man[0] who[0] is[0] the[0] lone[-1] survivor[0] of[0] an[0] la[0] boat[0] explosion[-1] that[0] claimed[0] more[0] than[0] 20[0] victims[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
kujan wants to confirm that his nemesis , the rogue cop keaton ( gabriel byrne ) , is actually dead . 	kujan wants to confirm that his nemesis , the rogue cop keaton ( gabriel byrne ) , is actually dead .	1	-3	 kujan[0] wants[0] to[0] confirm[0] that[0] his[0] nemesis[0] the[0] rogue[-1] cop[0] keaton[0] gabriel[0] byrne[0] is[0] actually[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
kint relates the majority of the film in flashback , beginning with the fateful day when five shifty guys meet in a police-station lineup in new york city . 	kint relates the majority of the film in flashback , beginning with the fateful day when five shifty guys meet in a police-station lineup in new york city .	1	-1	 kint[0] relates[0] the[0] majority[0] of[0] the[0] film[0] in[0] flashback[0] beginning[0] with[0] the[0] fateful[0] day[0] when[0] five[0] shifty[0] guys[0] meet[0] in[0] a[0] police[0] station[0] lineup[0] in[0] new[0] york[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
along with dour keaton , kint encounters cheerfully sociopathic mcmanus ( stephen baldwin ) , mordantly sarcastic hockney ( kevin pollak ) , and fenster ( benicio del toro ) , whose speech is virtually incomprehensible . 	along with dour keaton , kint encounters cheerfully sociopathic mcmanus ( stephen baldwin ) , mordantly sarcastic hockney ( kevin pollak ) , and fenster ( benicio del toro ) , whose speech is virtually incomprehensible .	3	-3	 along[0] with[0] dour[0] keaton[0] kint[0] encounters[0] cheerfully[2] sociopathic[0] mcmanus[0] stephen[0] baldwin[0] mordantly[0] sarcastic[-2] hockney[0] kevin[0] pollak[0] and[0] fenster[0] benicio[0] del[0] toro[0] whose[0] speech[0] is[0] virtually[0] incomprehensible[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
together they plot to steal a small fortune in gems from " new york's finest taxi service " --crooked cops who provide escort service for visiting drug kingpins . 	together they plot to steal a small fortune in gems from " new york's finest taxi service " -crooked cops who provide escort service for visiting drug kingpins .	1	-3	 together[0] they[0] plot[0] to[0] steal[-2] a[0] small[0] fortune[0] in[0] gems[0] from[0] new[0] york's[0] finest[0] taxi[-1] service[0] crooked[-1] cops[0] who[0] provide[0] escort[0] service[0] for[0] visiting[0] drug[0] kingpins[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what follows is a shell-game of violence and betrayal , all hinging on the identity of a mysterious villain called keyser soze . 	what follows is a shell-game of violence and betrayal , all hinging on the identity of a mysterious villain called keyser soze .	1	-4	 what[0] follows[0] is[0] a[0] shell[0] game[0] of[0] violence[-3] and[0] betrayal[-2] all[0] hinging[0] on[0] the[0] identity[0] of[0] a[0] mysterious[0] villain[-2] called[0] keyser[0] soze[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film is brilliantly compact : its the shortest 90 minutes you'll ever spend in a movie theater . 	the film is brilliantly compact : its the shortest 90 minutes you'll ever spend in a movie theater .	2	-1	 the[0] film[0] is[0] brilliantly[1] compact[0] its[0] the[0] shortest[0] 90[0] minutes[0] you'll[0] ever[0] spend[0] in[0] a[0] movie[0] theater[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the cast is exceptional . 	the cast is exceptional .	1	-1	 the[0] cast[0] is[0] exceptional[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
palminteri shines , he is brutally honest , a true cop , one who is going after the whole story because its there . 	palminteri shines , he is brutally honest , a true cop , one who is going after the whole story because its there .	2	-3	 palminteri[0] shines[0] he[0] is[0] brutally[-2] honest[0] a[0] true[1] cop[0] one[0] who[0] is[0] going[0] after[0] the[0] whole[0] story[0] because[0] its[0] there[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
byrne is terrific , his brooding character , his seriousness is needed to supplement the hysteria of benicio del toro , who is a riot as fenster . 	byrne is terrific , his brooding character , his seriousness is needed to supplement the hysteria of benicio del toro , who is a riot as fenster .	4	-2	 byrne[0] is[0] terrific[3] his[0] brooding[-1] character[0] his[0] seriousness[-1] is[0] needed[0] to[0] supplement[0] the[0] hysteria[-1] of[0] benicio[0] del[0] toro[0] who[0] is[0] a[0] riot[0] as[0] fenster[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
del toro is brilliant , his lines are a jumbled mess , you can't understand a word the man says , but it sure is damn funny . 	del toro is brilliant , his lines are a jumbled mess , you can't understand a word the man says , but it sure is damn funny .	2	-2	 del[0] toro[0] is[0] brilliant[1] his[0] lines[0] are[0] a[0] jumbled[0] mess[0] you[0] can't[0] understand[0] a[0] word[0] the[0] man[0] says[0] but[0] it[0] sure[0] is[0] damn[-1] funny[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
baldwin is also very good , he is careful , methodical , and cold , a chilling character with a nasty streak of hot-blooded sarcasm . 	baldwin is also very good , he is careful , methodical , and cold , a chilling character with a nasty streak of hot-blooded sarcasm .	3	-3	 baldwin[0] is[0] also[0] very[0] good[1][1 LastWordBoosterStrength] he[0] is[0] careful[0] methodical[0] and[0] cold[-1] a[0] chilling[0] character[0] with[0] a[0] nasty[-2] streak[0] of[0] hot[0] blooded[0] sarcasm[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
pollak is also terrific as usual , a very good character actor . 	pollak is also terrific as usual , a very good character actor .	4	-1	 pollak[0] is[0] also[0] terrific[3] as[0] usual[0] a[0] very[0] good[1][1 LastWordBoosterStrength] character[0] actor[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
however , this will be forever known as the film that launched kevin spacey . 	however , this will be forever known as the film that launched kevin spacey .	1	-1	 however[0] this[0] will[0] be[0] forever[0] known[0] as[0] the[0] film[0] that[0] launched[0] kevin[0] spacey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
spacey is simply breathtaking , he is a force on screen , giving a magnetic performance that jars the senses at the end of this twisting maze . 	spacey is simply breathtaking , he is a force on screen , giving a magnetic performance that jars the senses at the end of this twisting maze .	1	-2	 spacey[0] is[0] simply[0] breathtaking[0] he[0] is[0] a[0] force[-1] on[0] screen[0] giving[0] a[0] magnetic[0] performance[0] that[0] jars[0] the[0] senses[0] at[0] the[0] end[0] of[0] this[0] twisting[0] maze[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
spacey's performance will be remembered for years , for it is the best of his career , it may be the best supporting actor performance in the last 50 years . 	spacey's performance will be remembered for years , for it is the best of his career , it may be the best supporting actor performance in the last 50 years .	2	-1	 spacey's[0] performance[0] will[0] be[0] remembered[0] for[0] years[0] for[0] it[0] is[0] the[0] best[1] of[0] his[0] career[0] it[0] may[0] be[0] the[0] best[1] supporting[1] actor[0] performance[0] in[0] the[0] last[0] 50[0] years[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
verbal kint is a clever storyteller , weak , oppressed , and gleefully evil to the bone , yet pitiful , one who draws sympathy . 	verbal kint is a clever storyteller , weak , oppressed , and gleefully evil to the bone , yet pitiful , one who draws sympathy .	1	-3	 verbal[0] kint[0] is[0] a[0] clever[0] storyteller[0] weak[-1] oppressed[-2] and[0] gleefully[0] evil[-2] to[0] the[0] bone[0] yet[0] pitiful[-2] one[0] who[0] draws[0] sympathy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
