all those who were offended by there's something about mary should not tread in the waters of american pie , a gratuitously sexual rollercoaster ride of raunch . 	Translation	Positive	Negative	EmotionRationale
and while this uproariously funny , gross-out summer movie is basically an exercise in bad taste , it also demonstrates a surprising sweetness in the end . 	and while this uproariously funny , gross-out summer movie is basically an exercise in bad taste , it also demonstrates a surprising sweetness in the end .	3	-2	 and[0] while[0] this[0] uproariously[0] funny[1] gross[-1] out[0] summer[0] movie[0] is[0] basically[0] an[0] exercise[0] in[0] bad[-1] taste[0] it[0] also[0] demonstrates[0] a[0] surprising[0] sweetness[2] in[0] the[0] end[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
american pie is the latest entry to the offensive teenage-targeted fare this season . 	american pie is the latest entry to the offensive teenage-targeted fare this season .	1	-3	 american[0] pie[0] is[0] the[0] latest[0] entry[0] to[0] the[0] offensive[-2] teenage[0] targeted[0] fare[0] this[0] season[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i must question the studio that releases a movie like this . 	i must question the studio that releases a movie like this .	2	-1	 i[0] must[0] question[0] the[0] studio[0] that[0] releases[0] a[0] movie[0] like[1] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the producers are aiming these films at the 15-24 crowd , but while pushing the limit of possible sex and violence in an r-rated film . 	the producers are aiming these films at the 15-24 crowd , but while pushing the limit of possible sex and violence in an are-rated film .	1	-4	 the[0] producers[0] are[0] aiming[0] these[0] films[0] at[0] the[0] 15[0] -24[0] crowd[0] but[0] while[0] pushing[0] the[0] limit[0] of[0] possible[0] sex[0] and[0] violence[-3] in[0] an[0] r[0] rated[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
some have even been narrowly avoiding the dreaded nc-17 , a rating the mpaa gives when the adult content surpasses even that of a restricted movie . 	some have even been narrowly avoiding the dreaded nc-17 , a rating the mpa gives when the adult content surpasses even that of a restricted movie .	1	-4	 some[0] have[0] even[0] been[0] narrowly[0] avoiding[-1] the[0] dreaded[-3] nc[0] -17[0] a[0] rating[0] the[0] mpaa/mpa[0] gives[0] when[0] the[0] adult[0] content[0] surpasses[0] even[0] that[0] of[0] a[0] restricted[-1] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
american pie was threatened with an nc-17 , but after snipping a few scenes from the finished product , it was given an r . but at least this new addition is not as careless and unforgiving as something like south park . 	american pie was threatened with an nc-17 , but after snipping a few scenes from the finished product , it was given an are .<br> but at least this new addition is not as careless and unforgiving as something like south park .	2	-3	 american[0] pie[0] was[0] threatened[-2] with[0] an[0] nc[0] -17[0] but[0] after[0] snipping[0] a[0] few[0] scenes[0] from[0] the[0] finished[0] product[0] it[0] was[0] given[0] an[0] r[0] [[Sentence=-3,1=word max, 1-5]] but[0] at[0] least[0] this[0] new[0] addition[0] is[0] not[0] as[0] careless[-1][NegatedDueToPreviousWord] and[0] unforgiving[0] as[0] something[0] like[1] south[0] park[0] [[Sentence=-1,2=word max, 1-5]][[[2,-3 max of sentences]]]
it is sick , perverse , and ultimately disgusting - not to mention extremely funny . 	it is sick , perverse , and ultimately disgusting - not to mention extremely funny .	4	-4	 it[0] is[0] sick[-1] perverse[-1] and[0] ultimately[0] disgusting[-3] not[0] to[0] mention[0] extremely[0] funny[1][2 LastWordBoosterStrength] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
american pie is about four desperate teenagers who make a pact to lose their virginity by prom night . 	american pie is about four desperate teenagers who make a pact to lose their virginity by prom night .	1	-3	 american[0] pie[0] is[0] about[0] four[0] desperate[-2] teenagers[0] who[0] make[0] a[0] pact[0] to[0] lose[-1] their[0] virginity[0] by[0] prom[0] night[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jim ( jason biggs ) , kevin ( thomas ian nicholas ) , oz ( chris klein ) and finch ( eddie kaye thomas ) are a quartet of high school students in their senior year who think sex is something they must experience to be successful in their lives ahead . 	jim ( jason biggs ) , kevin ( thomas ian nicholas ) , oz ( chris klein ) and finch ( eddie kaye thomas ) are a quartet of high school students in their senior year who think sex is something they must experience to be successful in their lives ahead .	3	-1	 jim[0] jason[0] biggs[0] kevin[0] thomas[0] ian[0] nicholas[0] oz[0] chris[0] klein[0] and[0] finch[0] eddie[0] kaye[0] thomas[0] are[0] a[0] quartet[0] of[0] high[0] school[0] students[0] in[0] their[0] senior[0] year[0] who[0] think[0] sex[0] is[0] something[0] they[0] must[0] experience[0] to[0] be[0] successful[2] in[0] their[0] lives[0] ahead[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
jim inquires what it feels like when you reach third base , to which one of his friends replies :  like warm apple pie . . . ' . 	jim inquires what it feels like when you reach third base , to which one of his friends replies :  like warm apple pie .<br> .<br> .<br> ' .	2	-1	 jim[0] inquires[0] what[0] it[0] feels[0] like[1] when[0] you[0] reach[0] third[0] base[0] to[0] which[0] one[0] of[0] his[0] friends[1] replies[0] like[1] warm[0] apple[0] pie[0] [[Sentence=-1,2=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
of course , this prompts the scene unfairly exposed in the trailers , in which jim and a freshly baked pie have a very intimate moment in the kitchen corner . 	of course , this prompts the scene unfairly exposed in the trailers , in which jim and a freshly baked pie have a very intimate moment in the kitchen corner .	1	-2	 of[0] course[0] this[0] prompts[0] the[0] scene[0] unfairly[-1] exposed[-1] in[0] the[0] trailers[0] in[0] which[0] jim[0] and[0] a[0] freshly[0] baked[0] pie[0] have[0] a[0] very[0] intimate[0] moment[0] in[0] the[0] kitchen[0] corner[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are many moments , such as this , in which director paul weitz uses a game-plan similar to the one frequently displayed in mary : to cause the audience to break down laughing in disgusting disbelief . 	there are many moments , such as this , in which director paul weitz uses a game-plan similar to the one frequently displayed in mary : to cause the audience to break down laughing in disgusting disbelief .	2	-4	 there[0] are[0] many[0] moments[0] such[0] as[0] this[0] in[0] which[0] director[0] paul[0] weitz[0] uses[0] a[0] game[0] plan[0] similar[0] to[0] the[0] one[0] frequently[0] displayed[0] in[0] mary[0] to[0] cause[0] the[0] audience[0] to[0] break[0] down[0] laughing[1] in[0] disgusting[-3] disbelief[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
american pie is a hard-fought effort that has replenishing rewards if you manage to stick with it . 	american pie is a hard-fought effort that has replenishing rewards if you manage to stick with it .	2	-3	 american[0] pie[0] is[0] a[0] hard[0] fought[-2] effort[0] that[0] has[0] replenishing[0] rewards[1] if[0] you[0] manage[0] to[0] stick[0] with[0] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i loved the young cast in this movie . 	i loved the young cast in this movie .	4	-1	 i[0] loved[3] the[0] young[0] cast[0] in[0] this[0] movie[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
consider the subject matter that these actors have dealt with , obviously suggestiveness never rivaled in any of their previous projects , and you should appreciate their performances . 	consider the subject matter that these actors have dealt with , obviously suggestiveness never rivaled in any of their previous projects , and you should appreciate their performances .	1	-1	 consider[0] the[0] subject[0] matter[0] that[0] these[0] actors[0] have[0] dealt[0] with[0] obviously[0] suggestiveness[0] never[0] rivaled[0] in[0] any[0] of[0] their[0] previous[0] projects[0] and[0] you[0] should[0] appreciate[1][-1 LastWordBoosterStrength] their[0] performances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
