 " . . it's certainly more than just a monster story . . " 	Translation	Positive	Negative	EmotionRationale
- kenneth branagh , director/actor/co-writer of mary shelley's frankenstein . 	- kenneth branagh , director/actor/co-writer of mary shelley's frankenstein .	1	-1	 kenneth[0] branagh[0] director/actor/co[0] writer[0] of[0] mary[0] shelley's[0] frankenstein[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kenneth branagh's new motion picture had to compete with all the previous frankenstein-films made throughout the years in almost every part of the world , including the most controversial version of them all - directed by james whale . 	kenneth branagh's new motion picture had to compete with all the previous frankenstein-films made throughout the years in almost every part of the world , including the most controversial version of them all - directed by james whale .	1	-2	 kenneth[0] branagh's[0] new[0] motion[0] picture[0] had[0] to[0] compete[0] with[0] all[0] the[0] previous[0] frankenstein[0] films[0] made[0] throughout[0] the[0] years[0] in[0] almost[0] every[0] part[0] of[0] the[0] world[0] including[0] the[0] most[0] controversial[-1] version[0] of[0] them[0] all[0] directed[0] by[0] james[0] whale[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the dark and stormy nights , the lightning bolts , the charnel houses of spare body parts , the laboratory where victor frankenstein stirs his steaming cauldron of life are effectful . 	the dark and stormy nights , the lightning bolts , the charnel houses of spare body parts , the laboratory where victor frankenstein stirs his steaming cauldron of life are effectful .	1	-2	 the[0] dark[0] and[0] stormy[-1] nights[0] the[0] lightning[0] bolts[-1] the[0] charnel[0] houses[0] of[0] spare[0] body[0] parts[0] the[0] laboratory[0] where[0] victor[0] frankenstein[0] stirs[0] his[0] steaming[0] cauldron[0] of[0] life[0] are[0] effectful[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the center of the film , quieter and more thoughtful , contains the real story . 	but the center of the film , quieter and more thoughtful , contains the real story .	2	-1	 but[0] the[0] center[0] of[0] the[0] film[0] quieter[0] and[0] more[0] thoughtful[1] contains[0] the[0] real[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
horror-fans will probably be disappointed by the total lack of horror . 	horror-fans will probably be disappointed by the total lack of horror .	1	-4	 horror[-3] fans[0] will[0] probably[0] be[0] disappointed[-1] by[0] the[0] total[0] lack[-1][-1 LastWordBoosterStrength] of[0] horror[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
branagh has instead concentrated on serious issues : morality , philosophy and human elements of the story , and not on old fashioned horror cliches . 	branagh has instead concentrated on serious issues : morality , philosophy and human elements of the story , and not on old fashioned horror cliches .	1	-4	 branagh[0] has[0] instead[0] concentrated[0] on[0] serious[-1] issues[0] morality[0] philosophy[0] and[0] human[0] elements[0] of[0] the[0] story[0] and[0] not[0] on[0] old[0] fashioned[0] horror[-3] cliches[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his version is much closer to the book than all the previous adaptions of the classic novel . 	his version is much closer to the book than all the previous adaptions of the classic novel .	1	-1	 his[0] version[0] is[0] much[0] closer[0] to[0] the[0] book[0] than[0] all[0] the[0] previous[0] adaptions[0] of[0] the[0] classic[0] novel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film begins and ends somewhere in the arctic ocean . 	the film begins and ends somewhere in the arctic ocean .	1	-1	 the[0] film[0] begins[0] and[0] ends[0] somewhere[0] in[0] the[0] arctic[0] ocean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the year is 1794 . 	the year is 1794 .	1	-1	 the[0] year[0] is[0] 1794[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a bold captain is steering his ship through the unknown waters . 	a bold captain is steering his ship through the unknown waters .	1	-1	 a[0] bold[0] captain[0] is[0] steering[0] his[0] ship[0] through[0] the[0] unknown[0] waters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
