richard gere can be a commanding actor , but he's not always in great films . 	Translation	Positive	Negative	EmotionRationale
everything comes together here . 	everything comes together here .	1	-1	 everything[0] comes[0] together[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gere is a big time chicago defense attorney who takes on a seemingly unwinable case in hopes of even more publicity . 	gere is a big time chicago defense attorney who takes on a seemingly unwinable case in hopes of even more publicity .	2	-1	 gere[0] is[0] a[0] big[0] time[0] chicago[0] defense[0] attorney[0] who[0] takes[0] on[0] a[0] seemingly[0] unwinable[0] case[0] in[0] hopes[1] of[0] even[0] more[0] publicity[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it doesn't go exactly as he expects . 	it doesn't go exactly as he expects .	1	-1	 it[0] doesn't[0] go[0] exactly[0] as[0] he[0] expects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gere's client , aaron ( edward norton ) , is a shy stuttering tennessee boy who is accused of brutally murdering and mutilating a catholic archbishop . 	gere's client , aron ( edward norton ) , is a shy stuttering tennessee boy who is accused of brutally murdering and mutilating a catholic archbishop .	1	-5	 gere's[0] client[0] aaron/aron[0] edward[0] norton[0] is[0] a[0] shy[-2] stuttering[-1] tennessee[0] boy[0] who[0] is[0] accused[-1] of[0] brutally[-2] murdering[-3][-1 MultiplePositiveWords] and[0] mutilating[0] a[0] catholic[0] archbishop[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
the evidence is stacked against him . 	the evidence is stacked against him .	1	-2	 the[0] evidence[0] is[0] stacked[0] against[-1] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he was caught running from the scene covered in the bishop's blood . 	he was caught running from the scene covered in the bishop's blood .	1	-1	 he[0] was[0] caught[0] running[0] from[0] the[0] scene[0] covered[0] in[0] the[0] bishop's[0] blood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his bloody footprints are all over the murder scene . 	his bloody footprints are all over the murder scene .	1	-4	 his[0] bloody[-1] footprints[0] are[0] all[0] over[0] the[0] murder[-3] scene[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he has a relationship with the priest . 	he has a relationship with the priest .	1	-1	 he[0] has[0] a[0] relationship[0] with[0] the[0] priest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gere talks to the boy , believes that he is actually innocent and sets about finding the real killer . 	gere talks to the boy , believes that he is actually innocent and sets about finding the real killer .	2	-2	 gere[0] talks[0] to[0] the[0] boy[0] believes[0] that[0] he[0] is[0] actually[0] innocent[1] and[0] sets[0] about[0] finding[0] the[0] real[0] killer[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
despite the lawyer's proclamations that he doesn't care about the guilt of his clients and that the real thrill is gambling with people's lives , he becomes involved with aaron and is determined to free him . 	despite the lawyer's proclamations that he doesn't care about the guilt of his clients and that the real thrill is gambling with people's lives , he becomes involved with aron and is determined to free him .	4	-4	 despite[0] the[0] lawyer's[0] proclamations[0] that[0] he[0] doesn't[0] care[1] about[0] the[0] guilt[-3] of[0] his[0] clients[0] and[0] that[0] the[0] real[0] thrill[3] is[0] gambling[0] with[0] people's[0] lives[0] he[0] becomes[0] involved[0] with[0] aaron/aron[0] and[0] is[0] determined[0] to[0] free[0] him[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
lots of complications and twists . 	lots of complications and twists .	1	-2	 lots[0] of[0] complications[-1] and[0] twists[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the prosecuting attorney is gere's former co-worker and lover . 	the prosecuting attorney is gere's former co-worker and lover .	4	-2	 the[0] prosecuting[-1] attorney[0] is[0] gere's[0] former[0] co[0] worker[0] and[0] lover[3] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
they both work each other's motives to their legal advantages and it gets messy . 	they both work each other's motives to their legal advantages and it gets messy .	1	-1	 they[0] both[0] work[0] each[0] other's[0] motives[0] to[0] their[0] legal[0] advantages[0] and[0] it[0] gets[0] messy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her boss had major economic dealings with the archbishop that went sour and seems to have crime connections . 	her boss had major economic dealings with the archbishop that went sour and seems to have crime connections .	1	-2	 her[0] boss[0] had[0] major[0] economic[0] dealings[0] with[0] the[0] archbishop[0] that[0] went[0] sour[-1] and[0] seems[0] to[0] have[0] crime[-1] connections[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
aaron gets weirder and weirder as the trial goes on . 	aron gets weirder and weirder as the trial goes on .	1	-2	 aaron/aron[0] gets[0] weirder[-1] and[0] weirder[-1] as[0] the[0] trial[0] goes[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gere's case is falling apart and he is faced with about a dozen ethical dilemmas . 	gere's case is falling apart and he is faced with about a dozen ethical dilemmas .	1	-1	 gere's[0] case[0] is[0] falling[0] apart[0] and[0] he[0] is[0] faced[0] with[0] about[0] a[0] dozen[0] ethical[0] dilemmas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gere is exceptional as the well-dressed reserved counselor , but just once , i wanted to see him kick back and come out of his " suit " persona . 	gere is exceptional as the well-dressed reserved counselor , but just once , i wanted to see him kick back and come out of his " suit " persona .	1	-2	 gere[0] is[0] exceptional[0] as[0] the[0] well[0] dressed[0] reserved[0] counselor[0] but[0] just[0] once[0] i[0] wanted[0] to[0] see[0] him[0] kick[-1] back[0] and[0] come[0] out[0] of[0] his[0] suit[0] persona[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even when he loses it , you don't see very far inside . 	even when he loses it , you don't see very far inside .	1	-2	 even[0] when[0] he[0] loses[-1] it[0] you[0] don't[0] see[0] very[0] far[0] inside[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
norton's aaron is convincing : he comes across as the backwoods kid misplaced in the big city . 	norton's aron is convincing : he comes across as the backwoods kid misplaced in the big city .	1	-1	 norton's[0] aaron/aron[0] is[0] convincing[0] he[0] comes[0] across[0] as[0] the[0] backwoods[0] kid[0] misplaced[0] in[0] the[0] big[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the supporting cast does a fine job of holding together the story . 	the supporting cast does a fine job of holding together the story .	3	-1	 the[0] supporting[1] cast[0] does[0] a[0] fine[2] job[0] of[0] holding[0] together[0] the[0] story[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as with most of the effective courtroom dramas , the cinematography is crisp and rich . 	as with most of the effective courtroom dramas , the cinematography is crisp and rich .	1	-1	 as[0] with[0] most[0] of[0] the[0] effective[0] courtroom[0] dramas[0] the[0] cinematography[0] is[0] crisp[0] and[0] rich[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story will keep you on the edge of your seat . 	the story will keep you on the edge of your seat .	1	-1	 the[0] story[0] will[0] keep[0] you[0] on[0] the[0] edge[0] of[0] your[0] seat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nothing is what it seems . 	nothing is what it seems .	1	-1	 nothing[0] is[0] what[0] it[0] seems[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
