everyone's heard about this movie , and more specifically , * the * scene . 	Translation	Positive	Negative	EmotionRationale
everyone's heard the famous barnyard animal quote squealed ( no pun intended ) over and over . 	everyone's heard the famous barnyard animal quote squealed ( no pun intended ) over and over .	1	-1	 everyone's[0] heard[0] the[0] famous[0] barnyard[0] animal[0] quote[0] squealed[0] no[0] pun[0] intended[0] over[0] and[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and everyone's got to admit that they will never travel down a river again without thinking of deliverance . 	and everyone's got to admit that they will never travel down a river again without thinking of deliverance .	1	-1	 and[0] everyone's[0] got[0] to[0] admit[0] that[0] they[0] will[0] never[0] travel[0] down[0] a[0] river[0] again[0] without[0] thinking[0] of[0] deliverance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
good ! 	good !	2	-1	 good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that's what you're supposed to do ! 	that's what you're supposed to do !	1	-1	 that's[0] what[0] you're[0] supposed[0] to[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oh , if you are one of the ones who hasn't seen this yet , or you ( somehow ) haven't heard about what happens , here's your spoiler warning . 	oh , if you are one of the ones who hasn't seen this yet , or you ( somehow ) haven't heard about what happens , here's your spoiler warning .	1	-2	 oh[0] if[0] you[0] are[0] one[0] of[0] the[0] ones[0] who[0] hasn't[0] seen[0] this[0] yet[0] or[0] you[0] somehow[0] haven't[0] heard[0] about[0] what[0] happens[0] here's[0] your[0] spoiler[-1] warning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
deliverance was a real shocker for it's time ( 1972 ) . 	deliverance was a real shocker for it's time ( 1972 ) .	1	-3	 deliverance[0] was[0] a[0] real[0] shocker[-2] for[0] it's[0] time[0] 1972[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
major advances were being made in films , and deliverance made its own advances when it introduced a new horror into the film industry . 	major advances were being made in films , and deliverance made its own advances when it introduced a new horror into the film industry .	1	-4	 major[0] advances[0] were[0] being[0] made[0] in[0] films[0] and[0] deliverance[0] made[0] its[0] own[0] advances[0] when[0] it[0] introduced[0] a[0] new[0] horror[-3] into[0] the[0] film[0] industry[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when it was first released , it literally shocked the audiences . 	when it was first released , it literally shocked the audiences .	1	-3	 when[0] it[0] was[0] first[0] released[0] it[0] literally[0] shocked[-2] the[0] audiences[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it was something that , for the most part , had really never been seen on the big screen before ( among wide-release films with an r rating ) . 	it was something that , for the most part , had really never been seen on the big screen before ( among wide-release films with an are rating ) .	1	-1	 it[0] was[0] something[0] that[0] for[0] the[0] most[0] part[0] had[0] really[0] never[0] been[0] seen[0] on[0] the[0] big[0] screen[0] before[0] among[0] wide[0] release[0] films[0] with[0] an[0] r[0] rating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but by today's film standards and in today's world , such scenes as the one in deliverance can be reproduced in a way that isn't as shocking , although they can be even more graphic ( e . g . 	but by today's film standards and in today's world , such scenes as the one in deliverance can be reproduced in a way that isn't as shocking , although they can be even more graphic ( e .<br> grin� .	3	-1	 but[0] by[0] today's[0] film[0] standards[0] and[0] in[0] today's[0] world[0] such[0] scenes[0] as[0] the[0] one[0] in[0] deliverance[0] can[0] be[0] reproduced[0] in[0] a[0] way[0] that[0] isn't[0] as[0] shocking[-2][NegatedDueToPreviousWord] although[0] they[0] can[0] be[0] even[0] more[0] graphic[0] e[0] [[Sentence=-1,3=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
