'pleasantville' ( 1998 ) taps into hollywood's lack of integrity with subtle messages that can be easily missed 	Translation	Positive	Negative	EmotionRationale
 ( www . pleasantville . com ) april 2 , 1999 ( friday ) 	 ( w .<br> pleasantville .<br> com ) april 2 , 199 ( friday )	3	-1	 www/w[0] [[Sentence=-1,1=word max, 1-5]] pleasantville[2] [[Sentence=-1,3=word max, 1-5]] com[0] april[0] 2[0] 1999/199[0] friday[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
cast : tobey maguire , reese witherspoon , william h . macy , joan allen , j . t . 	cast : tobey maguire , reese witherspoon , william h .<br> macy , joan allen , j .<br> t .	1	-1	 cast[0] tobey[0] maguire[0] reese[0] witherspoon[0] william[0] h[0] [[Sentence=-1,1=word max, 1-5]] macy[0] joan[0] allen[0] j[0] [[Sentence=-1,1=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
walsh , jeff daniels 	walsh , jeff daniels	1	-1	 walsh[0] jeff[0] daniels[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mpaa rating : pg-13 for sexual content and thematic elements 	mpa rating : pg-13 for sexual content and thematic elements	1	-1	 mpaa/mpa[0] rating[0] pg[0] -13[0] for[0] sexual[0] content[0] and[0] thematic[0] elements[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
genre : drama 	genre : drama	1	-1	 genre[0] drama[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in my opinion : 	in my opinion :	1	-1	 in[0] my[0] opinion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in short : it takes a lot of careful observation to see the true morals and lessons brought out in this film ; one can easily be misled as to what the real message is . 	in short : it takes a lot of careful observation to see the true morals and lessons brought out in this film ; one can easily be misled as to what the real message is .	2	-1	 in[0] short[0] it[0] takes[0] a[0] lot[0] of[0] careful[0] observation[0] to[0] see[0] the[0] true[1] morals[0] and[0] lessons[0] brought[0] out[0] in[0] this[0] film[0] one[0] can[0] easily[0] be[0] misled[0] as[0] to[0] what[0] the[0] real[0] message[0] is[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
review : in a literally colorless world with an almost mechanical population , there is no room for transitioning variety or even the customary happenings of everyday life , such as rain , fire , or emotions . 	review : in a literally colorless world with an almost mechanical population , there is no room for transitioning variety or even the customary happenings of everyday life , such as rain , fire , or emotions .	1	-1	 review[0] in[0] a[0] literally[0] colorless[0] world[0] with[0] an[0] almost[0] mechanical[0] population[0] there[0] is[0] no[0] room[0] for[0] transitioning[0] variety[0] or[0] even[0] the[0] customary[0] happenings[0] of[0] everyday[0] life[0] such[0] as[0] rain[0] fire[0] or[0] emotions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the town of pleasantville has one adjective : pleasant . 	the town of pleasantville has one adjective : pleasant .	3	-1	 the[0] town[0] of[0] pleasantville[2] has[0] one[0] adjective[0] pleasant[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there is no sadness , no fear , no danger , no discomfort , no love , and no hate . 	there is no sadness , no fear , no danger , no discomfort , no love , and no hate .	3	-4	 there[0] is[0] no[0] sadness[-3] no[0] fear[-3] no[0] danger[-1] no[0] discomfort[-1] no[0] love[2] and[0] no[0] hate[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
