there's good news and bad news about mulan . 	Translation	Positive	Negative	EmotionRationale
the positive is that disney has found a happy medium between the heavy-handedness of pocahontas and the hunchback of notre dame and the childishness of hercules . 	the positive is that disney has found a happy medium between the heavy-handedness of pocahontas and the hunchback of notre dame and the childishness of hercules .	3	-1	 the[0] positive[2] is[0] that[0] disney[0] has[0] found[0] a[0] happy[1] medium[0] between[0] the[0] heavy[0] handedness[0] of[0] pocahontas[0] and[0] the[0] hunchback[0] of[0] notre[0] dame[0] and[0] the[0] childishness[0] of[0] hercules[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
on the other hand , the studio is pulling out all the stops on plot cliches and cheap laughs , several steps down from the days of the little mermaid and beauty and the beast . 	on the other hand , the studio is pulling out all the stops on plot cliches and cheap laughs , several steps down from the days of the little mermaid and beauty and the beast .	3	-2	 on[0] the[0] other[0] hand[0] the[0] studio[0] is[0] pulling[0] out[0] all[0] the[0] stops[0] on[0] plot[0] cliches[0] and[0] cheap[-1] laughs[1] several[0] steps[0] down[0] from[0] the[0] days[0] of[0] the[0] little[0] mermaid[0] and[0] beauty[2] and[0] the[0] beast[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but mulan is a step in the right direction and disney's best animated feature since the lion king . 	but mulan is a step in the right direction and disney's best animated feature since the lion king .	2	-1	 but[0] mulan[0] is[0] a[0] step[0] in[0] the[0] right[0] direction[0] and[0] disney's[0] best[1] animated[0] feature[0] since[0] the[0] lion[0] king[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after giving native americans a turn in pocahontas , disney has decided to turn a movie over to the asians . 	after giving native americans a turn in pocahontas , disney has decided to turn a movie over to the asians .	1	-1	 after[0] giving[0] native[0] americans[0] a[0] turn[0] in[0] pocahontas[0] disney[0] has[0] decided[0] to[0] turn[0] a[0] movie[0] over[0] to[0] the[0] asians[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mulan is set in feudal china and features the ever-popular heroine who marches to a different drum and wants to do more with her life than get married . 	mulan is set in feudal china and features the ever-popular heroine who marches to a different drum and wants to do more with her life than get married .	3	-3	 mulan[0] is[0] set[0] in[0] feudal[-2] china[0] and[0] features[0] the[0] ever[0] popular[0] heroine[2] who[0] marches[0] to[0] a[0] different[0] drum[0] and[0] wants[0] to[0] do[0] more[0] with[0] her[0] life[0] than[0] get[0] married[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
that's what we find out when young mulan ( voice of ming- na wen ) screws up her appointment with the matchmaker by letting a rogue cricket splash coffee all over her . 	that's what we find out when young mulan ( voice of ming- na wen ) screws up her appointment with the matchmaker by letting a rogue cricket splash coffee all over her .	1	-2	 that's[0] what[0] we[0] find[0] out[0] when[0] young[0] mulan[0] voice[0] of[0] ming[0] na[0] wen[0] screws[0] up[0] her[0] appointment[0] with[0] the[0] matchmaker[0] by[0] letting[0] a[0] rogue[-1] cricket[0] splash[0] coffee[0] all[0] over[0] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cartoons . . . 	cartoons .<br> .<br> .	1	-1	 cartoons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meanwhile , word comes from the emporer that one man from every family must join the army and help fight the huns . 	meanwhile , word comes from the emporer that one man from every family must join the army and help fight the huns .	1	-3	 meanwhile[0] word[0] comes[0] from[0] the[0] emporer[0] that[0] one[0] man[0] from[0] every[0] family[0] must[0] join[0] the[0] army[0] and[0] help[0] fight[-2] the[0] huns[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
since mulan's a girl , that means her decrepit old father must go . 	since mulan's a girl , that means her decrepit old father must go .	1	-1	 since[0] mulan's[0] a[0] girl[0] that[0] means[0] her[0] decrepit[0] old[0] father[0] must[0] go[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she pleads with the soldiers to have mercy on dear old dad , but that kind of groveling and desperation brings shame on her family . 	she pleads with the soldiers to have mercy on dear old dad , but that kind of groveling and desperation brings shame on her family .	2	-3	 she[0] pleads[0] with[0] the[0] soldiers[0] to[0] have[0] mercy[0] on[0] dear[1] old[0] dad[0] but[0] that[0] kind[1] of[0] groveling[0] and[0] desperation[-2] brings[0] shame[-2] on[0] her[0] family[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
