when 17 year old beau hall ( jonathan tucker , " the virgin suicides " ) gets in a car accident after drinking with his 30 year old companion , club owner darby reese ( josh lucas , " session 9 " ) , his mom , margaret ( tilda swinton , " the war zone " ) pays reese a visit to convince him to leave her son alone . 	Translation	Positive	Negative	EmotionRationale
instead , reese travels out to their lake tahoe home and lures beau out to the boat house where beau learns that his mother was right about reese . 	instead , reese travels out to their lake tahoe home and lures beau out to the boat house where beau learns that his mother was right about reese .	1	-1	 instead[0] reese[0] travels[0] out[0] to[0] their[0] lake[0] tahoe[0] home[0] and[0] lures[0] beau[0] out[0] to[0] the[0] boat[0] house[0] where[0] beau[0] learns[0] that[0] his[0] mother[0] was[0] right[0] about[0] reese[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the next morning margaret discovers darby's dead body on their beach and , suspecting the worst , weights it down in a distant part of the lake . 	the next morning margaret discovers darby's dead body on their beach and , suspecting the worst , weights it down in a distant part of the lake .	1	-3	 the[0] next[0] morning[0] margaret[0] discovers[0] darby's[0] dead[-2] body[0] on[0] their[0] beach[0] and[0] suspecting[0] the[0] worst[-2] weights[0] it[0] down[0] in[0] a[0] distant[0] part[0] of[0] the[0] lake[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but her troubles are just beginning , as she soon learns with the arrival of blackmailer alek spera ( goran visnjic , " practical magic " ) in " the deep end . " 	but her troubles are just beginning , as she soon learns with the arrival of blackmailer alek spera ( goran visnjic , " practical magic " ) in " the deep end .<br> "	1	-3	 but[0] her[0] troubles[-1] are[0] just[0] beginning[0] as[0] she[0] soon[0] learns[0] with[0] the[0] arrival[0] of[0] blackmailer[-2] alek[0] spera[0] goran[0] visnjic[0] practical[0] magic[0] in[0] the[0] deep[0] end[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the incredibly pale , red-headed scottish actress swinton immerses herself into the role of the reserved american super-mom whose life revolves around serving the needs of her three children and live-in father-in-law jack ( peter donat , " the game " ) . 	the incredibly pale , red-headed scottish actress swinton immerses herself into the role of the reserved american super-mom whose life revolves around serving the needs of her three children and live-in father-in-law jack ( peter donat , " the game " ) .	3	-1	 the[0] incredibly[0] pale[0] red[0] headed[0] scottish[0] actress[0] swinton[0] immerses[0] herself[0] into[0] the[0] role[0] of[0] the[0] reserved[0] american[0] super[2] mom[0] whose[0] life[0] revolves[0] around[0] serving[0] the[0] needs[0] of[0] her[0] three[0] children[0] and[0] live[0] in[0] father[0] in[0] law[0] jack[0] peter[0] donat[0] the[0] game[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she shows great strength while allowing other emotions to glimmer through - discomfort at challenging reese in his gay disco ( named the deep end ) , near panic at having to dive down to his body to retrieve car keys , or even wry humor when an attempt to get help from jack becomes hopelessly miscommunicated . 	she shows great strength while allowing other emotions to glimmer through - discomfort at challenging reese in his gay disco ( named the deep end ) , near panic at having to dive down to his body to retrieve car keys , or even wry humor when an attempt to get help from jack becomes hopelessly miscommunicated .	3	-4	 she[0] shows[0] great[2] strength[0] while[0] allowing[0] other[0] emotions[0] to[0] glimmer[0] through[0] discomfort[-1] at[0] challenging[0] reese[0] in[0] his[0] gay[-1] disco[0] named[0] the[0] deep[0] end[0] near[0] panic[-2] at[0] having[0] to[0] dive[0] down[0] to[0] his[0] body[0] to[0] retrieve[0] car[0] keys[0] or[0] even[0] wry[0] humor[2] when[0] an[0] attempt[0] to[0] get[0] help[0] from[0] jack[0] becomes[0] hopelessly[-3] miscommunicated[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
gradually her loneliness becomes apparent ( her husband's a naval officer , usually away at sea ) when her attempts to email him her concerns about beau are deleted and later , when a most unusual , yet chaste , romance turns tragic . 	gradually her loneliness becomes apparent ( her husband's a naval officer , usually away at sea ) when her attempts to email him her concerns about beau are deleted and later , when a most unusual , yet chaste , romance turns tragic .	4	-3	 gradually[0] her[0] loneliness[-1] becomes[0] apparent[0] her[0] husband's[0] a[0] naval[0] officer[0] usually[0] away[0] at[0] sea[0] when[0] her[0] attempts[0] to[0] email[0] him[0] her[0] concerns[-1] about[0] beau[0] are[0] deleted[0] and[0] later[0] when[0] a[0] most[0] unusual[0] yet[0] chaste[0] romance[3] turns[0] tragic[-2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
it's a terrific performance . 	it's a terrific performance .	4	-1	 it's[0] a[0] terrific[3] performance[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the stendahl syndrome-like script , adapted from elisabeth sanxay holding's 40's noir novel 'the blank wall' by directors scott mcgehee and david siegel , would be unbelievable if not for swinton and her costar visnjic . 	the stendahl syndrome-like script , adapted from elisabeth sanxay holding's 40's noir novel 'the blank wall' by directors scot mcgehee and david siegel , would be unbelievable if not for swinton and her costar visnjic .	2	-2	 the[0] stendahl[0] syndrome[0] like[1] script[0] adapted[0] from[0] elisabeth[0] sanxay[0] holding's[0] 40's[0] noir[0] novel[0] 'the[0] blank[0] wall'[0] by[0] directors[0] scott/scot[0] mcgehee[0] and[0] david[0] siegel[0] would[0] be[0] unbelievable[-1] if[0] not[0] for[0] swinton[0] and[0] her[0] costar[0] visnjic[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
alek spera is a wrong side of the tracks loser who arrives after reese's body has been discovered . 	alek spera is a wrong side of the tracks loser who arrives after reese's body has been discovered .	1	-3	 alek[0] spera[0] is[0] a[0] wrong[-1] side[0] of[0] the[0] tracks[0] loser[-2] who[0] arrives[0] after[0] reese's[0] body[0] has[0] been[0] discovered[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he shows margaret a videotape of beau having sex with reese and demands  50 , 000 or he'll turn the tape over to the reno police . 	he shows margaret a videotape of beau having sex with reese and demands  50 , 00 or he'll turn the tape over to the reno police .	1	-1	 he[0] shows[0] margaret[0] a[0] videotape[0] of[0] beau[0] having[0] sex[0] with[0] reese[0] and[0] demands[0] 50[0] 000/00[0] or[0] he'll[0] turn[0] the[0] tape[0] over[0] to[0] the[0] reno[0] police[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
