a welcome cinematic trend over the past couple of years has been to make the works of shakespeare more accessible to the younger audiences who are the vast majority of moviegoers by contemporizing the bard and altering the settings to familiar surroundings . 	Translation	Positive	Negative	EmotionRationale
a prime example of this is 1999's 10 things i hate about you , which was basically the taming of the shrew in a high school . 	a prime example of this is 199's 10 things i hate about you , which was basically the taming of the shrew in a high school .	1	-4	 a[0] prime[0] example[0] of[0] this[0] is[0] 1999's/199's[0] 10[0] things[0] i[0] hate[-3] about[0] you[0] which[0] was[0] basically[0] the[0] taming[0] of[0] the[0] shrew[-1] in[0] a[0] high[0] school[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
less successful was last year's adaptation of hamlet with ethan hawke as the heir apparent of the denmark corp . here the setting was the corporate world of new york . 	less successful was last year's adaptation of hamlet with ethan hawke as the heir apparent of the denmark corp .<br> here the setting was the corporate world of new york .	3	-1	 less[0] successful[2] was[0] last[0] year's[0] adaptation[0] of[0] hamlet[0] with[0] ethan[0] hawke[0] as[0] the[0] heir[0] apparent[0] of[0] the[0] denmark[0] corp[0] [[Sentence=-1,3=word max, 1-5]] here[0] the[0] setting[0] was[0] the[0] corporate[0] world[0] of[0] new[0] york[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
now comes o , a faithful retelling of one of the most tragic of shakespeare's tragedies . 	now comes o , a faithful retelling of one of the most tragic of shakespeare's tragedies .	2	-3	 now[0] comes[0] o[0] a[0] faithful[1] retelling[0] of[0] one[0] of[0] the[0] most[0] tragic[-2] of[0] shakespeare's[0] tragedies[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
like 10 things i hate about you , the stage is a high school - a private prep school where odin james ( mekhi phifer ) is the on-court general , the basketball team's standout player . 	like 10 things i hate about you , the stage is a high school - a private prep school where odin james ( mekhi phifer ) is the on-court general , the basketball team's standout player .	2	-4	 like[1] 10[0] things[0] i[0] hate[-3] about[0] you[0] the[0] stage[0] is[0] a[0] high[0] school[0] a[0] private[0] prep[0] school[0] where[0] odin[0] james[0] mekhi[0] phifer[0] is[0] the[0] on[0] court[0] general[0] the[0] basketball[0] team's[0] standout[0] player[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
julia stiles , featured in 10 things i hate about you as well as performing ophelia in hawke's hamlet , plays desi brable , odin's girlfriend , whose father also happens to be dean of the institution . 	julia stiles , featured in 10 things i hate about you as well as performing ophelia in hawke's hamlet , plays desi brable , odin's girlfriend , whose father also happens to be dean of the institution .	2	-4	 julia[0] stiles[0] featured[0] in[0] 10[0] things[0] i[0] hate[-3] about[0] you[0] as[0] well[0] as[0] performing[0] ophelia[0] in[0] hawke's[0] hamlet[0] plays[1] desi[0] brable[0] odin's[0] girlfriend[0] whose[0] father[0] also[0] happens[0] to[0] be[0] dean[0] of[0] the[0] institution[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
josh hartnett ( pearl harbor ) is on hand for the villainy , playing the scheming hugo , who sets the tragic wheels in motion . 	josh hartnett ( pearl harbor ) is on hand for the villainy , playing the scheming hugo , who sets the tragic wheels in motion .	2	-3	 josh[0] hartnett[0] pearl[0] harbor[0] is[0] on[0] hand[0] for[0] the[0] villainy[-2] playing[1] the[0] scheming[0] hugo[0] who[0] sets[0] the[0] tragic[-2] wheels[0] in[0] motion[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
o was actually filmed a couple of years ago , but was shelved because of the columbine high school tragedy . 	o was actually filmed a couple of years ago , but was shelved because of the columbine high school tragedy .	1	-3	 o[0] was[0] actually[0] filmed[0] a[0] couple[0] of[0] years[0] ago[0] but[0] was[0] shelved[0] because[0] of[0] the[0] columbine[0] high[0] school[0] tragedy[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the movie , directed by tim blake nelson - best known for his co-starring role in o brother , where art thou ? 	the movie , directed by tim blake nelson - best known for his co-starring role in o brother , where art thou ?	2	-1	 the[0] movie[0] directed[0] by[0] tim[0] blake[0] nelson[0] best[1] known[0] for[0] his[0] co[0] starring[0] role[0] in[0] o[0] brother[0] where[0] art[0] thou[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
- and written by brad kaaya , is very grim . 	- and written by brad kaya , is very grim .	1	-4	 and[0] written[0] by[0] brad[0] kaaya/kaya[0] is[0] very[0] grim[-2][-1 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
an air of tragedy weighs it down from the opening scene to the closing credits . 	an air of tragedy weighs it down from the opening scene to the closing credits .	1	-3	 an[0] air[0] of[0] tragedy[-2] weighs[0] it[0] down[0] from[0] the[0] opening[0] scene[0] to[0] the[0] closing[0] credits[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
