i'm not quite sure how best to go about writing this review . 	Translation	Positive	Negative	EmotionRationale
i must admit that i was a little disappointed by barry levinson's political satire " wag the dog , " but in retrospect , this has less to do with the film itself than with false expectations i had going into it . 	i must admit that i was a little disappointed by barry levinson's political satire " wag the dog , " but in retrospect , this has less to do with the film itself than with false expectations i had going into it .	1	-2	 i[0] must[0] admit[0] that[0] i[0] was[0] a[0] little[0] disappointed[-1] by[0] barry[0] levinson's[0] political[0] satire[0] wag[0] the[0] dog[0] but[0] in[0] retrospect[0] this[0] has[0] less[0] to[0] do[0] with[0] the[0] film[0] itself[0] than[0] with[0] false[0] expectations[0] i[0] had[0] going[0] into[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
quite a few of the reviews i have read led me to believe that this film was absolutely hilarious and would make me laugh out loud the whole way through , and it didn't do that . 	quite a few of the reviews i have read led me to believe that this film was absolutely hilarious and would make me laugh out loud the whole way through , and it didn't do that .	4	-1	 quite[0] a[0] few[0] of[0] the[0] reviews[0] i[0] have[0] read[0] led[0] me[0] to[0] believe[0] that[0] this[0] film[0] was[0] absolutely[0] hilarious[2][1 LastWordBoosterStrength] and[0] would[0] make[0] me[0] laugh[1] out[0] loud[0] the[0] whole[0] way[0] through[0] and[0] it[0] didn't[0] do[0] that[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
they also led me to believe that it would deliver a vicious and all-too-true attack on the way the american political media works , and it didn't quite do that either . 	they also led me to believe that it would deliver a vicious and all-too-true attack on the way the american political media works , and it didn't quite do that either .	2	-4	 they[0] also[0] led[0] me[0] to[0] believe[0] that[0] it[0] would[0] deliver[0] a[0] vicious[-3] and[0] all[0] too[0] true[1] attack[-2] on[0] the[0] way[0] the[0] american[0] political[0] media[0] works[0] and[0] it[0] didn't[0] quite[0] do[0] that[0] either[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
a few of them even suggested that it would prove a worthy successor to stanley kubrick's " dr . 	a few of them even suggested that it would prove a worthy successor to stanley kubrick's " dr .	1	-1	 a[0] few[0] of[0] them[0] even[0] suggested[0] that[0] it[0] would[0] prove[0] a[0] worthy[0] successor[0] to[0] stanley[0] kubrick's[0] dr[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
strangelove " in the tradition of political black comedy , and it most definitely didn't do that . 	strangelove " in the tradition of political black comedy , and it most definitely didn't do that .	1	-1	 strangelove[0] in[0] the[0] tradition[0] of[0] political[0] black[0] comedy[0] and[0] it[0] most[0] definitely[0] didn't[0] do[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that said , " wag the dog " is actually a very clever satire on the shady manipulations of political figures and those who assist them . 	that said , " wag the dog " is actually a very clever satire on the shady manipulations of political figures and those who assist them .	1	-2	 that[0] said[0] wag[0] the[0] dog[0] is[0] actually[0] a[0] very[0] clever[0] satire[0] on[0] the[0] shady[-1] manipulations[-1] of[0] political[0] figures[0] and[0] those[0] who[0] assist[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story revolves around the attempts of political spin doctor conread brean ( robert deniro ) to distract the american public from the accusations that the president , who is up for re-election in two weeks , sexually harassed a young girl in the oval office . 	the story revolves around the attempts of political spin doctor conread brean ( robert deniro ) to distract the american public from the accusations that the president , who is up for re-election in two weeks , sexually harassed a young girl in the oval office .	1	-3	 the[0] story[0] revolves[0] around[0] the[0] attempts[0] of[0] political[0] spin[0] doctor[0] conread[0] brean[0] robert[0] deniro[0] to[0] distract[-1] the[0] american[0] public[0] from[0] the[0] accusations[-1] that[0] the[0] president[0] who[0] is[0] up[0] for[0] re[0] election[0] in[0] two[0] weeks[0] sexually[0] harassed[-2] a[0] young[0] girl[0] in[0] the[0] oval[0] office[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the accusations , the script suggests , are probably untrue , but as brean so pointedly puts it , that isn't particularly relevant : the scandal is likely to derail the president's campaign regardless of its truth or falsehood . 	the accusations , the script suggests , are probably untrue , but as brean so pointedly puts it , that isn't particularly relevant : the scandal is likely to derail the president's campaign regardless of its truth or falsehood .	2	-3	 the[0] accusations[-1] the[0] script[0] suggests[0] are[0] probably[0] untrue[-1] but[0] as[0] brean[0] so[0] pointedly[0] puts[0] it[0] that[0] isn't[0] particularly[0] relevant[0] the[0] scandal[-2] is[0] likely[0] to[0] derail[0] the[0] president's[0] campaign[0] regardless[-1] of[0] its[0] truth[1] or[0] falsehood[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
brean , along with his assistant ( anne heche ) , decide to contact hollywood producer stanley motss ( dustin hoffman ) to enlist his help in concocting enough propaganda and special-effects trickery to make it appear that the u . s . is going to war with albanian terrorists and thus propel the president to victory on a wave of patriotic fervor . 	brean , along with his assistant ( anne heche ) , decide to contact hollywood producer stanley motss ( dustin hoffman ) to enlist his help in concocting enough propaganda and special-effects trickery to make it appear that the you .<br> s .<br> is going to war with albanian terrorists and thus propel the president to victory on a wave of patriotic fervor .	2	-3	 brean[0] along[0] with[0] his[0] assistant[0] anne[0] heche[0] decide[0] to[0] contact[0] hollywood[0] producer[0] stanley[0] motss[0] dustin[0] hoffman[0] to[0] enlist[0] his[0] help[0] in[0] concocting[0] enough[0] propaganda[-1] and[0] special[1] effects[0] trickery[-1] to[0] make[0] it[0] appear[0] that[0] the[0] u[0] [[Sentence=-2,2=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] is[0] going[0] to[0] war[-2] with[0] albanian[0] terrorists[-2] and[0] thus[0] propel[0] the[0] president[0] to[0] victory[0] on[0] a[0] wave[0] of[0] patriotic[0] fervor[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
as i said , " wag the dog " is not quite as laugh-out-loud hilarious as i had expected , but there are some genuinely funny moments to be found here , such as when , in an echo of a familiar movie clich ? , the camera pans out over an urban sunset to the strains of uplifting , inspirational music , then cuts to a studio to reveal that the singing is coming from a group of musicians whom motss has assembled to perform " we have the right to fight for democracy . " 	as i said , " wag the dog " is not quite as laugh-out-loud hilarious as i had expected , but there are some genuinely funny moments to be found here , such as when , in an echo of a familiar movie clich ?<br> , the camera pans out over an urban sunset to the strains of uplifting , inspirational music , then cuts to a studio to reveal that the singing is coming from a group of musicians whom motss has assembled to perform " we have the right to fight for democracy .<br> "	3	-3	 as[0] i[0] said[0] wag[0] the[0] dog[0] is[0] not[0] quite[0] as[0] laugh[1] out[0] loud[0] hilarious[2] as[0] i[0] had[0] expected[0] but[0] there[0] are[0] some[0] genuinely[0] funny[1] moments[0] to[0] be[0] found[0] here[0] such[0] as[0] when[0] in[0] an[0] echo[0] of[0] a[0] familiar[0] movie[0] clich[0] [[Sentence=-1,3=word max, 1-5]] the[0] camera[0] pans[0] out[0] over[0] an[0] urban[0] sunset[0] to[0] the[0] strains[-1] of[0] uplifting[0] inspirational[2] music[0] then[0] cuts[0] to[0] a[0] studio[0] to[0] reveal[0] that[0] the[0] singing[0] is[0] coming[0] from[0] a[0] group[0] of[0] musicians[0] whom[0] motss[0] has[0] assembled[0] to[0] perform[0] we[0] have[0] the[0] right[0] to[0] fight[-2] for[0] democracy[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
