studio expectations must not have been high for " great expectations " -- the film's release date was pushed from late december to late january at what appeared to be the last minute , therefore putting any academy awards chances it has off until this time in 1999 . 	Translation	Positive	Negative	EmotionRationale
it's actually a smart move , because while this updated take on the charles dickens tale isn't quite oscar fodder , it * is * strong enough to be distinguished from the cinematic dumping ground that usually makes up the first five or six weeks of any given year . 	it's actually a smart move , because while this updated take on the charles dickens tale isn't quite oscar fodder , it * is * strong enough to be distinguished from the cinematic dumping ground that usually makes up the first five or six weeks of any given year .	2	-2	 it's[0] actually[0] a[0] smart[1] move[0] because[0] while[0] this[0] updated[0] take[0] on[0] the[0] charles[0] dickens[0] tale[0] isn't[0] quite[0] oscar[0] fodder[0] it[0] is[0] strong[0] enough[0] to[0] be[0] distinguished[0] from[0] the[0] cinematic[0] dumping[-1] ground[0] that[0] usually[0] makes[0] up[0] the[0] first[0] five[0] or[0] six[0] weeks[0] of[0] any[0] given[0] year[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " great expectations " also demonstrates how to modernize a classic story right , especially after the excruciatingly wretched excesses of baz luhrmann's " william shakespeare's romeo   juliet . " 	 " great expectations " also demonstrates how to modernize a classic story right , especially after the excruciatingly wretched excesses of baz luhrmann's " william shakespeare's romeo   juliet .<br> "	3	-5	 great[2] expectations[0] also[0] demonstrates[0] how[0] to[0] modernize[0] a[0] classic[0] story[0] right[0] especially[0] after[0] the[0] excruciatingly[-4] wretched[-2][-1 MultiplePositiveWords] excesses[0] of[0] baz[0] luhrmann's[0] william[0] shakespeare's[0] romeo[0] juliet[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
 " great expectations " opens somewhere in 1970s florida ( the original story is set in 19th-century england ) , as eight-year-old finn ( jeremy james kissner ) meets a trio of people who will have a profound effect on his life in the future . 	 " great expectations " opens somewhere in 1970s florida ( the original story is set in 19th-century england ) , as eight-year-old fin ( jeremy james kissner ) meets a trio of people who will have a profound effect on his life in the future .	3	-1	 great[2] expectations[0] opens[0] somewhere[0] in[0] 1970s[0] florida[0] the[0] original[0] story[0] is[0] set[0] in[0] 19th[0] century[0] england[0] as[0] eight[0] year[0] old[0] finn/fin[0] jeremy[0] james[0] kissner[2] meets[0] a[0] trio[0] of[0] people[0] who[0] will[0] have[0] a[0] profound[0] effect[0] on[0] his[0] life[0] in[0] the[0] future[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's icy , 11-year-old estella ( raquel beaudene ) , a pseudo-playmate of finn's ; ms . dinsmoor ( anne bancroft ) , estella's auntie who's quite off-kilter over a past romance that never took off ; and a mysterious prisoner ( robert de niro ) whom finn saves the life of . 	there's icy , 11-year-old estella ( raquel beaudene ) , a pseudo-playmate of finn's ; ms .<br> dinsmoor ( anne bancroft ) , estella's auntie who's quite off-kilter over a past romance that never took off ; and a mysterious prisoner ( robert de niro ) whom fin saves the life of .	4	-2	 there's[0] icy[0] 11[0] year[0] old[0] estella[0] raquel[0] beaudene[0] a[0] pseudo[0] playmate[0] of[0] finn's[0] ms[0] [[Sentence=-1,1=word max, 1-5]] dinsmoor[0] anne[0] bancroft[0] estella's[0] auntie[0] who's[0] quite[0] off[0] kilter[0] over[0] a[0] past[0] romance[3] that[0] never[0] took[0] off[0] and[0] a[0] mysterious[0] prisoner[-1] robert[0] de[0] niro[0] whom[0] finn/fin[0] saves[1] the[0] life[0] of[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
finn , who lives with his sister's affable boyfriend ( lone star's chris cooper ) , fancies himself an aspiring artist , and proves his prowess by whipping up an unusual portrait of estella using only ms . dinsmoor's lipstick , eyebrow pencil and the wallpaper from her dilapidating mansion . 	fin , who lives with his sister's affable boyfriend ( lone star's chris cooper ) , fancies himself an aspiring artist , and proves his prowess by whipping up an unusual portrait of estella using only ms .<br> dinsmoor's lipstick , eyebrow pencil and the wallpaper from her dilapidating mansion .	3	-2	 finn/fin[0] who[0] lives[0] with[0] his[0] sister's[0] affable[2] boyfriend[0] lone[-1] star's[0] chris[0] cooper[0] fancies[0] himself[0] an[0] aspiring[0] artist[0] and[0] proves[0] his[0] prowess[0] by[0] whipping[0] up[0] an[0] unusual[0] portrait[0] of[0] estella[0] using[0] only[0] ms[0] [[Sentence=-2,3=word max, 1-5]] dinsmoor's[0] lipstick[0] eyebrow[0] pencil[0] and[0] the[0] wallpaper[0] from[0] her[0] dilapidating[0] mansion[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
flash forward into the '90s ( after a brief stop in the '80s ) , and finn ( now played by ethan hawke ) , despondent over a strange hot-and-cold relationship with the elusive estella ( gwyneth paltrow ) , receives quite a bit of money from an unknown benefactor ; it's enough cash to send him to new york to focus on a career in art . 	flash forward into the '90s ( after a brief stop in the '80s ) , and fin ( now played by ethan hawke ) , despondent over a strange hot-and-cold relationship with the elusive estella ( gwyneth paltrow ) , receives quite a bit of money from an unknown benefactor ; it's enough cash to send him to new york to focus on a career in art .	1	-2	 flash[0] forward[0] into[0] the[0] '90s[0] after[0] a[0] brief[0] stop[0] in[0] the[0] '80s[0] and[0] finn/fin[0] now[0] played[0] by[0] ethan[0] hawke[0] despondent[0] over[0] a[0] strange[0] hot[0] and[0] cold[-1] relationship[0] with[0] the[0] elusive[0] estella[0] gwyneth[0] paltrow[0] receives[0] quite[0] a[0] bit[0] of[0] money[0] from[0] an[0] unknown[0] benefactor[0] it's[0] enough[0] cash[0] to[0] send[0] him[0] to[0] new[0] york[0] to[0] focus[0] on[0] a[0] career[0] in[0] art[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there , finn seems to gain everything he could ever want -- wealth , prestige and a high place in the glamorous art world . 	there , fin seems to gain everything he could ever want - wealth , prestige and a high place in the glamorous art world .	2	-1	 there[0] finn/fin[0] seems[0] to[0] gain[0] everything[0] he[0] could[0] ever[0] want[0] wealth[0] prestige[0] and[0] a[0] high[0] place[0] in[0] the[0] glamorous[1] art[0] world[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when estella resurfaces -- albeit with an aloof fianc ? ( hank azaria ) -- finn also sees the chance to renew their mutual attraction . 	when estella resurfaces - albeit with an aloof fianc ?<br> ( hank azaria ) - fin also sees the chance to renew their mutual attraction .	2	-2	 when[0] estella[0] resurfaces[0] albeit[0] with[0] an[0] aloof[-1] fianc[0] [[Sentence=-2,1=word max, 1-5]] hank[0] azaria[0] finn/fin[0] also[0] sees[0] the[0] chance[0] to[0] renew[0] their[0] mutual[0] attraction[1] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
but she's not the only ghost from finn's past that's going to be paying him a visit . 	but she's not the only ghost from finn's past that's going to be paying him a visit .	1	-1	 but[0] she's[0] not[0] the[0] only[0] ghost[0] from[0] finn's[0] past[0] that's[0] going[0] to[0] be[0] paying[0] him[0] a[0] visit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
comparisons with the afore-mentioned " romeo   juliet " seem inevitable since these films are the only ones in recent memory to plop classic drama into a current setting . 	comparisons with the afore-mentioned " romeo   juliet " seem inevitable since these films are the only ones in recent memory to plop classic drama into a current setting .	1	-1	 comparisons[0] with[0] the[0] afore[0] mentioned[0] romeo[0] juliet[0] seem[0] inevitable[0] since[0] these[0] films[0] are[0] the[0] only[0] ones[0] in[0] recent[0] memory[0] to[0] plop[0] classic[0] drama[0] into[0] a[0] current[0] setting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " great expectations " is a much better venture , though , because it treats its source with even-handed respect , where " romeo " was never quite sure whether to be a spoof , a homage or both . 	 " great expectations " is a much better venture , though , because it treats its source with even-handed respect , where " romeo " was never quite sure whether to be a spoof , a homage or both .	3	-2	 great[2] expectations[0] is[0] a[0] much[0] better[0] venture[0] though[0] because[0] it[0] treats[0] its[0] source[-1] with[0] even[0] handed[0] respect[2] where[0] romeo[0] was[0] never[0] quite[0] sure[0] whether[0] to[0] be[0] a[0] spoof[0] a[0] homage[0] or[0] both[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the movie is a visual banquet thanks to emmanuel lubezki's sexy cinematography ; notably , he captures a revisited fountain kiss between the two leads with a luscious , erotic charge that's steamier than the film's ( surprisingly muted ) love scenes . 	the movie is a visual banquet thanks to emmanuel lubezki's sexy cinematography ; notably , he captures a revisited fountain kiss between the two leads with a luscious , erotic charge that's steamier than the film's ( surprisingly muted ) love scenes .	3	-2	 the[0] movie[0] is[0] a[0] visual[0] banquet[0] thanks[1] to[0] emmanuel[0] lubezki's[0] sexy[2] cinematography[0] notably[0] he[0] captures[-1] a[0] revisited[0] fountain[0] kiss[2] between[0] the[0] two[0] leads[0] with[0] a[0] luscious[0] erotic[0] charge[-1] that's[0] steamier[0] than[0] the[0] film's[0] surprisingly[0] muted[0] love[2] scenes[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the eclectic rock soundtrack compliments the on-screen action beautifully , especially new songs by tori amos , mono and duncan sheik . 	the eclectic rock soundtrack compliments the on-screen action beautifully , especially new songs by tori amos , mono and duncan sheik .	3	-1	 the[0] eclectic[0] rock[1] soundtrack[0] compliments[1] the[0] on[0] screen[0] action[0] beautifully[2] especially[0] new[0] songs[0] by[0] tori[0] amos[0] mono[0] and[0] duncan[0] sheik[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
acting credits are first-rate , often hiding the screenplay's occasional slip-ups . 	acting credits are first-rate , often hiding the screenplay's occasional slip-ups .	1	-1	 acting[0] credits[0] are[0] first[0] rate[0] often[0] hiding[0] the[0] screenplay's[0] occasional[0] slip[0] ups[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
