some movies have such an impact that they linger in your mind long after the credits have rolled , making you think carefully and recollect on what you have just seen . 	Translation	Positive	Negative	EmotionRationale
i finished mike figgis' " leaving las vegas " hours ago , and it is still as haunting as when i hit rewind on the vcr . 	i finished mike figgis' " leaving las vegas " hours ago , and it is still as haunting as when i hit rewind on the vcr .	1	-1	 i[0] finished[0] mike[0] figgis'[0] leaving[0] las[0] vegas[0] hours[0] ago[0] and[0] it[0] is[0] still[0] as[0] haunting[0] as[0] when[0] i[0] hit[0] rewind[0] on[0] the[0] vcr[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alot of people refer to this film as " that flick where nick cage plays that alcoholic dude " . 	alot of people refer to this film as " that flick where nick cage plays that alcoholic dude " .	2	-1	 alot[0] of[0] people[0] refer[0] to[0] this[0] film[0] as[0] that[0] flick[0] where[0] nick[0] cage[0] plays[1] that[0] alcoholic[0] dude[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " leaving las vegas " is not so much a movie about alcoholism as it is a story about two people who except each other for what they are : a drunk and a whore . 	 " leaving las vegas " is not so much a movie about alcoholism as it is a story about two people who except each other for what they are : a drunk and a whore .	1	-3	 leaving[0] las[0] vegas[0] is[0] not[0] so[0] much[0] a[0] movie[0] about[0] alcoholism[0] as[0] it[0] is[0] a[0] story[0] about[0] two[0] people[0] who[0] except[0] each[0] other[0] for[0] what[0] they[0] are[0] a[0] drunk[-1] and[0] a[0] whore[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ben ( nicolas cage in possibly the best male performance of the past twenty years ) is the drunk . 	ben ( nicolas cage in possibly the best male performance of the past twenty years ) is the drunk .	2	-2	 ben[0] nicolas[0] cage[0] in[0] possibly[0] the[0] best[1] male[0] performance[0] of[0] the[0] past[0] twenty[0] years[0] is[0] the[0] drunk[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his family and friends have long since abandon him , and all he has left is his liquor . 	his family and friends have long since abandon him , and all he has left is his liquor .	2	-2	 his[0] family[0] and[0] friends[1] have[0] long[0] since[0] abandon[-1] him[0] and[0] all[0] he[0] has[0] left[0] is[0] his[0] liquor[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in a scene early in the film , we see ben staggering into a resteraunt , looking for a " friend " of his to mooch some money off of . 	in a scene early in the film , we see ben staggering into a resteraunt , looking for a " friend " of his to mooch some money off of .	2	-2	 in[0] a[0] scene[0] early[0] in[0] the[0] film[0] we[0] see[0] ben[0] staggering[0] into[0] a[0] resteraunt[0] looking[0] for[0] a[0] friend[1] of[0] his[0] to[0] mooch[-1] some[0] money[0] off[0] of[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he finds the guy ( richard lewis ) having dinner with a buddy and two chicks , trying to crack witty jokes that just come out stupid . 	he finds the guy ( richard lewis ) having dinner with a buddy and two chicks , trying to crack witty jokes that just come out stupid .	2	-2	 he[0] finds[0] the[0] guy[0] richard[0] lewis[0] having[0] dinner[0] with[0] a[0] buddy[0] and[0] two[0] chicks[0] trying[0] to[0] crack[0] witty[0] jokes[1] that[0] just[0] come[0] out[0] stupid[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when ben approaches the table , you can clearly sense that everyone immediatly feels uncomfortable . 	when ben approaches the table , you can clearly sense that everyone immediatly feels uncomfortable .	1	-3	 when[0] ben[0] approaches[0] the[0] table[0] you[0] can[0] clearly[0] sense[0] that[0] everyone[0] immediatly[0] feels[0] uncomfortable[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after lewis gives ben the money , he coldly says " i think it would be best if you didn't contact me again . " 	after lewis gives ben the money , he coldly says " i think it would be best if you didn't contact me again .<br> "	2	-2	 after[0] lewis[0] gives[0] ben[0] the[0] money[0] he[0] coldly[-1] says[0] i[0] think[0] it[0] would[0] be[0] best[1] if[0] you[0] didn't[0] contact[0] me[0] again[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
now even though through the course of the film , some much more depressing things happen , this is when i felt the most for ben . 	now even though through the course of the film , some much more depressing things happen , this is when i felt the most for ben .	1	-4	 now[0] even[0] though[0] through[0] the[0] course[0] of[0] the[0] film[0] some[0] much[0] more[0] depressing[-3] things[0] happen[0] this[0] is[0] when[0] i[0] felt[0] the[0] most[0] for[0] ben[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
