'lake placid' is definately not your typical creature attacking people movie , ok so maybe it is , but this one is enjoyable , and clever . 	Translation	Positive	Negative	EmotionRationale
actually it comes off more of a comedy than a horror film . 	actually it comes off more of a comedy than a horror film .	1	-4	 actually[0] it[0] comes[0] off[0] more[0] of[0] a[0] comedy[0] than[0] a[0] horror[-3] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
well the ending is kinda scary , but in most horror/comedies they are . 	well the ending is kinda scary , but in most horror/comedies they are .	1	-4	 well[0] the[0] ending[0] is[0] kinda[0] scary[-3] but[0] in[0] most[0] horror/comedies[-3] they[0] are[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i will admit that 'lake placid' isn't an oscar worthy film , but it does come off as an inventive movie that is original and funny . 	i will admit that 'lake placid' isn't an oscar worthy film , but it does come off as an inventive movie that is original and funny .	2	-1	 i[0] will[0] admit[0] that[0] 'lake[0] placid'[0] isn't[0] an[0] oscar[0] worthy[0] film[0] but[0] it[0] does[0] come[0] off[0] as[0] an[0] inventive[0] movie[0] that[0] is[0] original[0] and[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bridget fonda plays a palentologist who after finding out her boyfriend is cheating , is forced to go to lake placid and investigate a tooth , after a man is bit in half . 	bridget fonda plays a palentologist who after finding out her boyfriend is cheating , is forced to go to lake placid and investigate a tooth , after a man is bit in half .	2	-3	 bridget[0] fonda[0] plays[1] a[0] palentologist[0] who[0] after[0] finding[0] out[0] her[0] boyfriend[0] is[0] cheating[-2] is[0] forced[0] to[0] go[0] to[0] lake[0] placid[0] and[0] investigate[0] a[0] tooth[0] after[0] a[0] man[0] is[0] bit[0] in[0] half[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
she gets there but really doesn't understand why she is there . 	she gets there but really doesn't understand why she is there .	1	-1	 she[0] gets[0] there[0] but[0] really[0] doesn't[0] understand[0] why[0] she[0] is[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bill pullman plays a man also investigating what happened , along with the sherriff and a rich croc obsessed man , they go out and find what is going on . 	bill pullman plays a man also investigating what happened , along with the sheriff and a rich croc obsessed man , they go out and find what is going on .	2	-3	 bill[0] pullman[0] plays[1] a[0] man[0] also[0] investigating[0] what[0] happened[0] along[0] with[0] the[0] sherriff/sheriff[0] and[0] a[0] rich[0] croc[0] obsessed[-2] man[0] they[0] go[0] out[0] and[0] find[0] what[0] is[0] going[0] on[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
what they find though isn't great . 	what they find though isn't great .	1	-3	 what[0] they[0] find[0] though[0] isn't[0] great[2][NegatedDueToPreviousWord] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a huge and i mean huge crocodile is living in lake placid , over 150 years old , he has migrated here for who knows why . 	a huge and i mean huge crocodile is living in lake placid , over 150 years old , he has migrated here for who knows why .	1	-1	 a[0] huge[0] and[0] i[0] mean[0] huge[0] crocodile[0] is[0] living[0] in[0] lake[0] placid[0] over[0] 150[0] years[0] old[0] he[0] has[0] migrated[0] here[0] for[0] who[0] knows[0] why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they have to fight against the croc and try to trap him so they can study him and see where he came from . 	they have to fight against the croc and try to trap him so they can study him and see where he came from .	1	-3	 they[0] have[0] to[0] fight[-2] against[-1] the[0] croc[0] and[0] try[0] to[0] trap[-1] him[0] so[0] they[0] can[0] study[0] him[0] and[0] see[0] where[0] he[0] came[0] from[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
betty white plays a woman who lives on the shores of lake placid , and well you'll have to see the movie to find out . 	betty white plays a woman who lives on the shores of lake placid , and well you'll have to see the movie to find out .	2	-1	 betty[0] white[0] plays[1] a[0] woman[0] who[0] lives[0] on[0] the[0] shores[0] of[0] lake[0] placid[0] and[0] well[0] you'll[0] have[0] to[0] see[0] the[0] movie[0] to[0] find[0] out[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
her character is very funny and foul-mouthed , which is surprising to hear betty spew words and phrases that are pretty bad , but funny . 	her character is very funny and foul-mouthed , which is surprising to hear betty spew words and phrases that are pretty bad , but funny .	3	-2	 her[0] character[0] is[0] very[0] funny[1][1 LastWordBoosterStrength] and[0] foul[0] mouthed[0] which[0] is[0] surprising[0] to[0] hear[0] betty[0] spew[-1] words[0] and[0] phrases[0] that[0] are[0] pretty[2] bad[-1] but[0] funny[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
to me the movie came off as a spoof of jaws . 	to me the movie came off as a spoof of jaws .	1	-1	 to[0] me[0] the[0] movie[0] came[0] off[0] as[0] a[0] spoof[0] of[0] jaws[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the opening sequence , and some others , it is not original and is . 	with the opening sequence , and some others , it is not original and is .	1	-1	 with[0] the[0] opening[0] sequence[0] and[0] some[0] others[0] it[0] is[0] not[0] original[0] and[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when you watch this movie , you definately notice the smartness and cleverness of it . 	when you watch this movie , you definately notice the smartness and cleverness of it .	2	-1	 when[0] you[0] watch[0] this[0] movie[0] you[0] definately[0] notice[0] the[0] smartness[1] and[0] cleverness[0] of[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
