back in 1998 dreamworks unveiled their first computer animated movie " antz " . 	Translation	Positive	Negative	EmotionRationale
the film was critically acclaimed , and went on to gross almost  100m dollars at the domestic box office . 	the film was critically acclaimed , and went on to gross almost  100m dollars at the domestic box office .	1	-2	 the[0] film[0] was[0] critically[-1] acclaimed[0] and[0] went[0] on[0] to[0] gross[-1] almost[0] 100m[0] dollars[0] at[0] the[0] domestic[0] box[0] office[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
again in 1998 they released their traditional animated film " the prince of egypt " and it named an instant classic , and became a huge hit as well . 	again in 1998 they released their traditional animated film " the prince of egypt " and it named an instant classic , and became a huge hit as well .	1	-1	 again[0] in[0] 1998[0] they[0] released[0] their[0] traditional[0] animated[0] film[0] the[0] prince[0] of[0] egypt[0] and[0] it[0] named[0] an[0] instant[0] classic[0] and[0] became[0] a[0] huge[0] hit[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on a winning streak , they released " the road to el dorado " and it wasn't as big as they hoped , but still did ok , then they had the fantastic " chicken run " in the summer . 	on a winning streak , they released " the road to el dorado " and it wasn't as big as they hoped , but still did ok , then they had the fantastic " chicken run " in the summer .	3	-1	 on[0] a[0] winning[1] streak[0] they[0] released[0] the[0] road[0] to[0] el[0] dorado[0] and[0] it[0] wasn't[0] as[0] big[0] as[0] they[0] hoped[1] but[0] still[0] did[0] ok[0] then[0] they[0] had[0] the[0] fantastic[2] chicken[0] run[0] in[0] the[0] summer[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
now in 2001 dreamworks has released what i can safely name , one of the top five best animated films . 	now in 2001 dreamworks has released what i can safely name , one of the top five best animated films .	2	-1	 now[0] in[0] 2001[0] dreamworks[0] has[0] released[0] what[0] i[0] can[0] safely[1] name[0] one[0] of[0] the[0] top[0] five[0] best[1] animated[0] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
shrek ( mike myers ) is about a loving , green ogre who lives in the woods of duloc by himself . 	shrek ( mike myers ) is about a loving , green ogre who lives in the woods of duloc by himself .	4	-1	 shrek[0] mike[0] myers[0] is[0] about[0] a[0] loving[3] green[0] ogre[0] who[0] lives[0] in[0] the[0] woods[0] of[0] duloc[0] by[0] himself[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
surrounded by fairy tale characters , he hopes somehow he would escape from everyone . 	surrounded by fairy tale characters , he hopes somehow he would escape from everyone .	2	-1	 surrounded[0] by[0] fairy[0] tale[0] characters[0] he[0] hopes[1] somehow[0] he[0] would[0] escape[0] from[0] everyone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the ruler of duloc is the short , heartless lord farquaad ( john lithgow ) , who is offering a reward to all the fairy tale creatures , if they are captured and arrested . 	the ruler of duloc is the short , heartless lord farquad ( john lithgow ) , who is offering a reward to all the fairy tale creatures , if they are captured and arrested .	2	-3	 the[0] ruler[0] of[0] duloc[0] is[0] the[0] short[0] heartless[-2] lord[0] farquaad/farquad[0] john[0] lithgow[0] who[0] is[0] offering[0] a[0] reward[1] to[0] all[0] the[0] fairy[0] tale[0] creatures[0] if[0] they[0] are[0] captured[-1] and[0] arrested[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
of course many of the owners turn them in for gold and silver , but one of those creatures is donkey ( eddie murphy ) . 	of course many of the owners turn them in for gold and silver , but one of those creatures is donkey ( eddie murphy ) .	1	-1	 of[0] course[0] many[0] of[0] the[0] owners[0] turn[0] them[0] in[0] for[0] gold[0] and[0] silver[0] but[0] one[0] of[0] those[0] creatures[0] is[0] donkey[0] eddie[0] murphy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a regular donkey , except he talks and has a definite attitude , after his owner tries to disown him , he escapes into the woods , and runs into shrek . 	a regular donkey , except he talks and has a definite attitude , after his owner tries to disown him , he escapes into the woods , and runs into shrek .	1	-1	 a[0] regular[0] donkey[0] except[0] he[0] talks[0] and[0] has[0] a[0] definite[0] attitude[0] after[0] his[0] owner[0] tries[0] to[0] disown[0] him[0] he[0] escapes[0] into[0] the[0] woods[0] and[0] runs[0] into[0] shrek[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lord farquaad however , has different plans and makes all the fairy tale creatures in the woods near shrek's house . 	lord farquad however , has different plans and makes all the fairy tale creatures in the woods near shrek's house .	1	-1	 lord[0] farquaad/farquad[0] however[0] has[0] different[0] plans[0] and[0] makes[0] all[0] the[0] fairy[0] tale[0] creatures[0] in[0] the[0] woods[0] near[0] shrek's[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
