i saw simon birch in a basically sold out theater , on a sunday afternoon . 	Translation	Positive	Negative	EmotionRationale
when the movie was over and the audience was exiting , i didn't hear one negative comment , and i didn't have any to offer . 	when the movie was over and the audience was exiting , i didn't hear one negative comment , and i didn't have any to offer .	1	-2	 when[0] the[0] movie[0] was[0] over[0] and[0] the[0] audience[0] was[0] exiting[0] i[0] didn't[0] hear[0] one[0] negative[-1] comment[0] and[0] i[0] didn't[0] have[0] any[0] to[0] offer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
simon birch is primarily about the friendship of two twelve year old boys , simon ( ian michael smith ) and joe ( joseph mazzello ) , and what destiny holds for both of them . 	simon birch is primarily about the friendship of two twelve year old boys , simon ( ian michael smith ) and joe ( joseph mazello ) , and what destiny holds for both of them .	2	-1	 simon[0] birch[0] is[0] primarily[0] about[0] the[0] friendship[1] of[0] two[0] twelve[0] year[0] old[0] boys[0] simon[0] ian[0] michael[0] smith[0] and[0] joe[0] joseph[0] mazzello/mazello[0] and[0] what[0] destiny[0] holds[0] for[0] both[0] of[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
simon is a dwarf , who was not supposed to last through the night after birth due to a weak heart . 	simon is a dwarf , who was not supposed to last through the night after birth due to a weak heart .	1	-2	 simon[0] is[0] a[0] dwarf[0] who[0] was[0] not[0] supposed[0] to[0] last[0] through[0] the[0] night[0] after[0] birth[0] due[0] to[0] a[0] weak[-1] heart[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
surprisingly , he does , and now constantly reminds everyone that he is a living miracle . 	surprisingly , he does , and now constantly reminds everyone that he is a living miracle .	1	-1	 surprisingly[0] he[0] does[0] and[0] now[0] constantly[0] reminds[0] everyone[0] that[0] he[0] is[0] a[0] living[0] miracle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
simon thinks god has a plan for him , a purpose for his life , and his condition , he just doesn't know what . 	simon thinks god has a plan for him , a purpose for his life , and his condition , he just doesn't know what .	1	-1	 simon[0] thinks[0] god[0] has[0] a[0] plan[0] for[0] him[0] a[0] purpose[0] for[0] his[0] life[0] and[0] his[0] condition[0] he[0] just[0] doesn't[0] know[0] what[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joe is an illegitimate child ( referred to both comically and dramatically throughout the film as a bastard ) , who's mom ( ashley judd ) won't tell him who his father is . 	joe is an illegitimate child ( referred to both comically and dramatically throughout the film as a bastard ) , who's mom ( ashley judd ) won't tell him who his father is .	1	-3	 joe[0] is[0] an[0] illegitimate[0] child[0] referred[0] to[0] both[0] comically[0] and[0] dramatically[0] throughout[0] the[0] film[0] as[0] a[0] bastard[-2] who's[0] mom[0] ashley[0] judd[0] won't[0] tell[0] him[0] who[0] his[0] father[0] is[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
simon has more than just dwarfism as a problem , the people in the town don't really like him , because he isn't " natural " . 	simon has more than just dwarfism as a problem , the people in the town don't really like him , because he isn't " natural " .	1	-3	 simon[0] has[0] more[0] than[0] just[0] dwarfism[0] as[0] a[0] problem[-1] the[0] people[0] in[0] the[0] town[0] don't[0] really[0] like[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] him[0] because[0] he[0] isn't[0] natural[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
even his own parents don't care about him , and are disappointed they didn't have a " normal " son . 	even his own parents don't care about him , and are disappointed they didn't have a " normal " son .	1	-2	 even[0] his[0] own[0] parents[0] don't[0] care[1][NegatedDueToPreviousWord] about[0] him[0] and[0] are[0] disappointed[-1] they[0] didn't[0] have[0] a[0] normal[0] son[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is also harassed in church by the local pastor , rev . russell ( david strathairn ) and simon's chain smoking sunday school teacher played by jan hooks . 	he is also harassed in church by the local pastor , rev .<br> russell ( david strathairn ) and simon's chain smoking sunday school teacher played by jan hooks .	1	-3	 he[0] is[0] also[0] harassed[-2] in[0] church[0] by[0] the[0] local[0] pastor[0] rev[0] [[Sentence=-3,1=word max, 1-5]] russell[0] david[0] strathairn[0] and[0] simon's[0] chain[0] smoking[0] sunday[0] school[0] teacher[0] played[0] by[0] jan[0] hooks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
the only person , other than joe , that really cares for simon is joe's mom , who he also looks up to as a mother . 	the only person , other than joe , that really cares for simon is joe's mom , who he also looks up to as a mother .	3	-1	 the[0] only[0] person[0] other[0] than[0] joe[0] that[0] really[0] cares[1][1 LastWordBoosterStrength] for[0] simon[0] is[0] joe's[0] mom[0] who[0] he[0] also[0] looks[0] up[0] to[0] as[0] a[0] mother[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it would be just simon's luck , that he would accidentally kills joe's mom , something you are told at the beginning of the movie . 	it would be just simon's luck , that he would accidentally kills joe's mom , something you are told at the beginning of the movie .	3	-1	 it[0] would[0] be[0] just[0] simon's[0] luck[2] that[0] he[0] would[0] accidentally[-1][--1 LastWordBoosterStrength] kills[0] joe's[0] mom[0] something[0] you[0] are[0] told[0] at[0] the[0] beginning[0] of[0] the[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
joe , now motherless as well as fatherless , feels the need to find out who his real father is . 	joe , now motherless as well as fatherless , feels the need to find out who his real father is .	1	-1	 joe[0] now[0] motherless[0] as[0] well[0] as[0] fatherless[0] feels[0] the[0] need[0] to[0] find[0] out[0] who[0] his[0] real[0] father[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the help of ben ( oliver platt ) , the local drama teacher and joe's mom's current boyfriend ( before her death ) , he will attempt to locate his dad and get in a little trouble on the way . 	with the help of ben ( oliver platt ) , the local drama teacher and joe's mom's current boyfriend ( before her death ) , he will attempt to locate his dad and get in a little trouble on the way .	1	-3	 with[0] the[0] help[0] of[0] ben[0] oliver[0] platt[0] the[0] local[0] drama[0] teacher[0] and[0] joe's[0] mom's[0] current[0] boyfriend[0] before[0] her[0] death[-2] he[0] will[0] attempt[0] to[0] locate[0] his[0] dad[0] and[0] get[0] in[0] a[0] little[0] trouble[-1] on[0] the[0] way[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
most of this trouble is laugh out loud funny , although not all of it is . 	most of this trouble is laugh out loud funny , although not all of it is .	2	-2	 most[0] of[0] this[0] trouble[-1] is[0] laugh[1] out[0] loud[0] funny[1] although[0] not[0] all[0] of[0] it[0] is[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
simon will also look for god's plan for him , although he loses a little faith along the way . 	simon will also look for god's plan for him , although he loses a little faith along the way .	2	-2	 simon[0] will[0] also[0] look[0] for[0] god's[0] plan[0] for[0] him[0] although[0] he[0] loses[-1] a[0] little[0] faith[1] along[0] the[0] way[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
