based on the boris karloff's classic by the same name , the mummy starts off with the high-priest of osiris , imhotep , who murders the pharoah for his mistress and is punished by being mummified in the most horrifying way possible -- bandaged up , having his tongue removed , and being covered in flesh-eating scarab beetles , then entombed . . . all while still alive . 	Translation	Positive	Negative	EmotionRationale
recap a few thousand years later , where a soldier named rick ( played by brandan fraser ) aids a young historian named evelyn ( played by rachel wiesz ) and her brother , jonathan ( played by john hannah ) in finding the book of amon ra , in the process inadvertently freeing the mummy . 	recap a few thousand years later , where a soldier named rick ( played by brandan fraser ) aids a young historian named evelyn ( played by rachel wiesz ) and her brother , jonathan ( played by john hannah ) in finding the book of amon ra , in the process inadvertently freeing the mummy .	1	-1	 recap[0] a[0] few[0] thousand[0] years[0] later[0] where[0] a[0] soldier[0] named[0] rick[0] played[0] by[0] brandan[0] fraser[0] aids[0] a[0] young[0] historian[0] named[0] evelyn[0] played[0] by[0] rachel[0] wiesz[0] and[0] her[0] brother[0] jonathan[0] played[0] by[0] john[0] hannah[0] in[0] finding[0] the[0] book[0] of[0] amon[0] ra[0] in[0] the[0] process[0] inadvertently[0] freeing[0] the[0] mummy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
problem is that the mummy wants to revive his mistress , using evelyn as a sacrifice . . . 	problem is that the mummy wants to revive his mistress , using evelyn as a sacrifice .<br> .<br> .	1	-2	 problem[-1] is[0] that[0] the[0] mummy[0] wants[0] to[0] revive[0] his[0] mistress[0] using[0] evelyn[0] as[0] a[0] sacrifice[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
walking in with relatively low expectations , i thought this movie was actually pretty good . 	walking in with relatively low expectations , i thought this movie was actually pretty good .	3	-2	 walking[0] in[0] with[0] relatively[0] low[-1] expectations[0] i[0] thought[0] this[0] movie[0] was[0] actually[0] pretty[2] good[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the visuals and cgi are astounding , and obviously not cheaply done at all . 	the visuals and cgi are astounding , and obviously not cheaply done at all .	2	-1	 the[0] visuals[0] and[0] cgi[0] are[0] astounding[0] and[0] obviously[0] not[0] cheaply[-1][NegatedDueToPreviousWord] done[0] at[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they pack a ton of detail into the images , especially during scenes involving mummies rendered completely by cgi . 	they pack a ton of detail into the images , especially during scenes involving mummies rendered completely by cgi .	1	-1	 they[0] pack[0] a[0] ton[0] of[0] detail[0] into[0] the[0] images[0] especially[0] during[0] scenes[0] involving[0] mummies[0] rendered[0] completely[0] by[0] cgi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the computer special effects makes for some brilliant scenes , such as unnerving moments involving flesh-eating scarab beetles and moments where the mummy goes after the people who freed him ( after all , those who took his artifacts are cursed ) . 	the computer special effects makes for some brilliant scenes , such as unnerving moments involving flesh-eating scarab beetles and moments where the mummy goes after the people who freed him ( after all , those who took his artifacts are cursed ) .	2	-2	 the[0] computer[0] special[1] effects[0] makes[0] for[0] some[0] brilliant[1][-1 LastWordBoosterStrength] scenes[0] such[0] as[0] unnerving[0] moments[0] involving[0] flesh[0] eating[0] scarab[0] beetles[0] and[0] moments[0] where[0] the[0] mummy[0] goes[0] after[0] the[0] people[0] who[0] freed[0] him[0] after[0] all[0] those[0] who[0] took[0] his[0] artifacts[0] are[0] cursed[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , the film attempts to be way too much in such a short span of time , becoming a tug of war for control between genres . 	unfortunately , the film attempts to be way too much in such a short span of time , becoming a tug of war for control between genres .	1	-3	 unfortunately[-1] the[0] film[0] attempts[0] to[0] be[0] way[0] too[0] much[0] in[0] such[0] a[0] short[0] span[0] of[0] time[0] becoming[0] a[0] tug[0] of[0] war[-2] for[0] control[0] between[0] genres[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
on one hand , it is a fast paced action film . 	on one hand , it is a fast paced action film .	1	-1	 on[0] one[0] hand[0] it[0] is[0] a[0] fast[0] paced[0] action[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the other , it's a frightening horror film . 	on the other , it's a frightening horror film .	1	-5	 on[0] the[0] other[0] it's[0] a[0] frightening[-3] horror[-3][-1 MultiplePositiveWords] film[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
and on the side , it's a hilarious comedy . 	and on the side , it's a hilarious comedy .	3	-1	 and[0] on[0] the[0] side[0] it's[0] a[0] hilarious[2] comedy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
