let's say you live at the end of an airport runway . 	Translation	Positive	Negative	EmotionRationale
large jetliners continuously pass over your house , rattling your windows and allowing few moments of peace . 	large jetliners continuously pass over your house , rattling your windows and allowing few moments of peace .	1	-1	 large[0] jetliners[0] continuously[0] pass[0] over[0] your[0] house[0] rattling[0] your[0] windows[0] and[0] allowing[0] few[0] moments[0] of[0] peace[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let's say the ground beneath your feet is also contaminated with toxic substances , and high voltage power lines run across steel towers only yards from your home . 	let's say the ground beneath your feet is also contaminated with toxic substances , and high voltage power lines run across steel towers only yards from your home .	1	-2	 let's[0] say[0] the[0] ground[0] beneath[0] your[0] feet[0] is[0] also[0] contaminated[-1] with[0] toxic[0] substances[0] and[0] high[0] voltage[0] power[0] lines[0] run[0] across[0] steel[0] towers[0] only[0] yards[0] from[0] your[0] home[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now let's say an airport conglomerate wants to buy your property in order to lengthen the runway , and offers you more than it's worth . 	now let's say an airport conglomerate wants to buy your property in order to lengthen the runway , and offers you more than it's worth .	1	-1	 now[0] let's[0] say[0] an[0] airport[0] conglomerate[0] wants[0] to[0] buy[0] your[0] property[0] in[0] order[0] to[0] lengthen[0] the[0] runway[0] and[0] offers[0] you[0] more[0] than[0] it's[0] worth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wouldn't you jump in the air and have your bags packed before you landed ? 	wouldn't you jump in the air and have your bags packed before you landed ?	1	-1	 wouldn't[0] you[0] jump[0] in[0] the[0] air[0] and[0] have[0] your[0] bags[0] packed[0] before[0] you[0] landed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course you would . 	of course you would .	1	-1	 of[0] course[0] you[0] would[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but what if this bit of land was your idea of paradise , and the house your castle ? 	but what if this bit of land was your idea of paradise , and the house your castle ?	4	-1	 but[0] what[0] if[0] this[0] bit[0] of[0] land[0] was[0] your[0] idea[0] of[0] paradise[3] and[0] the[0] house[0] your[0] castle[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
that's what they are to darryl kerrigan ( michael caton ) , and although he's happy that a multi-national corporation would like to buy his home , sorry , it's not for sale . 	that's what they are to darryl kerrigan ( michael caton ) , and although he's happy that a multi-national corporation would like to buy his home , sorry , it's not for sale .	2	-2	 that's[0] what[0] they[0] are[0] to[0] darryl[0] kerrigan[0] michael[0] caton[0] and[0] although[0] he's[0] happy[1] that[0] a[0] multi[0] national[0] corporation[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] buy[0] his[0] home[0] sorry[-1] it's[0] not[0] for[0] sale[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , the corporation wields quite a bit of influence over the australian government , which serves darryl and his family with what amounts to an eviction notice . 	unfortunately , the corporation wields quite a bit of influence over the australian government , which serves darryl and his family with what amounts to an eviction notice .	1	-3	 unfortunately[-1] the[0] corporation[0] wields[0] quite[0] a[0] bit[0] of[0] influence[0] over[0] the[0] australian[0] government[0] which[0] serves[0] darryl[0] and[0] his[0] family[0] with[0] what[0] amounts[0] to[0] an[0] eviction[-2] notice[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
not about to take this lying down , darryl enlists the help of his inept attorney friend dennis denuto ( tiriel mora ) and makes a determined , albeit pathetic , attempt to fight back . 	not about to take this lying down , darryl enlists the help of his inept attorney friend dennis denuto ( tiriel mora ) and makes a determined , albeit pathetic , attempt to fight back .	2	-4	 not[0] about[0] to[0] take[0] this[0] lying[-3] down[0] darryl[0] enlists[0] the[0] help[0] of[0] his[0] inept[0] attorney[0] friend[1] dennis[0] denuto[0] tiriel[0] mora[0] and[0] makes[0] a[0] determined[0] albeit[0] pathetic[-2] attempt[0] to[0] fight[-2] back[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the castle , an australian comedy by rob sitch , is perhaps one of the simplest movies i've seen in recent memory , yet also one of the funniest . 	the castle , an australian comedy by rob sitch , is perhaps one of the simplest movies i've seen in recent memory , yet also one of the funniest .	2	-1	 the[0] castle[0] an[0] australian[0] comedy[0] by[0] rob[0] sitch[0] is[0] perhaps[0] one[0] of[0] the[0] simplest[0] movies[0] i've[0] seen[0] in[0] recent[0] memory[0] yet[0] also[0] one[0] of[0] the[0] funniest[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , it is this film's reliance on simplicity which makes it so successful . 	in fact , it is this film's reliance on simplicity which makes it so successful .	3	-1	 in[0] fact[0] it[0] is[0] this[0] film's[0] reliance[0] on[0] simplicity[0] which[0] makes[0] it[0] so[0] successful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the good guys and the bad guys are clear , the humor is straightforward , and the storyline is as uncomplicated as it gets . 	the good guys and the bad guys are clear , the humor is straightforward , and the storyline is as uncomplicated as it gets .	3	-2	 the[0] good[1] guys[0] and[0] the[0] bad[-1] guys[0] are[0] clear[0] the[0] humor[2] is[0] straightforward[0] and[0] the[0] storyline[0] is[0] as[0] uncomplicated[0] as[0] it[0] gets[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
