one of the sweetest tales to ever be made , it's a wonderful life isn't perfect , but its good natured charm and beautiful performances light up the screen with glorious results . 	Translation	Positive	Negative	EmotionRationale
probably the greatest " feel-good " film of all time , it's a wonderful life aims for the heart , and strikes with a golden arrow . 	probably the greatest " feel-good " film of all time , it's a wonderful life aims for the heart , and strikes with a golden arrow .	3	-1	 probably[0] the[0] greatest[2] feel[0] good[1] film[0] of[0] all[0] time[0] it's[0] a[0] wonderful[2] life[0] aims[0] for[0] the[0] heart[0] and[0] strikes[0] with[0] a[0] golden[0] arrow[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
on christmas eve , george bailey ( stewart ) is being prayed for by many in the small town of bedford falls . 	on christmas eve , george bailey ( stewart ) is being prayed for by many in the small town of bedford falls .	1	-2	 on[0] christmas[0] eve[0] george[0] bailey[-1] stewart[0] is[0] being[0] prayed[0] for[0] by[0] many[0] in[0] the[0] small[0] town[0] of[0] bedford[0] falls[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you see , george is in trouble , and he has always helped others who needed it . 	you see , george is in trouble , and he has always helped others who needed it .	1	-2	 you[0] see[0] george[0] is[0] in[0] trouble[-1] and[0] he[0] has[0] always[0] helped[0] others[0] who[0] needed[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this one time , however , god answers his prayers , and sends down the lovable guardian angel clarence ( travers ) to try and save george . 	this one time , however , god answers his prayers , and sends down the lovable guardian angel clarence ( travers ) to try and save george .	2	-1	 this[0] one[0] time[0] however[0] god[0] answers[0] his[0] prayers[0] and[0] sends[0] down[0] the[0] lovable[0] guardian[0] angel[0] clarence[0] travers[0] to[0] try[0] and[0] save[1] george[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
clarence has got his own problems , however . 	clarence has got his own problems , however .	1	-2	 clarence[0] has[0] got[0] his[0] own[0] problems[-1] however[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
clarence is an angel without his wings , and each time the bell rings , the wings pass him by . 	clarence is an angel without his wings , and each time the bell rings , the wings pass him by .	1	-1	 clarence[0] is[0] an[0] angel[0] without[0] his[0] wings[0] and[0] each[0] time[0] the[0] bell[0] rings[0] the[0] wings[0] pass[0] him[0] by[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the bailey case is a way for him to earn those magical wings and become a true angel . 	the bailey case is a way for him to earn those magical wings and become a true angel .	2	-2	 the[0] bailey[-1] case[0] is[0] a[0] way[0] for[0] him[0] to[0] earn[0] those[0] magical[0] wings[0] and[0] become[0] a[0] true[1] angel[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but before clarence can save george , he first has to go through a cliffs notes version of george bailey's life . 	but before clarence can save george , he first has to go through a cliffs notes version of george bailey's life .	2	-2	 but[0] before[0] clarence[0] can[0] save[1] george[0] he[0] first[0] has[0] to[0] go[0] through[0] a[0] cliffs[0] notes[0] version[0] of[0] george[0] bailey's[-1] life[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we see george sacrificing his hearing to save his brother's life , sacrificing his college education to save the family business , sacrificing his dream of living far away to support his brother , and even sacrificing his life to make sure his brother is happy working somewhere else . 	we see george sacrificing his hearing to save his brother's life , sacrificing his college education to save the family business , sacrificing his dream of living far away to support his brother , and even sacrificing his life to make sure his brother is happy working somewhere else .	2	-1	 we[0] see[0] george[0] sacrificing[0] his[0] hearing[0] to[0] save[1] his[0] brother's[0] life[0] sacrificing[0] his[0] college[0] education[0] to[0] save[1] the[0] family[0] business[0] sacrificing[0] his[0] dream[0] of[0] living[0] far[0] away[0] to[0] support[1] his[0] brother[0] and[0] even[0] sacrificing[0] his[0] life[0] to[0] make[0] sure[0] his[0] brother[0] is[0] happy[1] working[0] somewhere[0] else[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when the bank his family owns is in trouble , george gives away his honeymoon money to make sure the bank isn't sold to the evil mr . potter ( barrymore ) , who wants nothing less than to get the baileys out of bedford falls . 	when the bank his family owns is in trouble , george gives away his honeymoon money to make sure the bank isn't sold to the evil mr .<br> potter ( barrymore ) , who wants nothing less than to get the baileys out of bedford falls .	1	-3	 when[0] the[0] bank[0] his[0] family[0] owns[0] is[0] in[0] trouble[-1] george[0] gives[0] away[0] his[0] honeymoon[0] money[0] to[0] make[0] sure[0] the[0] bank[0] isn't[0] sold[0] to[0] the[0] evil[-2] mr[0] [[Sentence=-3,1=word max, 1-5]] potter[0] barrymore[0] who[0] wants[0] nothing[0] less[0] than[0] to[0] get[0] the[0] baileys[-1] out[0] of[0] bedford[0] falls[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
