there are certain people in the world who have some talent that very few people have , but they chose not to take advantage of this for some personal reason . 	Translation	Positive	Negative	EmotionRationale
 " good will hunting " is about one of those people . 	 " good will hunting " is about one of those people .	2	-1	 good[1] will[0] hunting[0] is[0] about[0] one[0] of[0] those[0] people[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the will hunting of the ( horrible ) title ( let's face it , this film would be a bitch to title ) , played by co-writer matt damon , is a mathematical genius . 	the will hunting of the ( horrible ) title ( let's face it , this film would be a bitch to title ) , played by co-writer matt damon , is a mathematical genius .	1	-4	 the[0] will[0] hunting[0] of[0] the[0] horrible[-3] title[0] let's[0] face[0] it[0] this[0] film[0] would[0] be[0] a[0] bitch[-1] to[0] title[0] played[0] by[0] co[0] writer[0] matt[0] damon[0] is[0] a[0] mathematical[0] genius[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he can do almost any mathematical connundrum in about the time it takes to brew a cup of irish cream cappuccino . 	he can do almost any mathematical conundrum in about the time it takes to brew a cup of irish cream cappuccino .	1	-1	 he[0] can[0] do[0] almost[0] any[0] mathematical[0] connundrum/conundrum[0] in[0] about[0] the[0] time[0] it[0] takes[0] to[0] brew[0] a[0] cup[0] of[0] irish[0] cream[0] cappuccino[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and he works at mit . . . as the janitor . 	and he works at mit .<br> .<br> .<br> as the janitor .	1	-1	 and[0] he[0] works[0] at[0] mit[0] [[Sentence=-1,1=word max, 1-5]] as[0] the[0] janitor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one day , the professor of one of the most challenging courses , proffessor lambeau ( " breaking the waves " 's stellan skarsg ? rd ) , puts a big problem on the board for his students to attempt to complete . 	one day , the professor of one of the most challenging courses , professor lambeau ( " breaking the waves " 's stellan skarsg ?<br> rd ) , puts a big problem on the board for his students to attempt to complete .	1	-2	 one[0] day[0] the[0] professor[0] of[0] one[0] of[0] the[0] most[0] challenging[0] courses[0] proffessor/professor[0] lambeau[0] breaking[0] the[0] waves[0] 's[0] stellan[0] skarsg[0] [[Sentence=-1,1=word max, 1-5]] rd[0] puts[0] a[0] big[0] problem[-1] on[0] the[0] board[0] for[0] his[0] students[0] to[0] attempt[0] to[0] complete[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the next day , it's already done on the board , but no one in his class claims to have done it . 	the next day , it's already done on the board , but no one in his class claims to have done it .	1	-1	 the[0] next[0] day[0] it's[0] already[0] done[0] on[0] the[0] board[0] but[0] no[0] one[0] in[0] his[0] class[0] claims[0] to[0] have[0] done[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so lambeau puts another problem on the board , this time one that took he and his colleagues over two years to prove . 	so lambeau puts another problem on the board , this time one that took he and his colleagues over two years to prove .	1	-2	 so[0] lambeau[0] puts[0] another[0] problem[-1] on[0] the[0] board[0] this[0] time[0] one[0] that[0] took[0] he[0] and[0] his[0] colleagues[0] over[0] two[0] years[0] to[0] prove[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and , duh , it's done again . 	and , duh , it's done again .	1	-1	 and[0] duh[0] it's[0] done[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , they catch the guy who did it red handed - will . 	of course , they catch the guy who did it red handed - will .	1	-1	 of[0] course[0] they[0] catch[0] the[0] guy[0] who[0] did[0] it[0] red[0] handed[0] will[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
before lambeau can find will again ( he ran away when he caught him ) , will has gotten into a fight with a bunch of punks on a basketball court , and struck a police officer , so lambeau gets him out on probation with two agreements : a ) he work with him on math , and b ) he get some therapy . 	before lambeau can find will again ( he ran away when he caught him ) , will has gotten into a fight with a bunch of punks on a basketball court , and struck a police officer , so lambeau gets him out on probation with two agreements : a ) he work with him on math , and b ) he get some therapy .	1	-3	 before[0] lambeau[0] can[0] find[0] will[0] again[0] he[0] ran[0] away[0] when[0] he[0] caught[0] him[0] will[0] has[0] gotten[0] into[0] a[0] fight[-2] with[0] a[0] bunch[0] of[0] punks[0] on[0] a[0] basketball[0] court[0] and[0] struck[-1] a[0] police[0] officer[0] so[0] lambeau[0] gets[0] him[0] out[0] on[0] probation[0] with[0] two[0] agreements[0] a[0] he[0] work[0] with[0] him[0] on[0] math[0] and[0] b[0] he[0] get[0] some[0] therapy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after going through some therapists whom he psyches out in one way or another ( for a hypnotist , he fakes being under his spell , then launches into an impromptu performance of the 70s classic , " afternoon delight " ) . 	after going through some therapists whom he psyches out in one way or another ( for a hypnotist , he fakes being under his spell , then launches into an impromptu performance of the 70s classic , " afternoon delight " ) .	3	-2	 after[0] going[0] through[0] some[0] therapists[0] whom[0] he[0] psyches[0] out[0] in[0] one[0] way[0] or[0] another[0] for[0] a[0] hypnotist[0] he[0] fakes[-1] being[0] under[0] his[0] spell[0] then[0] launches[0] into[0] an[0] impromptu[0] performance[0] of[0] the[0] 70s[0] classic[0] afternoon[0] delight[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
finally , lambeau's old college roomate , sean mcguire ( robin williams ) , a psych professor , agrees to treat him , and the two begin a rocky relationship , as sean tries to get will to open up . 	finally , lambeau's old college roomate , sean mcguire ( robin williams ) , a psych professor , agrees to treat him , and the two begin a rocky relationship , as sean tries to get will to open up .	2	-1	 finally[0] lambeau's[0] old[0] college[0] roomate[0] sean[0] mcguire[0] robin[0] williams[0] a[0] psych[0] professor[0] agrees[0] to[0] treat[1] him[0] and[0] the[0] two[0] begin[0] a[0] rocky[0] relationship[0] as[0] sean[0] tries[0] to[0] get[0] will[0] to[0] open[0] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
turns out will had a rough childhood , being abandoned , and placed in foster homes and what not . 	turns out will had a rough childhood , being abandoned , and placed in foster homes and what not .	1	-2	 turns[0] out[0] will[0] had[0] a[0] rough[-1] childhood[0] being[0] abandoned[-1] and[0] placed[0] in[0] foster[0] homes[0] and[0] what[0] not[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it also turns out that will does not want to do simple mathematics all his life ; he wants a challenge . 	it also turns out that will does not want to do simple mathematics all his life ; he wants a challenge .	1	-2	 it[0] also[0] turns[0] out[0] that[0] will[0] does[0] not[0] want[0] to[0] do[0] simple[0] mathematics[0] all[0] his[0] life[0] he[0] wants[0] a[0] challenge[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and that is to hang out with his buds ( including the other co-writer , ben affleck ) , and do honorable jobs , like construction . 	and that is to hang out with his buds ( including the other co-writer , ben affleck ) , and do honorable jobs , like construction .	2	-2	 and[0] that[0] is[0] to[0] hang[-1] out[0] with[0] his[0] buds[0] including[0] the[0] other[0] co[0] writer[0] ben[0] affleck[0] and[0] do[0] honorable[1] jobs[0] like[1] construction[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
is it right to make this genius follow in the footsteps of einstein and kasinsky ? 	is it right to make this genius follow in the footsteps of einstein and kasinsky ?	1	-1	 is[0] it[0] right[0] to[0] make[0] this[0] genius[0] follow[0] in[0] the[0] footsteps[0] of[0] einstein[0] and[0] kasinsky[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
should this guy be forced to do something he doesn't want to do ? 	should this guy be forced to do something he doesn't want to do ?	1	-1	 should[0] this[0] guy[0] be[0] forced[0] to[0] do[0] something[0] he[0] doesn't[0] want[0] to[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this appears to be one of the million questions in this film , which is jam-packed with greatness , but does not have the totally brilliant whole it should . 	this appears to be one of the million questions in this film , which is jam-packed with greatness , but does not have the totally brilliant whole it should .	3	-1	 this[0] appears[0] to[0] be[0] one[0] of[0] the[0] million[0] questions[0] in[0] this[0] film[0] which[0] is[0] jam[0] packed[0] with[0] greatness[2] but[0] does[0] not[0] have[0] the[0] totally[0] brilliant[1][1 LastWordBoosterStrength] whole[0] it[0] should[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i'm not saying " good will hunting " is a bad film at all . 	i'm not saying " good will hunting " is a bad film at all .	1	-2	 i'm[0] not[0] saying[0] good[1][NegatedDueToPreviousWord] will[0] hunting[0] is[0] a[0] bad[-1] film[0] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's a very enjoyable film with tons of great moments , and lots of great things about it . 	it's a very enjoyable film with tons of great moments , and lots of great things about it .	4	-1	 it's[0] a[0] very[0] enjoyable[2][1 LastWordBoosterStrength] film[0] with[0] tons[0] of[0] great[2] moments[0] and[0] lots[0] of[0] great[2] things[0] about[0] it[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
