one way of telling if a film is good or not is by the length . 	Translation	Positive	Negative	EmotionRationale
if a film is only 90 minutes , but feels like 300 minutes , then it's crap . 	if a film is only 90 minutes , but feels like 300 minutes , then it's crap .	2	-3	 if[0] a[0] film[0] is[0] only[0] 90[0] minutes[0] but[0] feels[0] like[1] 300[0] minutes[0] then[0] it's[0] crap[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but if a film last 2 1/2 hours , and feels like 90 minutes , then it's excellent . 	but if a film last 2 1/2 hours , and feels like 90 minutes , then it's excellent .	4	-1	 but[0] if[0] a[0] film[0] last[0] 2[0] 1/2[0] hours[0] and[0] feels[0] like[1] 90[0] minutes[0] then[0] it's[0] excellent[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
boogie nights falls into the latter catagory . 	boogie nights falls into the latter catagory .	1	-1	 boogie[0] nights[0] falls[0] into[0] the[0] latter[0] catagory[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the director , anderson , delivers a funny , hip , yet sometimes violent film , which flies along . 	the director , anderson , delivers a funny , hip , yet sometimes violent film , which flies along .	2	-2	 the[0] director[0] anderson[0] delivers[0] a[0] funny[1] hip[0] yet[0] sometimes[0] violent[-2][--1 LastWordBoosterStrength] film[0] which[0] flies[0] along[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
mark whalberg , a . k . a 	mark whalberg , a .<br> k .<br> a	1	-1	 mark[0] whalberg[0] a[0] [[Sentence=-1,1=word max, 1-5]] k[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
marky mark , plays eddie adams , a seventeen year old with a certain 'gift' in the midriff area . 	marky mark , plays eddie adams , a seventeen year old with a certain 'gift' in the midriff area .	2	-1	 marky[0] mark[0] plays[1] eddie[0] adams[0] a[0] seventeen[0] year[0] old[0] with[0] a[0] certain[0] 'gift'[0] in[0] the[0] midriff[0] area[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jack horner ( reynolds ) is a adult film director , who decides that eddie would be great in the adult movie business . 	jack horner ( reynolds ) is a adult film director , who decides that eddie would be great in the adult movie business .	3	-1	 jack[0] horner[0] reynolds[0] is[0] a[0] adult[0] film[0] director[0] who[0] decides[0] that[0] eddie[0] would[0] be[0] great[2] in[0] the[0] adult[0] movie[0] business[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
after running away from home , eddie joins jack , changes his name to dirk diggler , and starts making erotic movies . 	after running away from home , eddie joins jack , changes his name to dirk diggler , and starts making erotic movies .	1	-1	 after[0] running[0] away[0] from[0] home[0] eddie[0] joins[0] jack[0] changes[0] his[0] name[0] to[0] dirk[0] diggler[0] and[0] starts[0] making[0] erotic[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the movie business , dirk meets a whole load of characters ( which the film introduces very quickly and slickly ) such as scotty ( phillip seymour hoffman ) , rollergirl ( graham ) amber ( moore ) and floyd ( phillip baker hall ) , and little bill ( william h . macy ) all the characters are well written , well played , and the audience gets to know them pretty well , thanks to the excellent script . 	in the movie business , dirk meets a whole load of characters ( which the film introduces very quickly and slickly ) such as scotty ( phillip seymour hoffman ) , rollergirl ( graham ) amber ( more ) and floyd ( phillip baker hall ) , and little bill ( william h .<br> macy ) all the characters are well written , well played , and the audience gets to know them pretty well , thanks to the excellent script .	4	-1	 in[0] the[0] movie[0] business[0] dirk[0] meets[0] a[0] whole[0] load[0] of[0] characters[0] which[0] the[0] film[0] introduces[0] very[0] quickly[0] and[0] slickly[0] such[0] as[0] scotty[0] phillip[0] seymour[0] hoffman[0] rollergirl[0] graham[0] amber[0] moore/more[0] and[0] floyd[0] phillip[0] baker[0] hall[0] and[0] little[0] bill[0] william[0] h[0] [[Sentence=-1,1=word max, 1-5]] macy[0] all[0] the[0] characters[0] are[0] well[0] written[0] well[0] played[0] and[0] the[0] audience[0] gets[0] to[0] know[0] them[0] pretty[2] well[0] thanks[1] to[0] the[0] excellent[3] script[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
we learn about ambers grief about not being able to see her child due to a divorce , rollergirls hard time at school , and little bills wife , who sleeps with everyone except her husband . 	we learn about ambers grief about not being able to see her child due to a divorce , rollergirls hard time at school , and little bills wife , who sleeps with everyone except her husband .	1	-4	 we[0] learn[0] about[0] ambers[0] grief[-3] about[0] not[0] being[0] able[0] to[0] see[0] her[0] child[0] due[0] to[0] a[0] divorce[-1] rollergirls[0] hard[0] time[0] at[0] school[0] and[0] little[0] bills[0] wife[0] who[0] sleeps[0] with[0] everyone[0] except[0] her[0] husband[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
