whew . this film oozes energy , the kind of breakneck , no- holds-barred , in-your-face risk-taking filmmaking that is seldom seen on screen these days . 	Translation	Positive	Negative	EmotionRationale
like the marginal , motley bunch of post-apocalyptic youths director danny boyle tries to depict , trainspotting veers on the edge of utter mayhem but ultimately retains its footing and control . 	like the marginal , motley bunch of post-apocalyptic youths director danny boyle tries to depict , trainspotting veers on the edge of utter mayhem but ultimately retains its footing and control .	2	-2	 like[1] the[0] marginal[-1] motley[-1] bunch[0] of[0] post[0] apocalyptic[0] youths[0] director[0] danny[0] boyle[0] tries[0] to[0] depict[0] trainspotting[0] veers[0] on[0] the[0] edge[0] of[0] utter[0] mayhem[0] but[0] ultimately[0] retains[0] its[0] footing[0] and[0] control[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the result : a movie that is a delightful example of how the medium is the message . 	the result : a movie that is a delightful example of how the medium is the message .	3	-1	 the[0] result[0] a[0] movie[0] that[0] is[0] a[0] delightful[2] example[0] of[0] how[0] the[0] medium[0] is[0] the[0] message[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the message : a bunch of losers with loser names , mark renton ( ewan mcgregor ) , spud ( ewan bremner ) , sick boy ( jonny lee miller ) , tommy ( kevin mckidd ) , and begbie ( robert carlyle ) . 	the message : a bunch of losers with loser names , mark renton ( ewan mcgregor ) , spud ( ewan bremner ) , sick boy ( jonny lee miller ) , tommy ( kevin mckidd ) , and begbie ( robert carlyle ) .	1	-3	 the[0] message[0] a[0] bunch[0] of[0] losers[-2] with[0] loser[-2] names[0] mark[0] renton[0] ewan[0] mcgregor[0] spud[0] ewan[0] bremner[0] sick[-1] boy[0] jonny[0] lee[0] miller[0] tommy[0] kevin[0] mckidd[0] and[0] begbie[0] robert[0] carlyle[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
bored , aimless and restless , their routine consists of getting drunk at the local pub , grooving to techno or glam-rock at the local disco and getting shots up the arm at the local den and procuring cash through a variety of methods , some ingenious , others plainly dumb and desperate . 	bored , aimless and restless , their routine consists of getting drunk at the local pub , grooving to techno or glam-rock at the local disco and getting shots up the arm at the local den and procuring cash through a variety of methods , some ingenious , others plainly dumb and desperate .	2	-3	 bored[-1] aimless[-1] and[0] restless[-1] their[0] routine[0] consists[0] of[0] getting[0] drunk[-1] at[0] the[0] local[0] pub[0] grooving[0] to[0] techno[0] or[0] glam[0] rock[1] at[0] the[0] local[0] disco[0] and[0] getting[0] shots[0] up[0] the[0] arm[0] at[0] the[0] local[0] den[0] and[0] procuring[0] cash[0] through[0] a[0] variety[0] of[0] methods[0] some[0] ingenious[0] others[0] plainly[0] dumb[-1] and[0] desperate[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
not part of the daily dose if obtained , sex is a bonus . 	not part of the daily dose if obtained , sex is a bonus .	1	-1	 not[0] part[0] of[0] the[0] daily[0] dose[0] if[0] obtained[0] sex[0] is[0] a[0] bonus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you can find these characters as they are , foul-mouthed , dirty , pathetic , ugly perhaps but definitely interesting , in irvin welsh's cult novel of the same name . 	you can find these characters as they are , foul-mouthed , dirty , pathetic , ugly perhaps but definitely interesting , in irvin welsh's cult novel of the same name .	3	-4	 you[0] can[0] find[0] these[0] characters[0] as[0] they[0] are[0] foul[0] mouthed[0] dirty[-1] pathetic[-2] ugly[-2][-1 MultiplePositiveWords] perhaps[0] but[0] definitely[0] interesting[1][1 LastWordBoosterStrength] in[0] irvin[0] welsh's[0] cult[0] novel[0] of[0] the[0] same[0] name[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
what makes the film a completely different experience is how director boyle uses every tool at his disposal to make the filmic medium synchronous with the message . 	what makes the film a completely different experience is how director boyle uses every tool at his disposal to make the filmic medium synchronous with the message .	1	-2	 what[0] makes[0] the[0] film[0] a[0] completely[0] different[0] experience[0] is[0] how[0] director[0] boyle[0] uses[0] every[0] tool[0] at[0] his[0] disposal[-1] to[0] make[0] the[0] filmic[0] medium[0] synchronous[0] with[0] the[0] message[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one of the first things you'll notice is how the camera seems to dart around restlessly . 	one of the first things you'll notice is how the camera seems to dart around restlessly .	1	-2	 one[0] of[0] the[0] first[0] things[0] you'll[0] notice[0] is[0] how[0] the[0] camera[0] seems[0] to[0] dart[0] around[0] restlessly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it'll truck into a character's pimple , just as soon as it will dolly out to an establishing shot . 	it'll truck into a character's pimple , just as soon as it will dolly out to an establishing shot .	1	-2	 it'll[0] truck[0] into[0] a[0] character's[0] pimple[0] just[0] as[0] soon[0] as[0] it[0] will[0] dolly[0] out[0] to[0] an[0] establishing[0] shot[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
distracted and curious , it'll maintain a character's eye-level or drop right to the ground to show the doped-out-eye-view . 	distracted and curious , it'll maintain a character's eye-level or drop right to the ground to show the doped-out-eye-view .	1	-2	 distracted[-1] and[0] curious[0] it'll[0] maintain[0] a[0] character's[0] eye[0] level[0] or[0] drop[-1] right[0] to[0] the[0] ground[0] to[0] show[0] the[0] doped[0] out[0] eye[0] view[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
