plot : a big-time momma's boy can't seem to leave his mother's crib and make good on the babies that he himself has produced in the world . 	Translation	Positive	Negative	EmotionRationale
he visits his kids ( and their mommas ) every now and then , but his main goal in life is . . . well , he doesn't have any goals . 	he visits his kids ( and their mommas ) every now and then , but his main goal in life is .<br> .<br> .<br> well , he doesn't have any goals .	1	-1	 he[0] visits[0] his[0] kids[0] and[0] their[0] mommas[0] every[0] now[0] and[0] then[0] but[0] his[0] main[0] goal[0] in[0] life[0] is[0] [[Sentence=-1,1=word max, 1-5]] well[0] he[0] doesn't[0] have[0] any[0] goals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then one day , his mother gets an ex-gangsta boyfriend and suddenly he isn't as welcome anymore in his own house . 	then one day , his mother gets an ex-gangsta boyfriend and suddenly he isn't as welcome anymore in his own house .	1	-2	 then[0] one[0] day[0] his[0] mother[0] gets[0] an[0] ex[0] gangsta[0] boyfriend[0] and[0] suddenly[0] he[0] isn't[0] as[0] welcome[1][NegatedDueToPreviousWord] anymore[0] in[0] his[0] own[0] house[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it isn't long after that , that his girlfriends start realizing what a jerk he really is and well . . . it's 	it isn't long after that , that his girlfriends start realizing what a jerk he really is and well .<br> .<br> .<br> it's	1	-3	 it[0] isn't[0] long[0] after[0] that[0] that[0] his[0] girlfriends[0] start[0] realizing[0] what[0] a[0] jerk[-2] he[0] really[0] is[0] and[0] well[0] [[Sentence=-3,1=word max, 1-5]] it's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
either time to grow up or bow down ! 	either time to grow up or bow down !	1	-1	 either[0] time[0] to[0] grow[0] up[0] or[0] bow[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
critique : first things first ! 	critique : first things first !	1	-1	 critique[0] first[0] things[0] first[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this movie ain't about the " hood " at all , it's an intelligent film about love , relationships , family , friendship , maturity and growing up . 	this movie ain't about the " hood " at all , it's an intelligent film about love , relationships , family , friendship , maturity and growing up .	3	-1	 this[0] movie[0] ain't[0] about[0] the[0] hood[0] at[0] all[0] it's[0] an[0] intelligent[1] film[0] about[0] love[2] relationships[0] family[0] friendship[1] maturity[0] and[0] growing[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
do not avoid this film because you think it's about gangbangers and stuff , because it isn't at all . 	do not avoid this film because you think it's about gangbangers and stuff , because it isn't at all .	2	-1	 do[0] not[0] avoid[-1][NegatedDueToPreviousWord] this[0] film[0] because[0] you[0] think[0] it's[0] about[0] gangbangers[0] and[0] stuff[0] because[0] it[0] isn't[0] at[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's about you , it's about me , it's about your girlfriend , your mother , your problems and your inability to face up to your responsibilities and to , well . . . grow 	it's about you , it's about me , it's about your girlfriend , your mother , your problems and your inability to face up to your responsibilities and to , well .<br> .<br> .<br> grow	1	-2	 it's[0] about[0] you[0] it's[0] about[0] me[0] it's[0] about[0] your[0] girlfriend[0] your[0] mother[0] your[0] problems[-1] and[0] your[0] inability[-1] to[0] face[0] up[0] to[0] your[0] responsibilities[0] and[0] to[0] well[0] [[Sentence=-2,1=word max, 1-5]] grow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
up ! 	up !	1	-1	 up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is an extremely well-written film , with some of the most developed characters that i've seen on the screen all year , with superb acting performances to match . 	this is an extremely well-written film , with some of the most developed characters that i've seen on the screen all year , with superb acting performances to match .	1	-1	 this[0] is[0] an[0] extremely[0] well[0] written[0] film[0] with[0] some[0] of[0] the[0] most[0] developed[0] characters[0] that[0] i've[0] seen[0] on[0] the[0] screen[0] all[0] year[0] with[0] superb[0] acting[0] performances[0] to[0] match[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
granted , the film does start a little slow ( and go a little long ) , but hang in there , because once you appreciate and get to know all of its characters , you will be glad that you did . 	granted , the film does start a little slow ( and go a little long ) , but hang in there , because once you appreciate and get to know all of its characters , you will be glad that you did .	2	-2	 granted[0] the[0] film[0] does[0] start[0] a[0] little[0] slow[0] and[0] go[0] a[0] little[0] long[0] but[0] hang[-1] in[0] there[0] because[0] once[0] you[0] appreciate[1] and[0] get[0] to[0] know[0] all[0] of[0] its[0] characters[0] you[0] will[0] be[0] glad[1] that[0] you[0] did[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this isn't a kid's movie . 	this isn't a kid's movie .	1	-1	 this[0] isn't[0] a[0] kid's[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is about the step that you need to take in order to pass into full " adulthood " and some might not appreciate the grander theme behind that step . 	this is about the step that you need to take in order to pass into full " adulthood " and some might not appreciate the grander theme behind that step .	2	-2	 this[0] is[0] about[0] the[0] step[0] that[0] you[0] need[0] to[0] take[0] in[0] order[0] to[0] pass[0] into[0] full[0] adulthood[0] and[0] some[0] might[0] not[0] appreciate[1][NegatedDueToPreviousWord] the[0] grander[1] theme[0] behind[0] that[0] step[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
