october sky is a rare oddity in cinema : a self-proclaimed " uplifting " film that is actually uplifting ! 	Translation	Positive	Negative	EmotionRationale
based on the autobiographical book by homer hickam , rocket boys , october sky tells the struggle of four boys reaching for their dream . 	based on the autobiographical book by homer hickam , rocket boys , october sky tells the struggle of four boys reaching for their dream .	1	-2	 based[0] on[0] the[0] autobiographical[0] book[0] by[0] homer[0] hickam[0] rocket[0] boys[0] october[0] sky[0] tells[0] the[0] struggle[-1] of[0] four[0] boys[0] reaching[0] for[0] their[0] dream[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's 1957 , and for the boys of coalwood , west virginia , there's not much hope of a rosy future . 	it's 1957 , and for the boys of coalwood , west virginia , there's not much hope of a rosy future .	1	-3	 it's[0] 1957[0] and[0] for[0] the[0] boys[0] of[0] coalwood[0] west[0] virginia[0] there's[0] not[0] much[0] hope[2][NegatedDueToPreviousWord] of[0] a[0] rosy[0] future[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
coalwood is a coal mining town , and , except for the few lucky ones who manage to escape on a football scholarship , most of coalwood's boys are destined to work in the mine . 	coalwood is a coal mining town , and , except for the few lucky ones who manage to escape on a football scholarship , most of coalwood's boys are destined to work in the mine .	2	-1	 coalwood[0] is[0] a[0] coal[0] mining[0] town[0] and[0] except[0] for[0] the[0] few[0] lucky[1] ones[0] who[0] manage[0] to[0] escape[0] on[0] a[0] football[0] scholarship[0] most[0] of[0] coalwood's[0] boys[0] are[0] destined[0] to[0] work[0] in[0] the[0] mine[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but , in october 1957 , an event happens that sparks one boy to dream . 	but , in october 1957 , an event happens that sparks one boy to dream .	1	-1	 but[0] in[0] october[0] 1957[0] an[0] event[0] happens[0] that[0] sparks[0] one[0] boy[0] to[0] dream[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the launch of the soviet satellite sputnik sets homer hickam ( jake gyllenhaal ) to dream a future of rocketry and space travel . 	the launch of the soviet satellite sputnik sets homer hickam ( jake gyllenhal ) to dream a future of rocketry and space travel .	1	-1	 the[0] launch[0] of[0] the[0] soviet[0] satellite[0] sputnik[0] sets[0] homer[0] hickam[0] jake[0] gyllenhaal/gyllenhal[0] to[0] dream[0] a[0] future[0] of[0] rocketry[0] and[0] space[0] travel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , homer's parents ( chris cooper and natalie canderday ) aren't quite sure what to make of their son's unusual interests . 	of course , homer's parents ( chris cooper and natalie canderday ) aren't quite sure what to make of their son's unusual interests .	2	-1	 of[0] course[0] homer's[0] parents[0] chris[0] cooper[0] and[0] natalie[0] canderday[0] aren't[0] quite[0] sure[0] what[0] to[0] make[0] of[0] their[0] son's[0] unusual[0] interests[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
homer gets his strongest encouragement from miss riley ( laura dern ) , a teacher in his school who also informs him about the scholarships offered to the winners of a national science fair . 	homer gets his strongest encouragement from miss riley ( laura dern ) , a teacher in his school who also informs him about the scholarships offered to the winners of a national science fair .	2	-2	 homer[0] gets[0] his[0] strongest[0] encouragement[1] from[0] miss[-1] riley[0] laura[0] dern[0] a[0] teacher[0] in[0] his[0] school[0] who[0] also[0] informs[0] him[0] about[0] the[0] scholarships[0] offered[0] to[0] the[0] winners[1] of[0] a[0] national[0] science[0] fair[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and so , with stars in his eyes , and thoughts of scholarships in his head , homer enlists the help of three other boys ( william lee scott , chad lindberg and chris owen ) and begins to build a rocket . 	and so , with stars in his eyes , and thoughts of scholarships in his head , homer enlists the help of three other boys ( william lee scot , chad lindberg and chris owen ) and begins to build a rocket .	1	-1	 and[0] so[0] with[0] stars[0] in[0] his[0] eyes[0] and[0] thoughts[0] of[0] scholarships[0] in[0] his[0] head[0] homer[0] enlists[0] the[0] help[0] of[0] three[0] other[0] boys[0] william[0] lee[0] scott/scot[0] chad[0] lindberg[0] and[0] chris[0] owen[0] and[0] begins[0] to[0] build[0] a[0] rocket[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , do these four backwoods boys even have the slightest hope of escaping their destiny ? 	but , do these four backwoods boys even have the slightest hope of escaping their destiny ?	3	-1	 but[0] do[0] these[0] four[0] backwoods[0] boys[0] even[0] have[0] the[0] slightest[0] hope[2] of[0] escaping[0] their[0] destiny[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there is a lot that could have gone wrong with october sky . 	there is a lot that could have gone wrong with october sky .	1	-2	 there[0] is[0] a[0] lot[0] that[0] could[0] have[0] gone[0] wrong[-1] with[0] october[0] sky[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
