gere , willis , poitier chase each other around the world 	Translation	Positive	Negative	EmotionRationale
the jackal a film review by michael redman copyright 1997 by michael redman 	the jackal a film review by michael redman copyright 1997 by michael redman	1	-1	 the[0] jackal[0] a[0] film[0] review[0] by[0] michael[0] redman[0] copyright[0] 1997[0] by[0] michael[0] redman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the soviet union imploded , the western countries lost their shadow . 	when the soviet union imploded , the western countries lost their shadow .	1	-1	 when[0] the[0] soviet[0] union[0] imploded[0] the[0] western[0] countries[0] lost[0] their[0] shadow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the united states friendly with the russians , we no longer had an entity to blame for the world's problems . 	with the united states friendly with the russians , we no longer had an entity to blame for the world's problems .	2	-2	 with[0] the[0] united[0] states[0] friendly[1] with[0] the[0] russians[0] we[0] no[0] longer[0] had[0] an[0] entity[0] to[0] blame[-1] for[0] the[0] world's[0] problems[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this showed up in hollywood films as the communist government was no longer the easy bad guy . 	this showed up in hollywood films as the communist government was no longer the easy bad guy .	1	-2	 this[0] showed[0] up[0] in[0] hollywood[0] films[0] as[0] the[0] communist[0] government[0] was[0] no[0] longer[0] the[0] easy[0] bad[-1] guy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's time to rejoice because we've found our new villain . 	it's time to rejoice because we've found our new villain .	4	-3	 it's[0] time[0] to[0] rejoice[3] because[0] we've[0] found[0] our[0] new[0] villain[-2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
now it's no longer the russian government who sends killers out into foreign lands , it's the russian _mafia_ . 	now it's no longer the russian government who sends killers out into foreign lands , it's the russian _mafia_ .	1	-2	 now[0] it's[0] no[0] longer[0] the[0] russian[0] government[0] who[0] sends[0] killers[0] out[0] into[0] foreign[-1] lands[0] it's[0] the[0] russian[0] _mafia_[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a perfect solution , it combines the dread of organized crime and the still-present uneasiness with the former eastern block countries . 	a perfect solution , it combines the dread of organized crime and the still-present uneasiness with the former eastern block countries .	2	-4	 a[0] perfect[1] solution[0] it[0] combines[0] the[0] dread[-3] of[0] organized[0] crime[-1] and[0] the[0] still[0] present[0] uneasiness[-1] with[0] the[0] former[0] eastern[0] block[-1] countries[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
best of all , the villains are still foreigners : fear of the other always plays best . 	best of all , the villains are still foreigners : fear of the other always plays best .	2	-4	 best[1] of[0] all[0] the[0] villains[-2] are[0] still[0] foreigners[0] fear[-3] of[0] the[0] other[0] always[0] plays[1] best[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
so it is a crime lord in moscow that sends legendary hitman the jackal ( bruce willis ) to assassinate a highly placed us government figure in retaliation for the death of his brother during a nightclub raid . 	so it is a crime lord in moscow that sends legendary hitman the jackal ( bruce willis ) to assassinate a highly placed us government figure in retaliation for the death of his brother during a nightclub raid .	1	-3	 so[0] it[0] is[0] a[0] crime[-1] lord[0] in[0] moscow[0] that[0] sends[0] legendary[0] hitman[0] the[0] jackal[0] bruce[0] willis[0] to[0] assassinate[-2] a[0] highly[0] placed[0] us[0] government[0] figure[0] in[0] retaliation[-1] for[0] the[0] death[-2] of[0] his[0] brother[0] during[0] a[0] nightclub[0] raid[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the fbi is at a loss as to how to protect the target from someone they're not sure even exists . 	the fbi is at a loss as to how to protect the target from someone they're not sure even exists .	1	-3	 the[0] fbi[0] is[0] at[0] a[0] loss[-2] as[0] to[0] how[0] to[0] protect[0] the[0] target[0] from[0] someone[0] they're[0] not[0] sure[0] even[0] exists[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
