[note : after claiming otherwise , my appetite was indeed whetted by kenneth branagh's hamlet to search out other attempts to translate shakespeare to film in hopes of finding a better mousetrap . 	Translation	Positive	Negative	EmotionRationale
as it happens , it didn't take long . ] 	as it happens , it didn't take long .<br> ]	1	-1	 as[0] it[0] happens[0] it[0] didn't[0] take[0] long[0] [[Sentence=-1,1=word max, 1-5]] ][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is there a more romantic director than franco zeffirelli ? 	is there a more romantic director than franco zeffirelli ?	4	-1	 is[0] there[0] a[0] more[0] romantic[3] director[0] than[0] franco[0] zeffirelli[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
known mainly to american audiences as the man behind 1968's romeo and juliet ( required viewing for many high schoolers , and as much as most ever learn of shakespeare ) , he is also a favorite at the metropolitan opera , where his achingly beautiful designs further the already lush emotion of many a puccini aria . 	known mainly to american audiences as the man behind 1968's romeo and juliet ( required viewing for many high schoolers , and as much as most ever learn of shakespeare ) , he is also a favorite at the metropolitan opera , where his achingly beautiful designs further the already lush emotion of many a puccini aria .	3	-1	 known[0] mainly[0] to[0] american[0] audiences[0] as[0] the[0] man[0] behind[0] 1968's[0] romeo[0] and[0] juliet[0] required[0] viewing[0] for[0] many[0] high[0] schoolers[0] and[0] as[0] much[0] as[0] most[0] ever[0] learn[0] of[0] shakespeare[0] he[0] is[0] also[0] a[0] favorite[1] at[0] the[0] metropolitan[0] opera[0] where[0] his[0] achingly[0] beautiful[2] designs[0] further[0] the[0] already[0] lush[0] emotion[0] of[0] many[0] a[0] puccini[0] aria[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
last year he gave us his beautifully realized version of jane eyre , one of the twin peaks ( with wuthering heights ) of romantic literature . 	last year he gave us his beautifully realized version of jane eyre , one of the twin peaks ( with wuthering heights ) of romantic literature .	4	-1	 last[0] year[0] he[0] gave[0] us[0] his[0] beautifully[2] realized[0] version[0] of[0] jane[0] eyre[0] one[0] of[0] the[0] twin[0] peaks[0] with[0] wuthering[0] heights[0] of[0] romantic[3] literature[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it might seem peculiar , then , that zeffirelli ever had an interest in translating hamlet for the screen . 	it might seem peculiar , then , that zeffirelli ever had an interest in translating hamlet for the screen .	2	-1	 it[0] might[0] seem[0] peculiar[0] then[0] that[0] zeffirelli[0] ever[0] had[0] an[0] interest[1] in[0] translating[0] hamlet[0] for[0] the[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at first blush , hamlet is far removed from romance . 	at first blush , hamlet is far removed from romance .	4	-1	 at[0] first[0] blush[0] hamlet[0] is[0] far[0] removed[0] from[0] romance[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the hero , though a prince , is depressed , conflicted and confused . 	the hero , though a prince , is depressed , conflicted and confused .	3	-4	 the[0] hero[2] though[0] a[0] prince[0] is[0] depressed[-3] conflicted[-1] and[0] confused[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the ostensible love interest gets little screen time , and her scenes with her prince are usually as an object of mockery . 	the ostensible love interest gets little screen time , and her scenes with her prince are usually as an object of mockery .	3	-3	 the[0] ostensible[0] love[2] interest[1] gets[0] little[0] screen[0] time[0] and[0] her[0] scenes[0] with[0] her[0] prince[0] are[0] usually[0] as[0] an[0] object[0] of[0] mockery[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the plot is full of political intrigue and the players are as cursed as the house of atreus . 	the plot is full of political intrigue and the players are as cursed as the house of atreus .	1	-2	 the[0] plot[0] is[0] full[0] of[0] political[0] intrigue[0] and[0] the[0] players[0] are[0] as[0] cursed[-1] as[0] the[0] house[0] of[0] atreus[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is zeffirelli's genius , however , that he is able to expose the romantic core of hamlet and give the sometimes dry tale an emotional embrace . 	it is zeffirelli's genius , however , that he is able to expose the romantic core of hamlet and give the sometimes dry tale an emotional embrace .	4	-2	 it[0] is[0] zeffirelli's[0] genius[0] however[0] that[0] he[0] is[0] able[0] to[0] expose[-1] the[0] romantic[3] core[0] of[0] hamlet[0] and[0] give[0] the[0] sometimes[0] dry[0] tale[0] an[0] emotional[-1] embrace[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
