call it touched by a demon . 	Translation	Positive	Negative	EmotionRationale
gregory hoblit's fallen is a serial killer movie with an unusual , horrific twist . 	gregory hoblit's fallen is a serial killer movie with an unusual , horrific twist .	1	-4	 gregory[0] hoblit's[0] fallen[0] is[0] a[0] serial[0] killer[-1] movie[0] with[0] an[0] unusual[0] horrific[-3] twist[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if marketed properly , this film could have crossover appeal for both those who appreciate supernatural tales like the prophesy and those who crave grim , dark thrillers like silence of the lambs and seven . 	if marketed properly , this film could have crossover appeal for both those who appreciate supernatural tales like the prophesy and those who crave grim , dark thrillers like silence of the lambs and seven .	2	-3	 if[0] marketed[0] properly[0] this[0] film[0] could[0] have[0] crossover[0] appeal[0] for[0] both[0] those[0] who[0] appreciate[1] supernatural[0] tales[0] like[1] the[0] prophesy[0] and[0] those[0] who[0] crave[-1] grim[-2] dark[0] thrillers[1] like[1] silence[0] of[0] the[0] lambs[0] and[0] seven[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in fact , there's even a little twin peaks to be found here , albeit with the lion's share of the weirdness distilled out . 	in fact , there's even a little twin peaks to be found here , albeit with the lion's share of the weirdness distilled out .	1	-2	 in[0] fact[0] there's[0] even[0] a[0] little[0] twin[0] peaks[0] to[0] be[0] found[0] here[0] albeit[0] with[0] the[0] lion's[0] share[0] of[0] the[0] weirdness[-1] distilled[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( remember bob ? ) 	 ( remember bob ?<br> )	1	-1	 remember[0] bob[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the biggest failing of fallen is that , although it's consistently interesting , it's not always as edgy and suspenseful as one might hope . 	the biggest failing of fallen is that , although it's consistently interesting , it's not always as edgy and suspenseful as one might hope .	2	-3	 the[0] biggest[0] failing[-2] of[0] fallen[0] is[0] that[0] although[0] it's[0] consistently[0] interesting[1] it's[0] not[0] always[0] as[0] edgy[0] and[0] suspenseful[0] as[0] one[0] might[0] hope[2][-1 LastWordBoosterStrength] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a serial killer ( elias koteas ) has been on the loose in philadephia , but detective john hobbes ( denzel washington ) , the noblest man on the police force , has brought him to justice . 	a serial killer ( elias koteas ) has been on the loose in philadephia , but detective john hobbes ( denzel washington ) , the noblest man on the police force , has brought him to justice .	1	-2	 a[0] serial[0] killer[-1] elias[0] koteas[0] has[0] been[0] on[0] the[0] loose[0] in[0] philadephia[0] but[0] detective[0] john[0] hobbes[0] denzel[0] washington[0] the[0] noblest[0] man[0] on[0] the[0] police[0] force[-1] has[0] brought[0] him[0] to[0] justice[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now , during his last hours on death row awaiting his inevitable date with the gas chamber , the mass murderer cryptically tells hobbes , " what goes around really goes around . " 	now , during his last hours on death row awaiting his inevitable date with the gas chamber , the mass murderer cryptically tells hobbes , " what goes around really goes around .<br> "	1	-4	 now[0] during[0] his[0] last[0] hours[0] on[0] death[-2] row[0] awaiting[0] his[0] inevitable[0] date[0] with[0] the[0] gas[0] chamber[0] the[0] mass[0] murderer[-3] cryptically[0] tells[0] hobbes[0] what[0] goes[0] around[0] really[0] goes[0] around[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
shortly thereafter , he begins to sing " time is on my side " as he's taken on his last walk . 	shortly thereafter , he begins to sing " time is on my side " as he's taken on his last walk .	1	-1	 shortly[0] thereafter[0] he[0] begins[0] to[0] sing[0] time[0] is[0] on[0] my[0] side[0] as[0] he's[0] taken[0] on[0] his[0] last[0] walk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
minutes later , the state of pennsylvania has carried out the execution and edgar reese is dead . 	minutes later , the state of pennsylvania has carried out the execution and edgar reese is dead .	1	-3	 minutes[0] later[0] the[0] state[0] of[0] pennsylvania[0] has[0] carried[0] out[0] the[0] execution[0] and[0] edgar[0] reese[0] is[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but for hobbes , the nightmare is just beginning , because reese wasn't a normal psychopath ? he was the host body for a mythical dark angel named azazel . 	but for hobbes , the nightmare is just beginning , because reese wasn't a normal psychopath ?<br> he was the host body for a mythical dark angel named azazel .	1	-3	 but[0] for[0] hobbes[0] the[0] nightmare[-2] is[0] just[0] beginning[0] because[0] reese[0] wasn't[0] a[0] normal[0] psychopath[0] [[Sentence=-3,1=word max, 1-5]] he[0] was[0] the[0] host[0] body[0] for[0] a[0] mythical[0] dark[0] angel[0] named[0] azazel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
and , with reese's death , azazel is free to hop from body to body , murdering and wreaking havoc at will . 	and , with reese's death , azazel is free to hop from body to body , murdering and wreaking havoc at will .	1	-4	 and[0] with[0] reese's[0] death[-2] azazel[0] is[0] free[0] to[0] hop[0] from[0] body[0] to[0] body[0] murdering[-3] and[0] wreaking[0] havoc[-1] at[0] will[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
only hobbes and a pretty , female theology teacher ( embeth davidtz ) have an inkling of what they're up against . 	only hobbes and a pretty , female theology teacher ( embeth davidtz ) have an inkling of what they're up against .	3	-2	 only[0] hobbes[0] and[0] a[0] pretty[2] female[0] theology[0] teacher[0] embeth[0] davidtz[0] have[0] an[0] inkling[0] of[0] what[0] they're[0] up[0] against[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the rest of the cops , including hobbes' partner , jonesy ( john goodman ) ; lou ( james gandolfini ) , a newcomer to the department ; and lieutenant stanton ( donald sutherland ) , don't have a clue , and , as a result , they are in mortal danger . 	the rest of the cops , including hobbes' partner , jonesy ( john goodman ) ; lou ( james gandolfini ) , a newcomer to the department ; and lieutenant stanton ( donald sutherland ) , don't have a clue , and , as a result , they are in mortal danger .	1	-2	 the[0] rest[0] of[0] the[0] cops[0] including[0] hobbes'[0] partner[0] jonesy[0] john[0] goodman[0] lou[0] james[0] gandolfini[0] a[0] newcomer[0] to[0] the[0] department[0] and[0] lieutenant[0] stanton[0] donald[0] sutherland[0] don't[0] have[0] a[0] clue[0] and[0] as[0] a[0] result[0] they[0] are[0] in[0] mortal[0] danger[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as depicted by hoblit ( primal fear ) and cinematographer newton thomas sigel , philadelphia is a dark , dreary place ? a gothic city rather than a modern one . 	as depicted by hoblit ( primal fear ) and cinematographer newton thomas sigel , philadelphia is a dark , dreary place ?<br> a gothic city rather than a modern one .	1	-4	 as[0] depicted[0] by[0] hoblit[0] primal[0] fear[-3] and[0] cinematographer[0] newton[0] thomas[0] sigel[0] philadelphia[0] is[0] a[0] dark[0] dreary[-1] place[0] [[Sentence=-4,1=word max, 1-5]] a[0] gothic[0] city[0] rather[0] than[0] a[0] modern[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
no skyscrapers or other monoliths of current architecture or technology are shown . 	no skyscrapers or other monoliths of current architecture or technology are shown .	1	-1	 no[0] skyscrapers[0] or[0] other[0] monoliths[0] of[0] current[0] architecture[0] or[0] technology[0] are[0] shown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the most famous landmark to appear isn't the liberty bell or independence hall ; it's geno's steaks . 	the most famous landmark to appear isn't the liberty bell or independence hall ; it's geno's steaks .	1	-1	 the[0] most[0] famous[0] landmark[0] to[0] appear[0] isn't[0] the[0] liberty[0] bell[0] or[0] independence[0] hall[0] it's[0] geno's[0] steaks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shadows and night scenes abound . 	shadows and night scenes abound .	1	-1	 shadows[0] and[0] night[0] scenes[0] abound[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the days are cloudy and unpromising . 	the days are cloudy and unpromising .	1	-1	 the[0] days[0] are[0] cloudy[0] and[0] unpromising[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
