sometimes you just have to tip your hat to a film . 	Translation	Positive	Negative	EmotionRationale
sometimes you just have to jump on the bandwagon and enjoy the ride . 	sometimes you just have to jump on the bandwagon and enjoy the ride .	3	-1	 sometimes[0] you[0] just[0] have[0] to[0] jump[0] on[0] the[0] bandwagon[0] and[0] enjoy[2] the[0] ride[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i saw the truman show with an audience full of teenagers , most of whom were no doubt drawn by ace ventura himself and hoping to see his latest take on fart jokes . 	i saw the truman show with an audience full of teenagers , most of whom were no doubt drawn by ace ventura himself and hoping to see his latest take on fart jokes .	2	-2	 i[0] saw[0] the[0] truman[0] show[0] with[0] an[0] audience[0] full[0] of[0] teenagers[0] most[0] of[0] whom[0] were[0] no[0] doubt[-1] drawn[0] by[0] ace[0] ventura[0] himself[0] and[0] hoping[1] to[0] see[0] his[0] latest[0] take[0] on[0] fart[0] jokes[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
surprised , they may have been , when they realized that this picture actually had something to say . 	surprised , they may have been , when they realized that this picture actually had something to say .	1	-1	 surprised[0] they[0] may[0] have[0] been[0] when[0] they[0] realized[0] that[0] this[0] picture[0] actually[0] had[0] something[0] to[0] say[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but by the attentiveness of the crowd i'd say they were won over - as was i . i can't tell yet if truman really is that good , or if it only seems that good in comparison to the awful mountain of crap spewed forth from the bowls of hollywood so far this year . 	but by the attentiveness of the crowd i'd say they were won over - as was i .<br> i can't tell yet if truman really is that good , or if it only seems that good in comparison to the awful mountain of crap spewed forth from the bowls of hollywood so far this year .	2	-4	 but[0] by[0] the[0] attentiveness[0] of[0] the[0] crowd[0] i'd[0] say[0] they[0] were[0] won[0] over[0] as[0] was[0] i[0] [[Sentence=-1,1=word max, 1-5]] i[0] can't[0] tell[0] yet[0] if[0] truman[0] really[0] is[0] that[0] good[1] or[0] if[0] it[0] only[0] seems[0] that[0] good[1] in[0] comparison[0] to[0] the[0] awful[-3] mountain[0] of[0] crap[-2] spewed[-1] forth[0] from[0] the[0] bowls[0] of[0] hollywood[0] so[0] far[0] this[0] year[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
time alone will make that call . 	time alone will make that call .	1	-1	 time[0] alone[0] will[0] make[0] that[0] call[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but by the end of the film we were all on truman burbank's side . 	but by the end of the film we were all on truman burbank's side .	1	-1	 but[0] by[0] the[0] end[0] of[0] the[0] film[0] we[0] were[0] all[0] on[0] truman[0] burbank's[0] side[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we were concerned for his well-being , and wanted him to win . 	we were concerned for his well-being , and wanted him to win .	1	-2	 we[0] were[0] concerned[-1] for[0] his[0] well[0] being[0] and[0] wanted[0] him[0] to[0] win[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that we felt as we did is a tribute both to the film and to jim carrey , who has achieved legitimacy at last . 	that we felt as we did is a tribute both to the film and to jim carrey , who has achieved legitimacy at last .	1	-1	 that[0] we[0] felt[0] as[0] we[0] did[0] is[0] a[0] tribute[0] both[0] to[0] the[0] film[0] and[0] to[0] jim[0] carrey[0] who[0] has[0] achieved[0] legitimacy[0] at[0] last[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the truman show is a film best viewed cold , with as little foreknowledge as possible about the plot . 	the truman show is a film best viewed cold , with as little foreknowledge as possible about the plot .	2	-2	 the[0] truman[0] show[0] is[0] a[0] film[0] best[1] viewed[0] cold[-1] with[0] as[0] little[0] foreknowledge[0] as[0] possible[0] about[0] the[0] plot[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unless you're under a media blackout , however , you probably know the basics . 	unless you're under a media blackout , however , you probably know the basics .	1	-1	 unless[0] you're[0] under[0] a[0] media[0] blackout[0] however[0] you[0] probably[0] know[0] the[0] basics[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
carrey stars as truman burbank , a capra-esque everyman insurance agent living with his beautiful wife meryl ( laura linney ) in the south florida island town of seahaven , which looks like michael eisner's idea of the perfect american small town . 	carrey stars as truman burbank , a capra-esque everyman insurance agent living with his beautiful wife meryl ( laura linney ) in the south florida island town of seahaven , which looks like michael eisner's idea of the perfect american small town .	3	-1	 carrey[0] stars[0] as[0] truman[0] burbank[0] a[0] capra[0] esque[0] everyman[0] insurance[0] agent[0] living[0] with[0] his[0] beautiful[2] wife[0] meryl[0] laura[0] linney[0] in[0] the[0] south[0] florida[0] island[0] town[0] of[0] seahaven[0] which[0] looks[0] like[1] michael[0] eisner's[0] idea[0] of[0] the[0] perfect[1] american[0] small[0] town[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
truman would seem to live the perfect middle class lifestyle , complete with a working wife , a best bud , friendly neighbors and interesting co-workers . 	truman would seem to live the perfect middle class lifestyle , complete with a working wife , a best bud , friendly neighbors and interesting co-workers .	2	-1	 truman[0] would[0] seem[0] to[0] live[0] the[0] perfect[1] middle[0] class[0] lifestyle[0] complete[0] with[0] a[0] working[0] wife[0] a[0] best[1] bud[0] friendly[1] neighbors[0] and[0] interesting[1] co[0] workers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is tragedy in his past - his father drowned in a horrible boating accident , leaving truman with a dreadful fear of water , and of travel in general - but overall , life is good . 	there is tragedy in his past - his father drowned in a horrible boating accident , leaving truman with a dreadful fear of water , and of travel in general - but overall , life is good .	2	-5	 there[0] is[0] tragedy[-2] in[0] his[0] past[0] his[0] father[0] drowned[-1] in[0] a[0] horrible[-3] boating[0] accident[-1] leaving[0] truman[0] with[0] a[0] dreadful[-3] fear[-3][-1 MultiplePositiveWords] of[0] water[0] and[0] of[0] travel[0] in[0] general[0] but[0] overall[0] life[0] is[0] good[1] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
but then one day as truman leaves his house for work , a klieg light falls magically from the sky . 	but then one day as truman leaves his house for work , a klieg light falls magically from the sky .	1	-1	 but[0] then[0] one[0] day[0] as[0] truman[0] leaves[0] his[0] house[0] for[0] work[0] a[0] klieg[0] light[0] falls[0] magically[0] from[0] the[0] sky[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
