jamaica is a hot vacation spot . 	Translation	Positive	Negative	EmotionRationale
the exchange rate encourages delusions of wealth ( approximately 30 jamaican dollars to one american ) , the sea is a brilliant blue , the air is warm but lacks humidity . 	the exchange rate encourages delusions of wealth ( approximately 30 jamaican dollars to one american ) , the sea is a brilliant blue , the air is warm but lacks humidity .	2	-2	 the[0] exchange[0] rate[0] encourages[1] delusions[-1] of[0] wealth[0] approximately[0] 30[0] jamaican[0] dollars[0] to[0] one[0] american[0] the[0] sea[0] is[0] a[0] brilliant[1] blue[0] the[0] air[0] is[0] warm[0] but[0] lacks[0] humidity[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and as tourism is unfortunately jamaica's biggest trade , foreigners enter and leave with a sense of relaxation . 	and as tourism is unfortunately jamaica's biggest trade , foreigners enter and leave with a sense of relaxation .	3	-2	 and[0] as[0] tourism[0] is[0] unfortunately[-1] jamaica's[0] biggest[0] trade[0] foreigners[0] enter[0] and[0] leave[0] with[0] a[0] sense[0] of[0] relaxation[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
life and debt takes a brassy look at life inside this impoverished country . 	life and debt takes a brassy look at life inside this impoverished country .	1	-1	 life[0] and[0] debt[0] takes[0] a[0] brassy[0] look[0] at[0] life[0] inside[0] this[0] impoverished[0] country[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while normal documentaries take the sally struthers approach of underlying scenes of starving children with tearful music , this film guides the viewer with a sarcastic voiceover that brings the troubles home without begging tears to the surface . 	while normal documentaries take the sally struthers approach of underlying scenes of starving children with tearful music , this film guides the viewer with a sarcastic voiceover that brings the troubles home without begging tears to the surface .	1	-4	 while[0] normal[0] documentaries[0] take[0] the[0] sally[0] struthers[0] approach[0] of[0] underlying[0] scenes[0] of[0] starving[-2] children[0] with[0] tearful[0] music[0] this[0] film[0] guides[0] the[0] viewer[0] with[0] a[0] sarcastic[-2] voiceover[0] that[0] brings[0] the[0] troubles[-1] home[0] without[0] begging[0] tears[-3] to[0] the[0] surface[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the voiceover is written by acclaimed author jamaica kincaid . 	the voiceover is written by acclaimed author jamaica kincaid .	1	-1	 the[0] voiceover[0] is[0] written[0] by[0] acclaimed[0] author[0] jamaica[0] kincaid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it guides the audience along a tourist's journey and the story of the native inhabitants . 	it guides the audience along a tourist's journey and the story of the native inhabitants .	1	-1	 it[0] guides[0] the[0] audience[0] along[0] a[0] tourist's[0] journey[0] and[0] the[0] story[0] of[0] the[0] native[0] inhabitants[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead of telling you what you are already seeing on screen , it quips , " you don't see what happens after you flush the toilet . " 	instead of telling you what you are already seeing on screen , it quips , " you don't see what happens after you flush the toilet .<br> "	1	-1	 instead[0] of[0] telling[0] you[0] what[0] you[0] are[0] already[0] seeing[0] on[0] screen[0] it[0] quips[0] you[0] don't[0] see[0] what[0] happens[0] after[0] you[0] flush[0] the[0] toilet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this engages a viewer to see and think about devastation instead of merely being told it is there . 	this engages a viewer to see and think about devastation instead of merely being told it is there .	1	-5	 this[0] engages[0] a[0] viewer[0] to[0] see[0] and[0] think[0] about[0] devastation[-4] instead[0] of[0] merely[0] being[0] told[0] it[0] is[0] there[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
this strong , sparse storytelling approach runs throughout the film . 	this strong , sparse storytelling approach runs throughout the film .	1	-1	 this[0] strong[0] sparse[0] storytelling[0] approach[0] runs[0] throughout[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stephanie black is also intelligent in how she chooses to disclose the problems faced by the locals . 	stephanie black is also intelligent in how she chooses to disclose the problems faced by the locals .	2	-2	 stephanie[0] black[0] is[0] also[0] intelligent[1] in[0] how[0] she[0] chooses[0] to[0] disclose[0] the[0] problems[-1] faced[0] by[0] the[0] locals[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this isn't just another talking head show of people moaning about their horrible lot in life . 	this isn't just another talking head show of people moaning about their horrible lot in life .	1	-4	 this[0] isn't[0] just[0] another[0] talking[0] head[0] show[0] of[0] people[0] moaning[0] about[0] their[0] horrible[-3] lot[0] in[0] life[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
people are interviewed from all sectors of occupation , from field to factory , as well as social theorists and the banking organizations that continue to invest in the country . 	people are interviewed from all sectors of occupation , from field to factory , as well as social theorists and the banking organizations that continue to invest in the country .	1	-1	 people[0] are[0] interviewed[0] from[0] all[0] sectors[0] of[0] occupation[0] from[0] field[0] to[0] factory[0] as[0] well[0] as[0] social[0] theorists[0] and[0] the[0] banking[0] organizations[0] that[0] continue[0] to[0] invest[0] in[0] the[0] country[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the variety of discussion perpetuates a compelling internal dialogue with any viewer , whether they are seeing jamaica for the first time or not . 	the variety of discussion perpetuates a compelling internal dialogue with any viewer , whether they are seeing jamaica for the first time or not .	1	-1	 the[0] variety[0] of[0] discussion[0] perpetuates[0] a[0] compelling[0] internal[0] dialogue[0] with[0] any[0] viewer[0] whether[0] they[0] are[0] seeing[0] jamaica[0] for[0] the[0] first[0] time[0] or[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , as can be expected , the united states is slammed , owing to its involvement with the international monetary fund and the world bank . 	of course , as can be expected , the united states is slammed , owing to its involvement with the international monetary fund and the world bank .	1	-2	 of[0] course[0] as[0] can[0] be[0] expected[0] the[0] united[0] states[0] is[0] slammed[-1] owing[0] to[0] its[0] involvement[0] with[0] the[0] international[0] monetary[0] fund[0] and[0] the[0] world[0] bank[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
officials look moronic as they explain why their plans for jamaica's economy will help the country back on its feet , but only if they are willing to follow the advice word for word . 	officials look moronic as they explain why their plans for jamaica's economy will help the country back on its feet , but only if they are willing to follow the advice word for word .	1	-3	 officials[0] look[0] moronic[-2] as[0] they[0] explain[0] why[0] their[0] plans[0] for[0] jamaica's[0] economy[0] will[0] help[0] the[0] country[0] back[0] on[0] its[0] feet[0] but[0] only[0] if[0] they[0] are[0] willing[0] to[0] follow[0] the[0] advice[0] word[0] for[0] word[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the next moment we see why and how each of these initiatives has failed , usually due to imports being cheaper than local labor or whether or not the soil is appropriate for the next agricultural trend the u . s . is forcing on the citizens . 	the next moment we see why and how each of these initiatives has failed , usually due to imports being cheaper than local labor or whether or not the soil is appropriate for the next agricultural trend the you .<br> s .<br> is forcing on the citizens .	1	-3	 the[0] next[0] moment[0] we[0] see[0] why[0] and[0] how[0] each[0] of[0] these[0] initiatives[0] has[0] failed[-2] usually[0] due[0] to[0] imports[0] being[0] cheaper[-1] than[0] local[0] labor[0] or[0] whether[0] or[0] not[0] the[0] soil[0] is[0] appropriate[0] for[0] the[0] next[0] agricultural[0] trend[0] the[0] u[0] [[Sentence=-3,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] is[0] forcing[0] on[0] the[0] citizens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
admittedly , some of the back and forth between the business-minded organizations and the failures they produce gets repetitive , but it also drives home the impact ignorance can have on both sides of an international argument . 	admittedly , some of the back and forth between the business-minded organizations and the failures they produce gets repetitive , but it also drives home the impact ignorance can have on both sides of an international argument .	1	-3	 admittedly[0] some[0] of[0] the[0] back[0] and[0] forth[0] between[0] the[0] business[0] minded[0] organizations[0] and[0] the[0] failures[-2] they[0] produce[0] gets[0] repetitive[0] but[0] it[0] also[0] drives[0] home[0] the[0] impact[0] ignorance[-2] can[0] have[0] on[0] both[0] sides[0] of[0] an[0] international[0] argument[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but jamaica isn't against the united states , and this documentary does not accuse the u . s . of being the sole perpetrator of its grief . 	but jamaica isn't against the united states , and this documentary does not accuse the you .<br> s .<br> of being the sole perpetrator of its grief .	2	-4	 but[0] jamaica[0] isn't[0] against[-1][NegatedDueToPreviousWord] the[0] united[0] states[0] and[0] this[0] documentary[0] does[0] not[0] accuse[-1][NegatedDueToPreviousWord] the[0] u[0] [[Sentence=-1,2=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] of[0] being[0] the[0] sole[0] perpetrator[0] of[0] its[0] grief[-3] [[Sentence=-4,1=word max, 1-5]][[[2,-4 max of sentences]]]
if anything , it begs for a better understanding of the nature of jamaican society before stepping in to change it based on foreign regulations . 	if anything , it begs for a better understanding of the nature of jamaican society before stepping in to change it based on foreign regulations .	1	-2	 if[0] anything[0] it[0] begs[0] for[0] a[0] better[0] understanding[0] of[0] the[0] nature[0] of[0] jamaican[0] society[0] before[0] stepping[0] in[0] to[0] change[0] it[0] based[0] on[0] foreign[-1] regulations[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
