in essence , good will hunting is an ordinary story told well . 	Translation	Positive	Negative	EmotionRationale
taken as a whole , there's little that's special about this tale -- it follows a traditional narrative path , leaves the audience with a warm , fuzzy feeling , and never really challenges or surprises us . 	taken as a whole , there's little that's special about this tale - it follows a traditional narrative path , leaves the audience with a warm , fuzy feeling , and never really challenges or surprises us .	3	-1	 taken[0] as[0] a[0] whole[0] there's[0] little[0] that's[0] special[1] about[0] this[0] tale[0] it[0] follows[0] a[0] traditional[0] narrative[0] path[0] leaves[0] the[0] audience[0] with[0] a[0] warm[0] fuzzy/fuzy[0] feeling[0] and[0] never[0] really[0] challenges[-1][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] or[0] surprises[0] us[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but it's intelligently written ( with dialogue that is occasionally brilliant ) , strongly directed , and nicely acted . 	but it's intelligently written ( with dialogue that is occasionally brilliant ) , strongly directed , and nicely acted .	2	-1	 but[0] it's[0] intelligently[1] written[0] with[0] dialogue[0] that[0] is[0] occasionally[0] brilliant[1] strongly[0] directed[0] and[0] nicely[1] acted[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so , while good will hunting is far from a late-year masterpiece , it's a worthwhile sample of entertainment . 	so , while good will hunting is far from a late-year masterpiece , it's a worthwhile sample of entertainment .	2	-1	 so[0] while[0] good[1] will[0] hunting[0] is[0] far[0] from[0] a[0] late[0] year[0] masterpiece[0] it's[0] a[0] worthwhile[1] sample[0] of[0] entertainment[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
like scent of a woman , which was released around this time of the season five years ago , good will hunting is about the unlikely friendship that develops between a world-weary veteran and a cocky young man . 	like scent of a woman , which was released around this time of the season five years ago , good will hunting is about the unlikely friendship that develops between a world-weary veteran and a cocky young man .	2	-2	 like[1] scent[0] of[0] a[0] woman[0] which[0] was[0] released[0] around[0] this[0] time[0] of[0] the[0] season[0] five[0] years[0] ago[0] good[1] will[0] hunting[0] is[0] about[0] the[0] unlikely[0] friendship[1] that[0] develops[0] between[0] a[0] world[0] weary[0] veteran[0] and[0] a[0] cocky[-1] young[0] man[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the formula for the two films is similar -- both of the principals learn from each other as they slowly break down their barriers on the way to a better understanding of life and their place in it -- but the characters are different . 	the formula for the two films is similar - both of the principals learn from each other as they slowly break down their barriers on the way to a better understanding of life and their place in it - but the characters are different .	1	-2	 the[0] formula[0] for[0] the[0] two[0] films[0] is[0] similar[0] both[0] of[0] the[0] principals[0] learn[0] from[0] each[0] other[0] as[0] they[0] slowly[0] break[0] down[0] their[0] barriers[-1] on[0] the[0] way[0] to[0] a[0] better[0] understanding[0] of[0] life[0] and[0] their[0] place[0] in[0] it[0] but[0] the[0] characters[0] are[0] different[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
al pacino's slade was a larger-than-life individual ; robin williams' sean mcguire is much more subtle . 	al pacino's slade was a larger-than-life individual ; robin williams' sean mcguire is much more subtle .	1	-1	 al[0] pacino's[0] slade[0] was[0] a[0] larger[0] than[0] life[0] individual[0] robin[0] williams'[0] sean[0] mcguire[0] is[0] much[0] more[0] subtle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and matt damon's will hunting uses pugnaciousness to supplant the blandness of chris o'donnell's charlie . 	and matt damon's will hunting uses pugnaciousness to supplant the blandness of chris o'donnell's charlie .	1	-1	 and[0] matt[0] damon's[0] will[0] hunting[0] uses[0] pugnaciousness[0] to[0] supplant[0] the[0] blandness[0] of[0] chris[0] o'donnell's[0] charlie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
will is a troubled individual . 	will is a troubled individual .	1	-2	 will[0] is[0] a[0] troubled[-1] individual[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as a child , he was the frequent victim of abuse . 	as a child , he was the frequent victim of abuse .	1	-4	 as[0] a[0] child[0] he[0] was[0] the[0] frequent[0] victim[-2] of[0] abuse[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
an orphan , he was in and out of foster homes on a regular basis . 	an orphan , he was in and out of foster homes on a regular basis .	1	-2	 an[0] orphan[-1] he[0] was[0] in[0] and[0] out[0] of[0] foster[0] homes[0] on[0] a[0] regular[0] basis[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now , not yet 21 years old , he has accumulated an impressive rap sheet . 	now , not yet 21 years old , he has accumulated an impressive rap sheet .	2	-1	 now[0] not[0] yet[0] 21[0] years[0] old[0] he[0] has[0] accumulated[0] an[0] impressive[1] rap[0] sheet[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he has a short temper and any little incident can set him off like a spark in a tinder box . 	he has a short temper and any little incident can set him off like a spark in a tinder box .	2	-3	 he[0] has[0] a[0] short[0] temper[-2] and[0] any[0] little[0] incident[0] can[0] set[0] him[0] off[0] like[1] a[0] spark[0] in[0] a[0] tinder[0] box[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but he's a mathematical genius with a photographic memory and the ability to conceive simple solutions to complex problems . 	but he's a mathematical genius with a photographic memory and the ability to conceive simple solutions to complex problems .	1	-2	 but[0] he's[0] a[0] mathematical[0] genius[0] with[0] a[0] photographic[0] memory[0] and[0] the[0] ability[0] to[0] conceive[0] simple[0] solutions[0] to[0] complex[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while working as a janitor at mit , he delights in anonymously proving theorems on the math building's hall blackboards . 	while working as a janitor at mit , he delights in anonymously proving theorems on the math building's hall blackboards .	3	-1	 while[0] working[0] as[0] a[0] janitor[0] at[0] mit[0] he[0] delights[2] in[0] anonymously[0] proving[0] theorems[0] on[0] the[0] math[0] building's[0] hall[0] blackboards[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
then , one evening , his anonymity is shattered when professor lambeau ( stellan skarsgard ) catches him at work . 	then , one evening , his anonymity is shattered when professor lambeau ( stellan skarsgard ) catches him at work .	1	-1	 then[0] one[0] evening[0] his[0] anonymity[0] is[0] shattered[0] when[0] professor[0] lambeau[0] stellan[0] skarsgard[0] catches[0] him[0] at[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
