once upon a time a solitary ogre named shrek ( mike myers ) was really annoyed to discover that his swamp had been invaded by three blind mice , seven dwarves and all the other fairy tale characters in the land , banished from their home by lord farquaad ( john lithgow ) . 	Translation	Positive	Negative	EmotionRationale
unwittingly befriended by a non-stop talking donkey ( eddie murphy ) , shrek travels to dulloc to speak with farquaad , where he stumbles into a joust and comes up the winner . 	unwittingly befriended by a non-stop talking donkey ( eddie murphy ) , shrek travels to dulloc to speak with farquad , where he stumbles into a joust and comes up the winner .	2	-2	 unwittingly[0] befriended[0] by[0] a[0] non[0] stop[0] talking[0] donkey[0] eddie[0] murphy[0] shrek[0] travels[0] to[0] dulloc[-1] to[0] speak[0] with[0] farquaad/farquad[0] where[0] he[0] stumbles[0] into[0] a[0] joust[0] and[0] comes[0] up[0] the[0] winner[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his prize ? 	his prize ?	3	-1	 his[0] prize[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
to save princess fiona ( cameron diaz ) from a tower surrounded by molten flame and protected by a dragon so she can become farquaad's bride . 	to save princess fiona ( cameron diaz ) from a tower surrounded by molten flame and protected by a dragon so she can become farquad's bride .	2	-3	 to[0] save[1] princess[0] fiona[0] cameron[0] diaz[0] from[0] a[0] tower[0] surrounded[0] by[0] molten[0] flame[-2] and[0] protected[0] by[0] a[0] dragon[0] so[0] she[0] can[0] become[0] farquaad's/farquad's[0] bride[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the ogre agrees to the task in return for getting his solitary lifestyle back in " shrek . " 	the ogre agrees to the task in return for getting his solitary lifestyle back in " shrek .<br> "	1	-1	 the[0] ogre[0] agrees[0] to[0] the[0] task[0] in[0] return[0] for[0] getting[0] his[0] solitary[0] lifestyle[0] back[0] in[0] shrek[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it took four writers ( ted elliott and terry rossio ( " the road to el dorado " ) , roger s . h . 	it took four writers ( ted elliott and terry rossio ( " the road to el dorado " ) , roger s .<br> h .	1	-1	 it[0] took[0] four[0] writers[0] ted[0] elliott[0] and[0] terry[0] rossio[0] the[0] road[0] to[0] el[0] dorado[0] roger[0] s[0] [[Sentence=-1,1=word max, 1-5]] h[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
schulman ( " balto " ) and joe stillman ( " beavis and butthead do america " ) ) to adapt william steig's children's book . 	schulman ( " balto " ) and joe stillman ( " beavis and butthead do america " ) ) to adapt william steig's children's book .	1	-1	 schulman[0] balto[0] and[0] joe[0] stillman[0] beavis[0] and[0] butthead[0] do[0] america[0] to[0] adapt[0] william[0] steig's[0] children's[0] book[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the bad news ? 	the bad news ?	1	-2	 the[0] bad[-1] news[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they've genericized an already simple plotline while heavily under the influence of william goldman's " the princess bride . " 	they've genericized an already simple plotline while heavily under the influence of william goldman's " the princess bride .<br> "	1	-1	 they've[0] genericized[0] an[0] already[0] simple[0] plotline[0] while[0] heavily[0] under[0] the[0] influence[0] of[0] william[0] goldman's[0] the[0] princess[0] bride[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the good news ? 	the good news ?	2	-1	 the[0] good[1] news[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's so much wacky humor culled from both fairy tales and popular culture that this movie should keep you in stitches . 	there's so much wacky humor culled from both fairy tales and popular culture that this movie should keep you in stitches .	3	-1	 there's[0] so[0] much[0] wacky[0] humor[2] culled[0] from[0] both[0] fairy[0] tales[0] and[0] popular[0] culture[0] that[0] this[0] movie[0] should[0] keep[0] you[0] in[0] stitches[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we get our first inkling that we're in for a real treat as one of farquaad's men , intent on rounding up magical creatures offers 'five schillings for the possessed boy ! ' after observing dreamworks' rendition of disney's animated pinocchio . 	we get our first inkling that we're in for a real treat as one of farquad's men , intent on rounding up magical creatures offers 'five schillings for the possessed boy !<br> ' after observing dreamworks' rendition of disney's animated pinocchio .	2	-1	 we[0] get[0] our[0] first[0] inkling[0] that[0] we're[0] in[0] for[0] a[0] real[0] treat[1] as[0] one[0] of[0] farquaad's/farquad's[0] men[0] intent[0] on[0] rounding[0] up[0] magical[0] creatures[0] offers[0] 'five[0] schillings[0] for[0] the[0] possessed[0] boy[0] [[Sentence=-1,2=word max, 1-5]] '[0] after[0] observing[0] dreamworks'[0] rendition[0] of[0] disney's[0] animated[0] pinocchio[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
meanwhile within the castle walls , a gingerbread man being tortured 	meanwhile within the castle walls , a gingerbread man being tortured	1	-4	 meanwhile[0] within[0] the[0] castle[0] walls[0] a[0] gingerbread[0] man[0] being[0] tortured[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
by farquaad spits icing and yells 'eat me ! ' 	by farquad spits icing and yells 'eat me !<br> '	1	-1	 by[0] farquaad/farquad[0] spits[0] icing[0] and[0] yells[0] 'eat[0] me[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
before breaking down and solemnly asking 'do you know the muffin man ? ' 	before breaking down and solemnly asking 'do you know the muffin man ?<br> '	1	-3	 before[0] breaking[0] down[0] and[0] solemnly[-2] asking[0] 'do[0] you[0] know[0] the[0] muffin[0] man[0] [[Sentence=-3,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
shrek , a green giant with bobbly antennae-like ears , is a grumpy recluse who really yearns to fit in ( although who could put up with his habit of making candles from his own ear wax ? ) . 	shrek , a green giant with bobbly antennae-like ears , is a grumpy recluse who really yearns to fit in ( although who could put up with his habit of making candles from his own ear wax ?<br> ) .	2	-3	 shrek[0] a[0] green[0] giant[0] with[0] bobbly[0] antennae[0] like[1] ears[0] is[0] a[0] grumpy[0] recluse[0] who[0] really[0] yearns[-1][-1 LastWordBoosterStrength] to[0] fit[0] in[0] although[0] who[0] could[0] put[0] up[0] with[0] his[0] habit[0] of[0] making[0] candles[0] from[0] his[0] own[0] ear[0] wax[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
donkey is a hyperactive , endearingly stunted creature who can talk and , therefore , believes will make a great misfit pairing with the uncooperative shrek . 	donkey is a hyperactive , endearingly stunted creature who can talk and , therefore , believes will make a great misfit pairing with the uncooperative shrek .	3	-1	 donkey[0] is[0] a[0] hyperactive[0] endearingly[0] stunted[0] creature[0] who[0] can[0] talk[0] and[0] therefore[0] believes[0] will[0] make[0] a[0] great[2] misfit[0] pairing[0] with[0] the[0] uncooperative[0] shrek[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
donkey proves his worth sweet talking the princess-guarding dragon . 	donkey proves his worth sweet talking the princess-guarding dragon .	2	-1	 donkey[0] proves[0] his[0] worth[0] sweet[1] talking[0] the[0] princess[0] guarding[0] dragon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
