the computer-animated comedy " shrek " is designed to be enjoyed on different levels by different groups . 	Translation	Positive	Negative	EmotionRationale
for children , it offers imaginative visuals , appealing new characters mixed with a host of familiar faces , loads of action and a barrage of big laughs ( including numerous gags related to body functions and yucky substances , apparently a requisite in contemporary family films ) . 	for children , it offers imaginative visuals , appealing new characters mixed with a host of familiar faces , loads of action and a barrage of big laughs ( including numerous gags related to body functions and yucky substances , apparently a requisite in contemporary family films ) .	2	-1	 for[0] children[0] it[0] offers[0] imaginative[1] visuals[0] appealing[0] new[0] characters[0] mixed[0] with[0] a[0] host[0] of[0] familiar[0] faces[0] loads[0] of[0] action[0] and[0] a[0] barrage[0] of[0] big[0] laughs[1] including[0] numerous[0] gags[0] related[0] to[0] body[0] functions[0] and[0] yucky[0] substances[0] apparently[0] a[0] requisite[0] in[0] contemporary[0] family[0] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for adults , it's a fractured fairy tale packed with rude jokes that will sail over the heads of the kids . 	for adults , it's a fractured fairy tale packed with rude jokes that will sail over the heads of the kids .	2	-3	 for[0] adults[0] it's[0] a[0] fractured[-1] fairy[0] tale[0] packed[0] with[0] rude[-2] jokes[1] that[0] will[0] sail[0] over[0] the[0] heads[0] of[0] the[0] kids[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
all in all , " shrek " is a snappy ride , although there are a couple of points i found disturbing . 	all in all , " shrek " is a snappy ride , although there are a couple of points i found disturbing .	1	-2	 all[0] in[0] all[0] shrek[0] is[0] a[0] snappy[0] ride[0] although[0] there[0] are[0] a[0] couple[0] of[0] points[0] i[0] found[0] disturbing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but first the basics . 	but first the basics .	1	-1	 but[0] first[0] the[0] basics[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
based very loosely on a 1990 children's story , " shrek " follows several momentous days in the life of the title character , a rotund green ogre voiced by mike myers in that pleasant scottish accent he is so fond of using . 	based very loosely on a 1990 children's story , " shrek " follows several momentous days in the life of the title character , a rotund green ogre voiced by mike myers in that pleasant scottish accent he is so fond of using .	3	-1	 based[0] very[0] loosely[0] on[0] a[0] 1990[0] children's[0] story[0] shrek[0] follows[0] several[0] momentous[2] days[0] in[0] the[0] life[0] of[0] the[0] title[0] character[0] a[0] rotund[0] green[0] ogre[0] voiced[0] by[0] mike[0] myers[0] in[0] that[0] pleasant[2] scottish[0] accent[0] he[0] is[0] so[0] fond[2] of[0] using[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
shrek is a grumpy fellow living a solitary life deep in the swamp , until a local nobleman disturbs his peace . 	shrek is a grumpy fellow living a solitary life deep in the swamp , until a local nobleman disturbs his peace .	1	-2	 shrek[0] is[0] a[0] grumpy[0] fellow[0] living[0] a[0] solitary[0] life[0] deep[0] in[0] the[0] swamp[0] until[0] a[0] local[0] nobleman[0] disturbs[-1] his[0] peace[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
petty tyrant lord farquaad ( take away the " awk " in the middle and you have the basis of a string of impolite one-liners ) owns the land on which shrek resides . 	petty tyrant lord farquad ( take away the " awk " in the middle and you have the basis of a string of impolite one-liners ) owns the land on which shrek resides .	1	-3	 petty[0] tyrant[-2] lord[0] farquaad/farquad[0] take[0] away[0] the[0] awk[0] in[0] the[0] middle[0] and[0] you[0] have[0] the[0] basis[0] of[0] a[0] string[0] of[0] impolite[-2] one[0] liners[0] owns[0] the[0] land[0] on[0] which[0] shrek[0] resides[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he proceeds to turn the ogre's yard into an ellis island for storybook characters when he banishes the fanciful beings from his castle . 	he proceeds to turn the ogre's yard into an ellis island for storybook characters when he banishes the fanciful beings from his castle .	1	-2	 he[0] proceeds[0] to[0] turn[0] the[0] ogre's[0] yard[0] into[0] an[0] ellis[0] island[0] for[0] storybook[0] characters[0] when[0] he[0] banishes[-1] the[0] fanciful[0] beings[0] from[0] his[0] castle[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as a result , shrek finds himself surrounded by legends like the three blind mice , pinocchio , the big bad wolf , the seven dwarfs , and the three bears , to name but a few . 	as a result , shrek finds himself surrounded by legends like the three blind mice , pinocchio , the big bad wolf , the seven dwarfs , and the three bears , to name but a few .	2	-2	 as[0] a[0] result[0] shrek[0] finds[0] himself[0] surrounded[0] by[0] legends[0] like[1] the[0] three[0] blind[-1] mice[0] pinocchio[0] the[0] big[0] bad[-1] wolf[0] the[0] seven[0] dwarfs[0] and[0] the[0] three[0] bears[0] to[0] name[0] but[0] a[0] few[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
an enraged shrek storms to the castle , only to find farquaad ( john lithgow ) ready to bargain . 	an enraged shrek storms to the castle , only to find farquad ( john lithgow ) ready to bargain .	1	-4	 an[0] enraged[-3] shrek[0] storms[0] to[0] the[0] castle[0] only[0] to[0] find[0] farquaad/farquad[0] john[0] lithgow[0] ready[0] to[0] bargain[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
lord obnoxious wants to become king and the magic mirror from " snow white " has shown him the way . 	lord obnoxious wants to become king and the magic mirror from " snow white " has shown him the way .	1	-3	 lord[0] obnoxious[-2] wants[0] to[0] become[0] king[0] and[0] the[0] magic[0] mirror[0] from[0] snow[0] white[0] has[0] shown[0] him[0] the[0] way[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
all he has to do is rescue a damsel in distress and make her his wife . 	all he has to do is rescue a damsel in distress and make her his wife .	1	-3	 all[0] he[0] has[0] to[0] do[0] is[0] rescue[0] a[0] damsel[0] in[0] distress[-2] and[0] make[0] her[0] his[0] wife[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the mirror unveils three choices in a presentation straight out of " the dating game " ( when snow white is shown , the cheeky announcer purrs , " even though she lives with seven men , she's not easy ! " ) 	the mirror unveils three choices in a presentation straight out of " the dating game " ( when snow white is shown , the cheeky announcer purrs , " even though she lives with seven men , she's not easy !<br> " )	1	-1	 the[0] mirror[0] unveils[0] three[0] choices[0] in[0] a[0] presentation[0] straight[0] out[0] of[0] the[0] dating[0] game[0] when[0] snow[0] white[0] is[0] shown[0] the[0] cheeky[0] announcer[0] purrs[0] even[0] though[0] she[0] lives[0] with[0] seven[0] men[0] she's[0] not[0] easy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
farquaad selects the lovely princess fiona ( cameron diaz ) and offers shrek a deal : if the ogre snatches fiona from the dragon-protected , lava moat-filled castle in which she is held captive and brings her to the throne , the lord will allow the fairy tale pests to move back on his grounds . 	farquad selects the lovely princess fiona ( cameron diaz ) and offers shrek a deal : if the ogre snatches fiona from the dragon-protected , lava moat-filled castle in which she is held captive and brings her to the throne , the lord will allow the fairy tale pests to move back on his grounds .	2	-2	 farquaad/farquad[0] selects[0] the[0] lovely[1] princess[0] fiona[0] cameron[0] diaz[0] and[0] offers[0] shrek[0] a[0] deal[0] if[0] the[0] ogre[0] snatches[-1] fiona[0] from[0] the[0] dragon[0] protected[0] lava[0] moat[0] filled[0] castle[0] in[0] which[0] she[0] is[0] held[0] captive[-1] and[0] brings[0] her[0] to[0] the[0] throne[0] the[0] lord[0] will[0] allow[0] the[0] fairy[0] tale[0] pests[0] to[0] move[0] back[0] on[0] his[0] grounds[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
shrek reluctantly agrees and sets off on his quest , accompanied by a motor-mouthed donkey ( eddie murphy ) determined to make the green grump his best friend . 	shrek reluctantly agrees and sets off on his quest , accompanied by a motor-mouthed donkey ( eddie murphy ) determined to make the green grump his best friend .	2	-2	 shrek[0] reluctantly[-1] agrees[0] and[0] sets[0] off[0] on[0] his[0] quest[0] accompanied[0] by[0] a[0] motor[0] mouthed[0] donkey[0] eddie[0] murphy[0] determined[0] to[0] make[0] the[0] green[0] grump[0] his[0] best[1] friend[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they finally hook up with the princess , only to learn she is not the helpless maiden they expected to meet . 	they finally hook up with the princess , only to learn she is not the helpless maiden they expected to meet .	2	-1	 they[0] finally[0] hook[0] up[0] with[0] the[0] princess[0] only[0] to[0] learn[0] she[0] is[0] not[0] the[0] helpless[-1][NegatedDueToPreviousWord] maiden[0] they[0] expected[0] to[0] meet[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for the matter , the dragon offers a few surprises as well . 	for the matter , the dragon offers a few surprises as well .	1	-1	 for[0] the[0] matter[0] the[0] dragon[0] offers[0] a[0] few[0] surprises[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie references a great many other flicks , from " babe " ( " that'll do , donkey . 	the movie references a great many other flicks , from " babe " ( " that'll do , donkey .	3	-1	 the[0] movie[0] references[0] a[0] great[2] many[0] other[0] flicks[0] from[0] babe[0] that'll[0] do[0] donkey[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that'll do " ) to " the graduate . " 	that'll do " ) to " the graduate .<br> "	1	-1	 that'll[0] do[0] to[0] the[0] graduate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the lion's share of the jokes come at the expense of the wonderful world of disney . 	but the lion's share of the jokes come at the expense of the wonderful world of disney .	3	-2	 but[0] the[0] lion's[0] share[0] of[0] the[0] jokes[1] come[0] at[0] the[0] expense[-1] of[0] the[0] wonderful[2] world[0] of[0] disney[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the public-domain characters made into icons in various disney films take their hits ? pinocchio is referred to as a " possessed toy " and when shrek spies a sleeping snow white in his cabin , he bellows , " get that dead broad off the table ! " 	the public-domain characters made into icons in various disney films take their hits ?<br> pinocchio is referred to as a " possessed toy " and when shrek spies a sleeping snow white in his cabin , he bellows , " get that dead broad off the table !<br> "	1	-3	 the[0] public[0] domain[0] characters[0] made[0] into[0] icons[0] in[0] various[0] disney[0] films[0] take[0] their[0] hits[0] [[Sentence=-1,1=word max, 1-5]] pinocchio[0] is[0] referred[0] to[0] as[0] a[0] possessed[0] toy[0] and[0] when[0] shrek[0] spies[0] a[0] sleeping[0] snow[0] white[0] in[0] his[0] cabin[0] he[0] bellows[0] get[0] that[0] dead[-2] broad[0] off[0] the[0] table[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ? but the biggest slams come when shrek visits farquaad's royal domicile , which closely resembles a certain magic kingdom , from its souvenir stands and queue lines to a display of animatronic figures that sing the palace rules in a relentlessly peppy tune that sounds a lot like " it's a small world . " 	 ?<br> but the biggest slams come when shrek visits farquad's royal domicile , which closely resembles a certain magic kingdom , from its souvenir stands and queue lines to a display of animatronic figures that sing the palace rules in a relentlessly peppy tune that sounds a lot like " it's a small world .<br> "	2	-2	 but[0] the[0] biggest[0] slams[-1] come[0] when[0] shrek[0] visits[0] farquaad's/farquad's[0] royal[0] domicile[0] which[0] closely[0] resembles[0] a[0] certain[0] magic[0] kingdom[0] from[0] its[0] souvenir[0] stands[0] and[0] queue[0] lines[0] to[0] a[0] display[0] of[0] animatronic[0] figures[0] that[0] sing[0] the[0] palace[0] rules[0] in[0] a[0] relentlessly[0] peppy[0] tune[0] that[0] sounds[0] a[0] lot[0] like[1] it's[0] a[0] small[0] world[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
which brings me to disturbing point number one . 	which brings me to disturbing point number one .	1	-2	 which[0] brings[0] me[0] to[0] disturbing[-1] point[0] number[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i laughed at all the disney swipes , but found the mentality behind them a bit sad . 	i laughed at all the disney swipes , but found the mentality behind them a bit sad .	2	-4	 i[0] laughed[1] at[0] all[0] the[0] disney[0] swipes[0] but[0] found[0] the[0] mentality[0] behind[0] them[0] a[0] bit[0] sad[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the acrimony between dreamworks honcho jeff katzenberg and disney big wheel michael eisner is well known . 	the acrimony between dreamworks honcho jeff katzenberg and disney big wheel michael eisner is well known .	1	-2	 the[0] acrimony[-1] between[0] dreamworks[0] honcho[0] jeff[0] katzenberg[0] and[0] disney[0] big[0] wheel[0] michael[0] eisner[0] is[0] well[0] known[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for years the two companies have tried to sabotage each other's film and video releases by issuing similar competing productions on the same day . 	for years the two companies have tried to sabotage each other's film and video releases by issuing similar competing productions on the same day .	1	-2	 for[0] years[0] the[0] two[0] companies[0] have[0] tried[0] to[0] sabotage[-1] each[0] other's[0] film[0] and[0] video[0] releases[0] by[0] issuing[0] similar[0] competing[0] productions[0] on[0] the[0] same[0] day[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and now we have katzenberg using an entire movie to attack his former employer . 	and now we have katzenberg using an entire movie to attack his former employer .	1	-3	 and[0] now[0] we[0] have[0] katzenberg[0] using[0] an[0] entire[0] movie[0] to[0] attack[-2] his[0] former[0] employer[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
here's a suggestion for the two boys : grow up ! 	here's a suggestion for the two boys : grow up !	1	-1	 here's[0] a[0] suggestion[0] for[0] the[0] two[0] boys[0] grow[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
put the past behind you ! 	put the past behind you !	1	-1	 put[0] the[0] past[0] behind[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's room in the sandbox for both of you and if you farquaads can't play nice , then go to your rooms ! 	there's room in the sandbox for both of you and if you farquads can't play nice , then go to your rooms !	1	-2	 there's[0] room[0] in[0] the[0] sandbox[0] for[0] both[0] of[0] you[0] and[0] if[0] you[0] farquaads/farquads[0] can't[0] play[0] nice[1][NegatedDueToPreviousWord] then[0] go[0] to[0] your[0] rooms[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the other area i found troubling came in the portrayal of lord farquaad . 	the other area i found troubling came in the portrayal of lord farquad .	1	-2	 the[0] other[0] area[0] i[0] found[0] troubling[-1] came[0] in[0] the[0] portrayal[0] of[0] lord[0] farquaad/farquad[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
beyond all the irreverence , " shrek " actually has a message : people should learn to look beyond physical appearances , because true beauty lies within . 	beyond all the irreverence , " shrek " actually has a message : people should learn to look beyond physical appearances , because true beauty lies within .	3	-3	 beyond[0] all[0] the[0] irreverence[0] shrek[0] actually[0] has[0] a[0] message[0] people[0] should[0] learn[0] to[0] look[0] beyond[0] physical[0] appearances[0] because[0] true[1] beauty[2] lies[-2] within[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it's a lovely notion , but the film betrays its own moral by incessantly taking cheap shots at farquaad's diminutive stature . 	it's a lovely notion , but the film betrays its own moral by incessantly taking cheap shots at farquad's diminutive stature .	2	-3	 it's[0] a[0] lovely[1] notion[0] but[0] the[0] film[0] betrays[-2] its[0] own[0] moral[0] by[0] incessantly[0] taking[0] cheap[-1] shots[0] at[0] farquaad's/farquad's[0] diminutive[0] stature[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
do we really need a family film reinforcing the idea that mocking short people is acceptable ? 	do we really need a family film reinforcing the idea that mocking short people is acceptable ?	1	-3	 do[0] we[0] really[0] need[0] a[0] family[0] film[0] reinforcing[0] the[0] idea[0] that[0] mocking[-2] short[0] people[0] is[0] acceptable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the pompous , selfish behavior of farquaad is enough to make him a target for zingers . 	the pompous , selfish behavior of farquad is enough to make him a target for zingers .	1	-4	 the[0] pompous[-1] selfish[-3] behavior[0] of[0] farquaad/farquad[0] is[0] enough[0] to[0] make[0] him[0] a[0] target[0] for[0] zingers[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
adding short jokes is simply mean . 	adding short jokes is simply mean .	2	-1	 adding[0] short[0] jokes[1] is[0] simply[0] mean[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
still , " shrek " is a rollicking good time . 	still , " shrek " is a rollicking good time .	2	-1	 still[0] shrek[0] is[0] a[0] rollicking[0] good[1] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
