it was a rainy friday afternoon in columbus when i persuaded a friend to see a matinee performance of mst3k : tm . 	Translation	Positive	Negative	EmotionRationale
he had never seen any episodes of the show , and i have watched a scant few , due to its unsocial airtime on comedy central and the uneven nature of many of the episodes . 	he had never seen any episodes of the show , and i have watched a scant few , due to its unsocial airtime on comedy central and the uneven nature of many of the episodes .	1	-2	 he[0] had[0] never[0] seen[0] any[0] episodes[0] of[0] the[0] show[0] and[0] i[0] have[0] watched[0] a[0] scant[0] few[0] due[0] to[0] its[0] unsocial[0] airtime[0] on[0] comedy[0] central[0] and[0] the[0] uneven[-1] nature[0] of[0] many[0] of[0] the[0] episodes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for those of you not familiar with the premise , dr clayton forrester ( beaulieu ) wishes to take over the world by finding the worst film ever made and unleashing it upon an unsuspecting public . 	for those of you not familiar with the premise , dr clayton forester ( beaulieu ) wishes to take over the world by finding the worst film ever made and unleashing it upon an unsuspecting public .	1	-3	 for[0] those[0] of[0] you[0] not[0] familiar[0] with[0] the[0] premise[0] dr[0] clayton[0] forrester/forester[0] beaulieu[0] wishes[0] to[0] take[0] over[0] the[0] world[0] by[0] finding[0] the[0] worst[-2] film[0] ever[0] made[0] and[0] unleashing[0] it[0] upon[0] an[0] unsuspecting[0] public[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to achieve this , he ( in the words of the tv series' theme , which is missing in the movie ) " bumped [mike nelson ( nelson ) ] on the noggin and then shot him into space " , and is monitoring nelson's reactions to the movies he is forced to endure . 	to achieve this , he ( in the words of the tv series' theme , which is missing in the movie ) " bumped [mike nelson ( nelson ) ] on the noggin and then shot him into space " , and is monitoring nelson's reactions to the movies he is forced to endure .	1	-2	 to[0] achieve[0] this[0] he[0] in[0] the[0] words[0] of[0] the[0] tv[0] series'[0] theme[0] which[0] is[0] missing[0] in[0] the[0] movie[0] bumped[0] [mike[0] nelson[0] nelson[0] ][0] on[0] the[0] noggin[0] and[0] then[0] shot[-1] him[0] into[0] space[0] and[0] is[0] monitoring[0] nelson's[0] reactions[0] to[0] the[0] movies[0] he[0] is[0] forced[0] to[0] endure[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rather than succumb to the sheer awfulness of many of the movies , nelson spends his time making wisecracks with the help of his two robot companions , tom servo and crow t . robot . 	rather than succumb to the sheer awfulness of many of the movies , nelson spends his time making wisecracks with the help of his two robot companions , tom servo and crow t .<br> robot .	1	-4	 rather[0] than[0] succumb[-1] to[0] the[0] sheer[0] awfulness[-3] of[0] many[0] of[0] the[0] movies[0] nelson[0] spends[0] his[0] time[0] making[0] wisecracks[0] with[0] the[0] help[0] of[0] his[0] two[0] robot[0] companions[0] tom[0] servo[0] and[0] crow[0] t[0] [[Sentence=-4,1=word max, 1-5]] robot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
the format of the show consists of nelson , servo and crow making their comments while silhouetted against the movie being watched , and breaks every 20 minutes or so for segments set on the satellite of love , the ship on which our heroes are marooned . 	the format of the show consists of nelson , servo and crow making their comments while silhouetted against the movie being watched , and breaks every 20 minutes or so for segments set on the satellite of love , the ship on which our heroes are marooned .	3	-2	 the[0] format[0] of[0] the[0] show[0] consists[0] of[0] nelson[0] servo[0] and[0] crow[0] making[0] their[0] comments[0] while[0] silhouetted[0] against[-1] the[0] movie[0] being[0] watched[0] and[0] breaks[0] every[0] 20[0] minutes[0] or[0] so[0] for[0] segments[0] set[0] on[0] the[0] satellite[0] of[0] love[2] the[0] ship[0] on[0] which[0] our[0] heroes[2] are[0] marooned[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
only two things are different in the movie : the absence of forrester's sidekick , tv's frank , and the slower pace of the jokes . 	only two things are different in the movie : the absence of forrester's sidekick , tv's frank , and the slower pace of the jokes .	2	-2	 only[0] two[0] things[0] are[0] different[0] in[0] the[0] movie[0] the[0] absence[-1] of[0] forrester's[0] sidekick[0] tv's[0] frank[0] and[0] the[0] slower[0] pace[0] of[0] the[0] jokes[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this latter change is presumably deliberate to avoid the viewing audience missing some of the best lines while laughing from the previous joke . 	this latter change is presumably deliberate to avoid the viewing audience missing some of the best lines while laughing from the previous joke .	2	-2	 this[0] latter[0] change[0] is[0] presumably[0] deliberate[0] to[0] avoid[-1] the[0] viewing[0] audience[0] missing[0] some[0] of[0] the[0] best[1] lines[0] while[0] laughing[1] from[0] the[0] previous[0] joke[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for their big screen outing , the producers have chosen " this island earth " , a 1954 classic , and one of the first sf films to have a special effects budget larger than the average grocery bill . 	for their big screen outing , the producers have chosen " this island earth " , a 1954 classic , and one of the first sf films to have a special effects budget larger than the average grocery bill .	2	-1	 for[0] their[0] big[0] screen[0] outing[0] the[0] producers[0] have[0] chosen[0] this[0] island[0] earth[0] a[0] 1954[0] classic[0] and[0] one[0] of[0] the[0] first[0] sf[0] films[0] to[0] have[0] a[0] special[1] effects[0] budget[0] larger[0] than[0] the[0] average[0] grocery[0] bill[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately for that film ( but making it ideal mst3k fodder ) , acting and dialogue appear to have taken a back seat to the effects which , by today's standards , are less than impressive . 	unfortunately for that film ( but making it ideal mst3k fodder ) , acting and dialogue appear to have taken a back seat to the effects which , by today's standards , are less than impressive .	2	-2	 unfortunately[-1] for[0] that[0] film[0] but[0] making[0] it[0] ideal[0] mst3k[0] fodder[0] acting[0] and[0] dialogue[0] appear[0] to[0] have[0] taken[0] a[0] back[0] seat[0] to[0] the[0] effects[0] which[0] by[0] today's[0] standards[0] are[0] less[0] than[0] impressive[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
nelson & co . make jokes about everything from japan's dominance in the world market , to star trek , to the state of disrepair of seattle's kingdome , and most of them work . 	nelson & co .<br> make jokes about everything from japan's dominance in the world market , to star trek , to the state of disrepair of seattle's kingdome , and most of them work .	2	-1	 nelson[0] &[0] co[0] [[Sentence=-1,1=word max, 1-5]] make[0] jokes[1] about[0] everything[0] from[0] japan's[0] dominance[0] in[0] the[0] world[0] market[0] to[0] star[0] trek[0] to[0] the[0] state[0] of[0] disrepair[0] of[0] seattle's[0] kingdome[0] and[0] most[0] of[0] them[0] work[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
