more than forty years ago , the " sword and sandals " genre of historical epic ruled the box office . 	Translation	Positive	Negative	EmotionRationale
during the 1950's hollywood sought to give audiences a reason to turn off their televisions and go out to the movies by offering the grand spectacle of the roman empire in cinemascope . 	during the 1950's hollywood sought to give audiences a reason to turn off their televisions and go out to the movies by offering the grand spectacle of the roman empire in cinemascope .	2	-1	 during[0] the[0] 1950's[0] hollywood[0] sought[0] to[0] give[0] audiences[0] a[0] reason[0] to[0] turn[0] off[0] their[0] televisions[0] and[0] go[0] out[0] to[0] the[0] movies[0] by[0] offering[0] the[0] grand[1] spectacle[0] of[0] the[0] roman[0] empire[0] in[0] cinemascope[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " ben-hur . " 	 " ben-hur .<br> "	1	-1	 ben[0] hur[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " cleopatra . " 	 " cleopatra .<br> "	1	-1	 cleopatra[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the robe . " 	 " the robe .<br> "	1	-1	 the[0] robe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " sparticus . " 	 " sparticus .<br> "	1	-1	 sparticus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the fall of the roman empire . " 	 " the fall of the roman empire .<br> "	1	-1	 the[0] fall[0] of[0] the[0] roman[0] empire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " quo vadis . " 	 " quo vadis .<br> "	1	-1	 quo[0] vadis[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sometimes brilliant , sometimes campy , the roman epic was the technicolor funeral pyre of classic hollywood . 	sometimes brilliant , sometimes campy , the roman epic was the technicolor funeral pyre of classic hollywood .	1	-1	 sometimes[0] brilliant[1][-1 LastWordBoosterStrength] sometimes[0] campy[0] the[0] roman[0] epic[0] was[0] the[0] technicolor[0] funeral[0] pyre[0] of[0] classic[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since then , epics have appeared infrequently ( " the last emperor , " " braveheart " ) and some of the best have been small-screen affairs produced in the 1970's ( " roots , " " shogun " ) . 	since then , epics have appeared infrequently ( " the last emperor , " " braveheart " ) and some of the best have been small-screen affairs produced in the 1970's ( " roots , " " shogun " ) .	3	-1	 since[0] then[0] epics[0] have[0] appeared[0] infrequently[0] the[0] last[0] emperor[0] braveheart[2] and[0] some[0] of[0] the[0] best[1] have[0] been[0] small[0] screen[0] affairs[0] produced[0] in[0] the[0] 1970's[0] roots[0] shogun[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
yet , the phrase " we who are about to die salute you " has been absent until now . 	yet , the phrase " we who are about to die salute you " has been absent until now .	1	-2	 yet[0] the[0] phrase[0] we[0] who[0] are[0] about[0] to[0] die[0] salute[0] you[0] has[0] been[0] absent[-1] until[0] now[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " gladiator " begins in germania in a . d . 180 . 	 " gladiator " begins in germania in a .<br> d .<br> 180 .	1	-2	 gladiator[0] begins[0] in[0] germania[-1] in[0] a[0] [[Sentence=-2,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]] 180[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
roman general maximus ( russell crowe ) has conquered yet another group of barbarians for his emperor marcus aurelius ( richard harris ) , and he is eager to retire to his plantation in spain where his wife and son are waiting . 	roman general maximus ( russell crowe ) has conquered yet another group of barbarians for his emperor marcus aurelius ( richard harris ) , and he is eager to retire to his plantation in spain where his wife and son are waiting .	1	-3	 roman[0] general[0] maximus[0] russell[0] crowe[0] has[0] conquered[0] yet[0] another[0] group[0] of[0] barbarians[-2] for[0] his[0] emperor[0] marcus[0] aurelius[0] richard[0] harris[0] and[0] he[0] is[0] eager[0] to[0] retire[-1] to[0] his[0] plantation[0] in[0] spain[0] where[0] his[0] wife[0] and[0] son[0] are[0] waiting[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , the emperor is worried that his decadent weakling son commodus ( joaquin phoenix ) will prove a poor successor , so he wants to make maximus his heir as a transition toward rome becoming a republic again . 	however , the emperor is worried that his decadent weakling son commodus ( joaquin phoenix ) will prove a poor successor , so he wants to make maximus his heir as a transition toward rome becoming a republic again .	1	-4	 however[0] the[0] emperor[0] is[0] worried[-3] that[0] his[0] decadent[-1] weakling[-1] son[0] commodus[0] joaquin[0] phoenix[0] will[0] prove[0] a[0] poor[-1] successor[0] so[0] he[0] wants[0] to[0] make[0] maximus[0] his[0] heir[0] as[0] a[0] transition[0] toward[0] rome[0] becoming[0] a[0] republic[0] again[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when commodus hears the plan , he strangles his father and orders maximus and his family murdered . 	when commodus hears the plan , he strangles his father and orders maximus and his family murdered .	1	-4	 when[0] commodus[0] hears[0] the[0] plan[0] he[0] strangles[-2] his[0] father[0] and[0] orders[0] maximus[0] and[0] his[0] family[0] murdered[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
maximus escapes from the executioners , but he arrives home too late to save his wife and son . 	maximus escapes from the executioners , but he arrives home too late to save his wife and son .	2	-1	 maximus[0] escapes[0] from[0] the[0] executioners[0] but[0] he[0] arrives[0] home[0] too[0] late[0] to[0] save[1] his[0] wife[0] and[0] son[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a caravan of slavers pick up the wounded hero and carry him off to north africa . 	a caravan of slavers pick up the wounded hero and carry him off to north africa .	3	-2	 a[0] caravan[0] of[0] slavers[0] pick[0] up[0] the[0] wounded[-1] hero[2] and[0] carry[0] him[0] off[0] to[0] north[0] africa[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 ( why the caravan happened to be cruising by maximus' place is never explained . ) 	 ( why the caravan happened to be cruising by maximus' place is never explained .<br> )	1	-1	 why[0] the[0] caravan[0] happened[0] to[0] be[0] cruising[0] by[0] maximus'[0] place[0] is[0] never[0] explained[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an african named juba ( djimon hounsou ) treats maximus' wounds . 	an african named juba ( djimon hounsou ) treats maximus' wounds .	1	-2	 an[0] african[0] named[0] juba[0] djimon[0] hounsou[0] treats[0] maximus'[0] wounds[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
