after a rather disappointing " mary railly " , stephen frears is now officially back in business with a comeback worthy of praise . 	Translation	Positive	Negative	EmotionRationale
this is one of the best surprises of this season -- a sweet , small budget comedy with a big heart . 	this is one of the best surprises of this season - a sweet , small budget comedy with a big heart .	2	-1	 this[0] is[0] one[0] of[0] the[0] best[1] surprises[0] of[0] this[0] season[0] a[0] sweet[1] small[0] budget[0] comedy[0] with[0] a[0] big[0] heart[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact it's not even a comedy . 	in fact it's not even a comedy .	1	-1	 in[0] fact[0] it's[0] not[0] even[0] a[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a drama or even more precise -- a clever satire on human relationships and needs . 	it's a drama or even more precise - a clever satire on human relationships and needs .	1	-1	 it's[0] a[0] drama[0] or[0] even[0] more[0] precise[0] a[0] clever[0] satire[0] on[0] human[0] relationships[0] and[0] needs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
based on a 1995 critically acclaimed novel by british author nick hornby ,   high fidelity'' is a wry and likable story about a man's quest for fulfillment and happiness . 	based on a 1995 critically acclaimed novel by british author nick hornby ,   high fidelity'' is a wry and likable story about a man's quest for fulfilment and happiness .	3	-2	 based[0] on[0] a[0] 1995[0] critically[-1] acclaimed[0] novel[0] by[0] british[0] author[0] nick[0] hornby[0] high[0] fidelity''[0] is[0] a[0] wry[0] and[0] likable[0] story[0] about[0] a[0] man's[0] quest[0] for[0] fulfillment/fulfilment[0] and[0] happiness[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
rob gordon was a dj . 	rob gordon was a dj .	1	-1	 rob[0] gordon[0] was[0] a[0] dj[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it seems that he could make everything spin -- except his own life . 	it seems that he could make everything spin - except his own life .	1	-1	 it[0] seems[0] that[0] he[0] could[0] make[0] everything[0] spin[0] except[0] his[0] own[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now he owns championship vinyl , a little musical store , somewhere in new york . 	now he owns championship vinyl , a little musical store , somewhere in new york .	1	-1	 now[0] he[0] owns[0] championship[0] vinyl[0] a[0] little[0] musical[0] store[0] somewhere[0] in[0] new[0] york[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when he suddenly gets dumped by his girlfriend , a gorgeous blond attorney , life suddenly looses every purpose . 	when he suddenly gets dumped by his girlfriend , a gorgeous blond attorney , life suddenly looses every purpose .	3	-2	 when[0] he[0] suddenly[0] gets[0] dumped[-1] by[0] his[0] girlfriend[0] a[0] gorgeous[2] blond[0] attorney[0] life[0] suddenly[0] looses[0] every[0] purpose[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
decimated , humiliated and on the verge of a mental ( and emotional ) breakdown , he starts meditating over his life and the way it could have been -- about what's right and what's important . 	decimated , humiliated and on the verge of a mental ( and emotional ) breakdown , he starts meditating over his life and the way it could have been - about what's right and what's important .	1	-4	 decimated[0] humiliated[-3] and[0] on[0] the[0] verge[0] of[0] a[0] mental[0] and[0] emotional[-1] breakdown[-1] he[0] starts[0] meditating[0] over[0] his[0] life[0] and[0] the[0] way[0] it[0] could[0] have[0] been[0] about[0] what's[0] right[0] and[0] what's[0] important[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he starts " categorizing " life , dividing it into " top 5 lists " . 	he starts " categorizing " life , dividing it into " top 5 lists " .	1	-1	 he[0] starts[0] categorizing[0] life[0] dividing[0] it[0] into[0] top[0] 5[0] lists[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
