steven spielberg's " amistad , " which is based on the true story of a group of africans who revolted on board a slave ship , then were captured and taken to america where a legal dispute ensued over who " owned " them , is concerned with several different aspects of this story . 	Translation	Positive	Negative	EmotionRationale
first , the film addresses the issue of the inherent evils of slavery . 	first , the film addresses the issue of the inherent evils of slavery .	1	-3	 first[0] the[0] film[0] addresses[0] the[0] issue[0] of[0] the[0] inherent[0] evils[-2] of[0] slavery[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
second , it deals with the historical involvement of several american politicians in the case , including president martin van buren and former president john quincy adams ( anthony hopkins ) . 	second , it deals with the historical involvement of several american politicians in the case , including president martin van buren and former president john quincy adams ( anthony hopkins ) .	1	-1	 second[0] it[0] deals[0] with[0] the[0] historical[0] involvement[0] of[0] several[0] american[0] politicians[0] in[0] the[0] case[0] including[0] president[0] martin[0] van[0] buren[0] and[0] former[0] president[0] john[0] quincy[0] adams[0] anthony[0] hopkins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
last , and most importantly , it examines the cultural confusion experienced by the africans who were forced into slavery and the damage done to their native culture in africa by the slave trade . 	last , and most importantly , it examines the cultural confusion experienced by the africans who were forced into slavery and the damage done to their native culture in africa by the slave trade .	1	-2	 last[0] and[0] most[0] importantly[0] it[0] examines[0] the[0] cultural[0] confusion[-1] experienced[0] by[0] the[0] africans[0] who[0] were[0] forced[0] into[0] slavery[0] and[0] the[0] damage[0] done[0] to[0] their[0] native[0] culture[0] in[0] africa[0] by[0] the[0] slave[0] trade[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " amistad " succeeds at least partly with all three of these elements . 	 " amistad " succeeds at least partly with all three of these elements .	3	-1	 amistad[0] succeeds[2] at[0] least[0] partly[0] with[0] all[0] three[0] of[0] these[0] elements[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i have to admit that i was a little skeptical as to how much i could really get out of another " anti-slavery " movie . 	i have to admit that i was a little skeptical as to how much i could really get out of another " anti-slavery " movie .	1	-2	 i[0] have[0] to[0] admit[0] that[0] i[0] was[0] a[0] little[0] skeptical[-1] as[0] to[0] how[0] much[0] i[0] could[0] really[0] get[0] out[0] of[0] another[0] anti[0] slavery[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
having seen several other movies and documentaries about slavery , i doubted that there was much i didn't already know about it . 	having seen several other movies and documentaries about slavery , i doubted that there was much i didn't already know about it .	1	-2	 having[0] seen[0] several[0] other[0] movies[0] and[0] documentaries[0] about[0] slavery[0] i[0] doubted[-1] that[0] there[0] was[0] much[0] i[0] didn't[0] already[0] know[0] about[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fortunately , i turned out to be wrong . 	fortunately , i turned out to be wrong .	1	-2	 fortunately[0] i[0] turned[0] out[0] to[0] be[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for one thing , spielberg's camera never once gets near a southern plantation and instead sticks to the slave ships and the slave traders' operations in africa , so " amistad " was dealing with a different part of the history of slavery from the very beginning . 	for one thing , spielberg's camera never once gets near a southern plantation and instead sticks to the slave ships and the slave traders' operations in africa , so " amistad " was dealing with a different part of the history of slavery from the very beginning .	1	-1	 for[0] one[0] thing[0] spielberg's[0] camera[0] never[0] once[0] gets[0] near[0] a[0] southern[0] plantation[0] and[0] instead[0] sticks[0] to[0] the[0] slave[0] ships[0] and[0] the[0] slave[0] traders'[0] operations[0] in[0] africa[0] so[0] amistad[0] was[0] dealing[0] with[0] a[0] different[0] part[0] of[0] the[0] history[0] of[0] slavery[0] from[0] the[0] very[0] beginning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and some of the images here are , in fact , much more harrowing than what we usually see in movies about slavery . 	and some of the images here are , in fact , much more harrowing than what we usually see in movies about slavery .	1	-1	 and[0] some[0] of[0] the[0] images[0] here[0] are[0] in[0] fact[0] much[0] more[0] harrowing[0] than[0] what[0] we[0] usually[0] see[0] in[0] movies[0] about[0] slavery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one scene in the middle , in which the crew of a slave ship dispose of some of their " excess " slaves by throwing them overboard to drown , has to be one of the most disturbing film images of the year . 	one scene in the middle , in which the crew of a slave ship dispose of some of their " excess " slaves by throwing them overboard to drown , has to be one of the most disturbing film images of the year .	1	-2	 one[0] scene[0] in[0] the[0] middle[0] in[0] which[0] the[0] crew[0] of[0] a[0] slave[0] ship[0] dispose[-1] of[0] some[0] of[0] their[0] excess[-1] slaves[0] by[0] throwing[0] them[0] overboard[0] to[0] drown[-1] has[0] to[0] be[0] one[0] of[0] the[0] most[0] disturbing[-1] film[0] images[0] of[0] the[0] year[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
spielberg digs farther into the evils of slavery than i was expecting he would , and in fact he probably goes about as far as a movie director can without getting an nc-17 rating . 	spielberg digs farther into the evils of slavery than i was expecting he would , and in fact he probably goes about as far as a movie director can without getting an nc-17 rating .	1	-3	 spielberg[0] digs[0] farther[0] into[0] the[0] evils[-2] of[0] slavery[0] than[0] i[0] was[0] expecting[0] he[0] would[0] and[0] in[0] fact[0] he[0] probably[0] goes[0] about[0] as[0] far[0] as[0] a[0] movie[0] director[0] can[0] without[0] getting[0] an[0] nc[0] -17[0] rating[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the stark suffering of the africans is contrasted sharply with the shallow luxury of the politicians , such as president van buren and queen isabella of spain , whose naval officers were involved in the legal dispute and who was only a small child at the time . 	the stark suffering of the africans is contrasted sharply with the shallow luxury of the politicians , such as president van buren and queen isabella of spain , whose naval officers were involved in the legal dispute and who was only a small child at the time .	1	-4	 the[0] stark[-1] suffering[-3] of[0] the[0] africans[0] is[0] contrasted[0] sharply[0] with[0] the[0] shallow[-1] luxury[0] of[0] the[0] politicians[0] such[0] as[0] president[0] van[0] buren[0] and[0] queen[0] isabella[0] of[0] spain[0] whose[0] naval[0] officers[0] were[0] involved[0] in[0] the[0] legal[0] dispute[-1] and[0] who[0] was[0] only[0] a[0] small[0] child[0] at[0] the[0] time[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
exposing politicians as narrow-minded , opportunistic hypocrites is fairly standard stuff , of course , but spielberg and writer david franzoni do it well enough that it still comes off as something more than just a simple exercise in audience manipulation . 	exposing politicians as narrow-minded , opportunistic hypocrites is fairly standard stuff , of course , but spielberg and writer david franzoni do it well enough that it still comes off as something more than just a simple exercise in audience manipulation .	1	-2	 exposing[0] politicians[0] as[0] narrow[0] minded[0] opportunistic[0] hypocrites[0] is[0] fairly[0] standard[0] stuff[0] of[0] course[0] but[0] spielberg[0] and[0] writer[0] david[0] franzoni[0] do[0] it[0] well[0] enough[0] that[0] it[0] still[0] comes[0] off[0] as[0] something[0] more[0] than[0] just[0] a[0] simple[0] exercise[0] in[0] audience[0] manipulation[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film also examines the contentious nature of the slavery issue at the time , such that john quincy adams ( and probably other politicians like him ) , who clearly disapproved of the practice , was reluctant to get involved in the case until it was appealed all the way to the supreme court . 	the film also examines the contentious nature of the slavery issue at the time , such that john quincy adams ( and probably other politicians like him ) , who clearly disapproved of the practice , was reluctant to get involved in the case until it was appealed all the way to the supreme court .	3	-2	 the[0] film[0] also[0] examines[0] the[0] contentious[0] nature[0] of[0] the[0] slavery[0] issue[0] at[0] the[0] time[0] such[0] that[0] john[0] quincy[0] adams[0] and[0] probably[0] other[0] politicians[0] like[1] him[0] who[0] clearly[0] disapproved[-1] of[0] the[0] practice[0] was[0] reluctant[-1] to[0] get[0] involved[0] in[0] the[0] case[0] until[0] it[0] was[0] appealed[0] all[0] the[0] way[0] to[0] the[0] supreme[2] court[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the biggest success of " amistad " is probably the characterization of cinque ( djimon hounsou ) , who emerges as the de facto leader of the kidnapped africans and struggles to communicate with baldwin ( matthew mcconaughey ) , the lawyer who represents them in court . 	the biggest success of " amistad " is probably the characterization of cinque ( djimon hounsou ) , who emerges as the de facto leader of the kidnapped africans and struggles to communicate with baldwin ( matthew mcconaughey ) , the lawyer who represents them in court .	3	-2	 the[0] biggest[0] success[2] of[0] amistad[0] is[0] probably[0] the[0] characterization[0] of[0] cinque[0] djimon[0] hounsou[0] who[0] emerges[0] as[0] the[0] de[0] facto[0] leader[0] of[0] the[0] kidnapped[0] africans[0] and[0] struggles[-1] to[0] communicate[0] with[0] baldwin[0] matthew[0] mcconaughey[0] the[0] lawyer[0] who[0] represents[0] them[0] in[0] court[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
through cinque , we are given a window into the native culture , as he and the displaced africans try to explain to the prison guards what they need for a proper burial of a dead tribe member , or find an illustrated version of the bible and try to understand the story of jesus christ . 	through cinque , we are given a window into the native culture , as he and the displaced africans try to explain to the prison guards what they need for a proper burial of a dead tribe member , or find an illustrated version of the bible and try to understand the story of jesus christ .	1	-3	 through[0] cinque[0] we[0] are[0] given[0] a[0] window[0] into[0] the[0] native[0] culture[0] as[0] he[0] and[0] the[0] displaced[-1] africans[0] try[0] to[0] explain[0] to[0] the[0] prison[-1] guards[0] what[0] they[0] need[0] for[0] a[0] proper[0] burial[0] of[0] a[0] dead[-2] tribe[0] member[0] or[0] find[0] an[0] illustrated[0] version[0] of[0] the[0] bible[0] and[0] try[0] to[0] understand[0] the[0] story[0] of[0] jesus[0] christ[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
cinque sees the dispute with a clarity and simplicity that , again , contrasts with the technicalities and mechanics of the legal process and of the political squabbles . 	cinque sees the dispute with a clarity and simplicity that , again , contrasts with the technicalities and mechanics of the legal process and of the political squabbles .	1	-2	 cinque[0] sees[0] the[0] dispute[-1] with[0] a[0] clarity[0] and[0] simplicity[0] that[0] again[0] contrasts[0] with[0] the[0] technicalities[0] and[0] mechanics[0] of[0] the[0] legal[0] process[0] and[0] of[0] the[0] political[0] squabbles[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " what kind of country is this , where laws 'almost' work ? " he asks baldwin in bewilderment , when he learns that the case must be re-tried before the supreme court . 	 " what kind of country is this , where laws 'almost' work ?<br> " he asks baldwin in bewilderment , when he learns that the case must be re-tried before the supreme court .	3	-3	 what[0] kind[1] of[0] country[0] is[0] this[0] where[0] laws[0] 'almost'[0] work[0] [[Sentence=-1,2=word max, 1-5]] he[0] asks[0] baldwin[0] in[0] bewilderment[-2] when[0] he[0] learns[0] that[0] the[0] case[0] must[0] be[0] re[0] tried[0] before[0] the[0] supreme[2] court[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
