in december of 1996 , a little movie called " scream , " was released , became a box-office smash , and resurrected films targeted at teens . 	Translation	Positive	Negative	EmotionRationale
first , it was teen slasher movies that were the big fad ( both " scream " movies , " i know what you did last summer , " " urban legend , " etc . ) , but just recently , the popularity has switched over to the teen comedy genre ( a 'la '80s john hughes ) , starting with last june's " can't hardly wait . " 	first , it was teen slasher movies that were the big fad ( both " scream " movies , " i know what you did last summer , " " urban legend , " etc .<br> ) , but just recently , the popularity has switched over to the teen comedy genre ( a 'la '80s john hughes ) , starting with last june's " can't hardly wait .<br> "	2	-4	 first[0] it[0] was[0] teen[0] slasher[-1] movies[0] that[0] were[0] the[0] big[0] fad[0] both[0] scream[-3] movies[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] urban[0] legend[0] etc[0] [[Sentence=-4,1=word max, 1-5]] but[0] just[0] recently[0] the[0] popularity[1] has[0] switched[0] over[0] to[0] the[0] teen[0] comedy[0] genre[0] a[0] 'la[0] '80s[0] john[0] hughes[0] starting[0] with[0] last[0] june's[0] can't[0] hardly[0] wait[0] [[Sentence=-1,2=word max, 1-5]][[[2,-4 max of sentences]]]
it may be the first week of april in 1999 , but so far this year we have been given a movie aimed at the 25-and-under market almost every single week : " varsity blues , " " jawbreaker , " " cruel intentions , " " simply irresistible , " " the rage : carrie 2 , " and " the mod squad . " 	it may be the first week of april in 199 , but so far this year we have been given a movie aimed at the 25-and-under market almost every single week : " varsity blues , " " jawbreaker , " " cruel intentions , " " simply irresistible , " " the rage : carrie 2 , " and " the mod squad .<br> "	1	-4	 it[0] may[0] be[0] the[0] first[0] week[0] of[0] april[0] in[0] 1999/199[0] but[0] so[0] far[0] this[0] year[0] we[0] have[0] been[0] given[0] a[0] movie[0] aimed[0] at[0] the[0] 25[0] and[0] under[0] market[0] almost[0] every[0] single[0] week[0] varsity[0] blues[0] jawbreaker[0] cruel[-3] intentions[0] simply[0] irresistible[0] the[0] rage[-3] carrie[0] 2[0] and[0] the[0] mod[0] squad[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
coming april 9 are two more of this type : " never been kissed " and " go , " and on april 23 , we've got the teen satire " election " and the teen horror-comedy " idle hands . " 	coming april 9 are two more of this type : " never been kissed " and " go , " and on april 23 , we've got the teen satire " election " and the teen horror-comedy " idle hands .<br> "	1	-4	 coming[0] april[0] 9[0] are[0] two[0] more[0] of[0] this[0] type[0] never[0] been[0] kissed[2][NegatedDueToPreviousWord] and[0] go[0] and[0] on[0] april[0] 23[0] we've[0] got[0] the[0] teen[0] satire[0] election[0] and[0] the[0] teen[0] horror[-3] comedy[0] idle[0] hands[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
jeesh ! 	jeesh !	1	-1	 jeesh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
out of all of these moves , however , the one that is most similar to the latest incarnation , " 10 things i hate about you , " is this past january's mediocre , ho-hum " she's all that . " 	out of all of these moves , however , the one that is most similar to the latest incarnation , " 10 things i hate about you , " is this past january's mediocre , ho-hum " she's all that .<br> "	1	-4	 out[0] of[0] all[0] of[0] these[0] moves[0] however[0] the[0] one[0] that[0] is[0] most[0] similar[0] to[0] the[0] latest[0] incarnation[0] 10[0] things[0] i[0] hate[-3] about[0] you[0] is[0] this[0] past[0] january's[0] mediocre[-1] ho[0] hum[0] she's[0] all[0] that[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
although similar in plotting ( ok , darn near identical ) , " 10 things i hate about you , " a modern-day version of shakespeare's " the taming of the shrew " ( " she's all that " got its inspiration from " pygmalion " ) , is an infinitely superior film in every department , from the smart direction by first-time feature director gil junger to the charming and well-written screenplay by karen mccullah lutz and kirsten smith to the striking ensemble cast , who give the best group of performances in a teen comedy since 1985's " the breakfast club . " 	although similar in plotting ( ok , darn near identical ) , " 10 things i hate about you , " a modern-day version of shakespeare's " the taming of the shrew " ( " she's all that " got its inspiration from " pygmalion " ) , is an infinitely superior film in every department , from the smart direction by first-time feature director gil junger to the charming and well-written screenplay by karen mccullah lutz and kirsten smith to the striking ensemble cast , who give the best group of performances in a teen comedy since 1985's " the breakfast club .<br> "	3	-4	 although[0] similar[0] in[0] plotting[0] ok[0] darn[-1] near[0] identical[0] 10[0] things[0] i[0] hate[-3] about[0] you[0] a[0] modern[0] day[0] version[0] of[0] shakespeare's[0] the[0] taming[0] of[0] the[0] shrew[-1] she's[0] all[0] that[0] got[0] its[0] inspiration[2] from[0] pygmalion[0] is[0] an[0] infinitely[0] superior[2] film[0] in[0] every[0] department[0] from[0] the[0] smart[1] direction[0] by[0] first[0] time[0] feature[0] director[0] gil[0] junger[0] to[0] the[0] charming[1] and[0] well[0] written[0] screenplay[0] by[0] karen[0] mccullah[0] lutz[0] and[0] kirsten[0] smith[0] to[0] the[0] striking[0] ensemble[0] cast[0] who[0] give[0] the[0] best[1] group[0] of[0] performances[0] in[0] a[0] teen[0] comedy[0] since[0] 1985's[0] the[0] breakfast[0] club[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
and to top it all off , in the inevitable climax set at the prom , at least we didn't have to once again suffer through a goofy , inappropriate dance sequence ( who could forget , or want to remember , for that matter , this ludicrous development in " she's all that ? " ) . 	and to top it all off , in the inevitable climax set at the prom , at least we didn't have to once again suffer through a goofy , inappropriate dance sequence ( who could forget , or want to remember , for that matter , this ludicrous development in " she's all that ?<br> " ) .	1	-4	 and[0] to[0] top[0] it[0] all[0] off[0] in[0] the[0] inevitable[0] climax[0] set[0] at[0] the[0] prom[0] at[0] least[0] we[0] didn't[0] have[0] to[0] once[0] again[0] suffer[-3] through[0] a[0] goofy[0] inappropriate[0] dance[0] sequence[0] who[0] could[0] forget[0] or[0] want[0] to[0] remember[0] for[0] that[0] matter[0] this[0] ludicrous[-2] development[0] in[0] she's[0] all[0] that[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the day wide-eyed , shy new student cameron james ( joseph gordon-levitt ) starts school at seattle-based padua high , he is swept away at the sight of the beautiful and popular sophomore , bianca stratford ( larisa oleynik ) . 	the day wide-eyed , shy new student cameron james ( joseph gordon-levitt ) starts school at seattle-based padua high , he is swept away at the sight of the beautiful and popular sophomore , bianca stratford ( larisa oleynik ) .	3	-3	 the[0] day[0] wide[0] eyed[0] shy[-2] new[0] student[0] cameron[0] james[0] joseph[0] gordon[0] levitt[0] starts[0] school[0] at[0] seattle[0] based[0] padua[0] high[0] he[0] is[0] swept[0] away[0] at[0] the[0] sight[0] of[0] the[0] beautiful[2] and[0] popular[0] sophomore[0] bianca[0] stratford[0] larisa[0] oleynik[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
although he doesn't know french , he purposefully learns some of it just so he can tutor her , but finds that her paranoid gynecologist father ( larry miller ) won't allow her to date until her bitter , unconventional older sister , kat ( julia stiles ) , a senior , decides to . 	although he doesn't know french , he purposefully learns some of it just so he can tutor her , but finds that her paranoid gynecologist father ( larry miller ) won't allow her to date until her bitter , unconventional older sister , kat ( julia stiles ) , a senior , decides to .	1	-3	 although[0] he[0] doesn't[0] know[0] french[0] he[0] purposefully[0] learns[0] some[0] of[0] it[0] just[0] so[0] he[0] can[0] tutor[0] her[0] but[0] finds[0] that[0] her[0] paranoid[-2] gynecologist[0] father[0] larry[0] miller[0] won't[0] allow[0] her[0] to[0] date[0] until[0] her[0] bitter[-1] unconventional[0] older[0] sister[0] kat[0] julia[0] stiles[0] a[0] senior[0] decides[0] to[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
kat , of course , has sworn off the likes of boys , but cameron sets out to find someone that will be the perfect match for her , which is exactly what he finds in the form of the rebellious patrick verona ( heath ledger ) . 	kat , of course , has sworn off the likes of boys , but cameron sets out to find someone that will be the perfect match for her , which is exactly what he finds in the form of the rebellious patrick verona ( heath ledger ) .	3	-2	 kat[0] of[0] course[0] has[0] sworn[0] off[0] the[0] likes[2] of[0] boys[0] but[0] cameron[0] sets[0] out[0] to[0] find[0] someone[0] that[0] will[0] be[0] the[0] perfect[1] match[0] for[0] her[0] which[0] is[0] exactly[0] what[0] he[0] finds[0] in[0] the[0] form[0] of[0] the[0] rebellious[-1] patrick[0] verona[0] heath[0] ledger[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
