robert altman's cookie's fortune is that rare movie that does not depend on sentimentality to be uplifting and to make its viewers feel good . 	Translation	Positive	Negative	EmotionRationale
it is a sunny , delightful , dreamy comedy , filled with lovely performances , skillful direction and topped off with an understated , clever , extraordinary script . 	it is a sunny , delightful , dreamy comedy , filled with lovely performances , skillful direction and topped off with an understated , clever , extraordinary script .	3	-1	 it[0] is[0] a[0] sunny[1] delightful[2] dreamy[0] comedy[0] filled[0] with[0] lovely[1] performances[0] skillful[1] direction[0] and[0] topped[0] off[0] with[0] an[0] understated[0] clever[0] extraordinary[0] script[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as this is an ensemble piece , it is forced to start of slowly as it introduces us to its characters , all of them residing in a southern town called holly springs . 	as this is an ensemble piece , it is forced to start of slowly as it introduces us to its characters , all of them residing in a southern town called holly springs .	1	-1	 as[0] this[0] is[0] an[0] ensemble[0] piece[0] it[0] is[0] forced[0] to[0] start[0] of[0] slowly[0] as[0] it[0] introduces[0] us[0] to[0] its[0] characters[0] all[0] of[0] them[0] residing[0] in[0] a[0] southern[0] town[0] called[0] holly[0] springs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first we meet willie ( charles s . dutton ) , an honest man with a slight drinking habit . 	first we meet willie ( charles s .<br> dutton ) , an honest man with a slight drinking habit .	1	-1	 first[0] we[0] meet[0] willie[0] charles[0] s[0] [[Sentence=-1,1=word max, 1-5]] dutton[0] an[0] honest[0] man[0] with[0] a[0] slight[0] drinking[0] habit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we then see that willie takes care of an elderly lady nicknamed cookie , who is slowly losing her grip on sanity and is being filled with loneliness , despair , and want of her dead husband . 	we then see that willie takes care of an elderly lady nicknamed cookie , who is slowly losing her grip on sanity and is being filled with loneliness , despair , and want of her dead husband .	2	-4	 we[0] then[0] see[0] that[0] willie[0] takes[0] care[1] of[0] an[0] elderly[0] lady[0] nicknamed[0] cookie[0] who[0] is[0] slowly[0] losing[-2] her[0] grip[0] on[0] sanity[0] and[0] is[0] being[0] filled[0] with[0] loneliness[-1] despair[-3] and[0] want[0] of[0] her[0] dead[-2] husband[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
we cut to camille ( glenn close ) who is obsessively directing a play with her sister cora ( julianne moore ) . 	we cut to camille ( glen close ) who is obsessively directing a play with her sister cora ( julianne more ) .	1	-3	 we[0] cut[0] to[0] camille[0] glenn/glen[0] close[0] who[0] is[0] obsessively[-2] directing[0] a[0] play[0] with[0] her[0] sister[0] cora[0] julianne[0] moore/more[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
then we briefly get acquainted with emma ( liv tyler ) , an apparent relative of cookie , who is a down-but-not-out teen outcast , still full of love and hope even though she has no real place to live . 	then we briefly get acquainted with emma ( liv tyler ) , an apparent relative of cookie , who is a down-but-not-out teen outcast , still full of love and hope even though she has no real place to live .	3	-2	 then[0] we[0] briefly[0] get[0] acquainted[0] with[0] emma[0] liv[0] tyler[0] an[0] apparent[0] relative[0] of[0] cookie[0] who[0] is[0] a[0] down[0] but[0] not[0] out[0] teen[0] outcast[-1] still[0] full[0] of[0] love[2] and[0] hope[2] even[0] though[0] she[0] has[0] no[0] real[0] place[0] to[0] live[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
we also fleetingly see emma's lover jason ( chris o'donnell ) , an ambitious but far too excitable young cop . 	we also fleetingly see emma's lover jason ( chris o'donnell ) , an ambitious but far too excitable young cop .	4	-2	 we[0] also[0] fleetingly[-1] see[0] emma's[0] lover[3] jason[0] chris[0] o'donnell[0] an[0] ambitious[0] but[0] far[0] too[0] excitable[2] young[0] cop[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
we are now about one quarter through the two hour picture , and robert altman decides that it is time to set the plot in motion . 	we are now about one quarter through the two hour picture , and robert altman decides that it is time to set the plot in motion .	1	-1	 we[0] are[0] now[0] about[0] one[0] quarter[0] through[0] the[0] two[0] hour[0] picture[0] and[0] robert[0] altman[0] decides[0] that[0] it[0] is[0] time[0] to[0] set[0] the[0] plot[0] in[0] motion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we see the ecstatic cookie stare hopefully at a picture of her husband . 	we see the ecstatic cookie stare hopefully at a picture of her husband .	4	-1	 we[0] see[0] the[0] ecstatic[3] cookie[0] stare[0] hopefully[0] at[0] a[0] picture[0] of[0] her[0] husband[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
she exclaims " here i come ! " 	she exclaims " here i come !<br> "	1	-1	 she[0] exclaims[0] here[0] i[0] come[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and then puts a pillow to her face and shoots herself . 	and then puts a pillow to her face and shoots herself .	1	-2	 and[0] then[0] puts[0] a[0] pillow[0] to[0] her[0] face[0] and[0] shoots[-1] herself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
