james jones , one of the major novelists from the middle of the twentieth century , has written a number of fictional works about the effects of war on the individual . 	Translation	Positive	Negative	EmotionRationale
a veteran of world war ii , and a witness to the pearl harbor bombings , his novels are not only grounded in realism but poetic in nature . 	a veteran of world war i , and a witness to the pearl harbor bombings , his novels are not only grounded in realism but poetic in nature .	1	-3	 a[0] veteran[0] of[0] world[0] war[-2] ii/i[0] and[0] a[0] witness[0] to[0] the[0] pearl[0] harbor[0] bombings[-1] his[0] novels[0] are[0] not[0] only[0] grounded[0] in[0] realism[0] but[0] poetic[0] in[0] nature[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they are reminiscent of stephen crane in their blunt eloquence , a trait which lends itself to razor-sharp focus . 	they are reminiscent of stephen crane in their blunt eloquence , a trait which lends itself to razor-sharp focus .	1	-2	 they[0] are[0] reminiscent[0] of[0] stephen[0] crane[0] in[0] their[0] blunt[-1] eloquence[0] a[0] trait[0] which[0] lends[0] itself[0] to[0] razor[0] sharp[0] focus[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but perhaps none matches the scope of his autobiographical novel , the thin red line ; now a cinematic masterpiece from director terrence malick . 	but perhaps none matches the scope of his autobiographical novel , the thin red line ; now a cinematic masterpiece from director terrence malick .	1	-1	 but[0] perhaps[0] none[0] matches[0] the[0] scope[0] of[0] his[0] autobiographical[0] novel[0] the[0] thin[0] red[0] line[0] now[0] a[0] cinematic[0] masterpiece[0] from[0] director[0] terrence[0] malick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the book's principal cast , some thirty characters , has been trimmed down for this rendition , but it still retains its most endearing value . 	the book's principal cast , some thirty characters , has been trimmed down for this rendition , but it still retains its most endearing value .	2	-1	 the[0] book's[0] principal[0] cast[0] some[0] thirty[0] characters[0] has[0] been[0] trimmed[0] down[0] for[0] this[0] rendition[0] but[0] it[0] still[0] retains[0] its[0] most[0] endearing[0] value[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
each of the roles has an everyman quality , emphasizing jones' examination of world war ii on the american soldier . 	each of the roles has an everyman quality , emphasizing jones' examination of world war i on the american soldier .	1	-3	 each[0] of[0] the[0] roles[0] has[0] an[0] everyman[0] quality[0] emphasizing[0] jones'[0] examination[0] of[0] world[0] war[-2] ii/i[0] on[0] the[0] american[0] soldier[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's a definitive chain of command present , and this also plays on the motivations of the cast . 	there's a definitive chain of command present , and this also plays on the motivations of the cast .	2	-1	 there's[0] a[0] definitive[0] chain[0] of[0] command[0] present[0] and[0] this[0] also[0] plays[1] on[0] the[0] motivations[0] of[0] the[0] cast[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but most importantly , and perhaps intrinsic to the novel but not to the movie , a dynamic and effective voice-over is used . 	but most importantly , and perhaps intrinsic to the novel but not to the movie , a dynamic and effective voice-over is used .	2	-1	 but[0] most[0] importantly[0] and[0] perhaps[0] intrinsic[0] to[0] the[0] novel[0] but[0] not[0] to[0] the[0] movie[0] a[0] dynamic[1] and[0] effective[0] voice[0] over[0] is[0] used[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
malick has several characters relating their thoughts , giving the viewer a greater perspective of the issues at stake . 	malick has several characters relating their thoughts , giving the viewer a greater perspective of the issues at stake .	3	-1	 malick[0] has[0] several[0] characters[0] relating[0] their[0] thoughts[0] giving[0] the[0] viewer[0] a[0] greater[2] perspective[0] of[0] the[0] issues[0] at[0] stake[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the issues at stake are many and one . 	the issues at stake are many and one .	1	-1	 the[0] issues[0] at[0] stake[0] are[0] many[0] and[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
told from a limited third-person perspective ( as opposed to a top-down , omniscient view ) , the movie entails the struggle of an american infantry company ( " c-for-charlie " ) to take a hill during the conflict at guadalcanal . 	told from a limited third-person perspective ( as opposed to a top-down , omniscient view ) , the movie entails the struggle of an american infantry company ( " c-for-charlie " ) to take a hill during the conflict at guadalcanal .	1	-2	 told[0] from[0] a[0] limited[0] third[0] person[0] perspective[0] as[0] opposed[0] to[0] a[0] top[0] down[0] omniscient[0] view[0] the[0] movie[0] entails[0] the[0] struggle[-1] of[0] an[0] american[0] infantry[0] company[0] c[0] for[0] charlie[0] to[0] take[0] a[0] hill[0] during[0] the[0] conflict[-1] at[0] guadalcanal[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
