for a movie about disco-era excess , " 54 " comes up surprisingly short on the sleazy happenings at the titular late 1970s and early 1980s manhattan dance club . 	Translation	Positive	Negative	EmotionRationale
think of it as a sort of " boogie nights " -lite - where that similarly-structured and -set portrayal of the porn industry was loaded with salacious goings-on and skidded on a destructive midpoint tone shift , " 54 " leaves the kinkier details to your imagination . 	think of it as a sort of " boogie nights " -lite - where that similarly-structured and -set portrayal of the porn industry was loaded with salacious goings-on and skidded on a destructive midpoint tone shift , " 54 " leaves the kinkier details to your imagination .	1	-1	 think[0] of[0] it[0] as[0] a[0] sort[0] of[0] boogie[0] nights[0] lite[0] where[0] that[0] similarly[0] structured[0] and[0] set[0] portrayal[0] of[0] the[0] porn[0] industry[0] was[0] loaded[0] with[0] salacious[0] goings[0] on[0] and[0] skidded[0] on[0] a[0] destructive[0] midpoint[0] tone[0] shift[0] 54[0] leaves[0] the[0] kinkier[0] details[0] to[0] your[0] imagination[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it never needlessly revels in its seedy subject matter , but it thankfully never resorts to preaching , either . 	it never needlessly revels in its seedy subject matter , but it thankfully never resorts to preaching , either .	2	-1	 it[0] never[0] needlessly[0] revels[0] in[0] its[0] seedy[0] subject[0] matter[0] but[0] it[0] thankfully[1] never[0] resorts[0] to[0] preaching[0] either[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , were it not for the rampant drug use and the intermittent dark moment , " 54 " would be about as feathery as the time period's popular female hairstyle . 	in fact , were it not for the rampant drug use and the intermittent dark moment , " 54 " would be about as feathery as the time period's popular female hairstyle .	1	-2	 in[0] fact[0] were[0] it[0] not[0] for[0] the[0] rampant[-1] drug[0] use[0] and[0] the[0] intermittent[0] dark[0] moment[0] 54[0] would[0] be[0] about[0] as[0] feathery[0] as[0] the[0] time[0] period's[0] popular[0] female[0] hairstyle[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
studio 54 was a haven for the rich , famous and generally good-looking before it closed its doors forever in 1986 . 	studio 54 was a haven for the rich , famous and generally good-looking before it closed its doors forever in 1986 .	2	-1	 studio[0] 54[0] was[0] a[0] haven[0] for[0] the[0] rich[0] famous[0] and[0] generally[0] good[1] looking[0] before[0] it[0] closed[0] its[0] doors[0] forever[0] in[0] 1986[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
inside , anything went and , we are told , everything did . 	inside , anything went and , we are told , everything did .	1	-1	 inside[0] anything[0] went[0] and[0] we[0] are[0] told[0] everything[0] did[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film's fictional main character is shane o'shea ( ryan phillippe , the jerky jock from " i know what you did last summer " ) , a fresh-faced 19-year-old who dreams of venturing beyond the club's velvet rope and coming face-to-face with the wild decadence he can only read about in magazines . 	the film's fictional main character is shane o'shea ( ryan phillippe , the jerky jock from " i know what you did last summer " ) , a fresh-faced 19-year-old who dreams of venturing beyond the club's velvet rope and coming face-to-face with the wild decadence he can only read about in magazines .	1	-2	 the[0] film's[0] fictional[0] main[0] character[0] is[0] shane[0] o'shea[0] ryan[0] phillippe[0] the[0] jerky[0] jock[0] from[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] a[0] fresh[0] faced[0] 19[0] year[0] old[0] who[0] dreams[0] of[0] venturing[0] beyond[0] the[0] club's[0] velvet[0] rope[0] and[0] coming[0] face[0] to[0] face[0] with[0] the[0] wild[0] decadence[-1] he[0] can[0] only[0] read[0] about[0] in[0] magazines[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his wish comes true when studio 54 owner steve rubell ( mike myers ) spots him amongst a crowd of gawkers one night in '79 and permits him passage - but not before he doffs his hideous shirt , of course . 	his wish comes true when studio 54 owner steve rubell ( mike myers ) spots him amongst a crowd of gawkers one night in '79 and permits him passage - but not before he doffs his hideous shirt , of course .	2	-2	 his[0] wish[0] comes[0] true[1] when[0] studio[0] 54[0] owner[0] steve[0] rubell[0] mike[0] myers[0] spots[0] him[0] amongst[0] a[0] crowd[0] of[0] gawkers[0] one[0] night[0] in[0] '79[0] and[0] permits[0] him[0] passage[0] but[0] not[0] before[0] he[0] doffs[0] his[0] hideous[-1] shirt[0] of[0] course[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
once inside , shane becomes seduced by the club's dizzying vortex of sex and drugs . 	once inside , shane becomes seduced by the club's dizying vortex of sex and drugs .	1	-1	 once[0] inside[0] shane[0] becomes[0] seduced[0] by[0] the[0] club's[0] dizzying/dizying[0] vortex[0] of[0] sex[0] and[0] drugs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has such a good time that he doesn't want to leave , so he seeks employment as a busboy . 	he has such a good time that he doesn't want to leave , so he seeks employment as a busboy .	2	-1	 he[0] has[0] such[0] a[0] good[1] time[0] that[0] he[0] doesn't[0] want[0] to[0] leave[0] so[0] he[0] seeks[0] employment[0] as[0] a[0] busboy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he quickly becomes friends with greg ( breckin meyer ) and anita ( salma hayek ) , a married couple who work along side of him ; greg's a fellow busboy with aspirations to make the big money as a studio 54 bartender , while anita checks coats but desires a recording contract to call her own . 	he quickly becomes friends with greg ( breckin meyer ) and anita ( salma hayek ) , a married couple who work along side of him ; greg's a fellow busboy with aspirations to make the big money as a studio 54 bartender , while anita checks coats but desires a recording contract to call her own .	2	-1	 he[0] quickly[0] becomes[0] friends[1] with[0] greg[0] breckin[0] meyer[0] and[0] anita[0] salma[0] hayek[0] a[0] married[0] couple[0] who[0] work[0] along[0] side[0] of[0] him[0] greg's[0] a[0] fellow[0] busboy[0] with[0] aspirations[0] to[0] make[0] the[0] big[0] money[0] as[0] a[0] studio[0] 54[0] bartender[0] while[0] anita[0] checks[0] coats[0] but[0] desires[0] a[0] recording[0] contract[0] to[0] call[0] her[0] own[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
