an indian runner was more than a courier . 	Translation	Positive	Negative	EmotionRationale
he * became * the message he was carrying . 	he * became * the message he was carrying .	1	-1	 he[0] became[0] the[0] message[0] he[0] was[0] carrying[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what danger is a bear , to a message ? 	what danger is a bear , to a message ?	1	-2	 what[0] danger[-1] is[0] a[0] bear[0] to[0] a[0] message[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i used to think sean penn was an immature , arrogant , photographer- punching , madonna-marrying , loudmouth . 	i used to think sean pen was an immature , arrogant , photographer- punching , madonna-marrying , loudmouth .	1	-3	 i[0] used[0] to[0] think[0] sean[0] penn/pen[0] was[0] an[0] immature[-1] arrogant[-2] photographer[0] punching[-1] madonna[0] marrying[0] loudmouth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but all that has changed now . 	but all that has changed now .	1	-1	 but[0] all[0] that[0] has[0] changed[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the guy has grown up . 	the guy has grown up .	1	-1	 the[0] guy[0] has[0] grown[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and that's not all . 	and that's not all .	1	-1	 and[0] that's[0] not[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it seems that sean penn has talents both as a writer and a director , if this film is any indication . 	it seems that sean pen has talents both as a writer and a director , if this film is any indication .	2	-1	 it[0] seems[0] that[0] sean[0] penn/pen[0] has[0] talents[1] both[0] as[0] a[0] writer[0] and[0] a[0] director[0] if[0] this[0] film[0] is[0] any[0] indication[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one might imagine a movie with plenty of ruthless rage and showy machismo , given penn in charge of bronson and and hopper . 	one might imagine a movie with plenty of ruthless rage and showy machismo , given pen in charge of bronson and and hopper .	1	-5	 one[0] might[0] imagine[0] a[0] movie[0] with[0] plenty[0] of[0] ruthless[-2] rage[-3][-1 MultiplePositiveWords] and[0] showy[0] machismo[0] given[0] penn/pen[0] in[0] charge[-1] of[0] bronson[0] and[0] and[0] hopper[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
but , no . 	but , no .	1	-1	 but[0] no[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film is about a real struggle , and the victories and defeats are not simple . 	this film is about a real struggle , and the victories and defeats are not simple .	1	-2	 this[0] film[0] is[0] about[0] a[0] real[0] struggle[-1] and[0] the[0] victories[0] and[0] defeats[0] are[0] not[0] simple[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
penn lets the story unfold at a pace dictated by the lives of the characters , without unnecessary rush or flash . 	pen lets the story unfold at a pace dictated by the lives of the characters , without unnecessary rush or flash .	1	-2	 penn/pen[0] lets[0] the[0] story[0] unfold[0] at[0] a[0] pace[0] dictated[0] by[0] the[0] lives[0] of[0] the[0] characters[0] without[0] unnecessary[-1] rush[0] or[0] flash[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the focus of the story is two brothers . 	the focus of the story is two brothers .	1	-1	 the[0] focus[0] of[0] the[0] story[0] is[0] two[0] brothers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
david morse is the brother who has grown up in the small midwestern town in which they were raised , tending a failing farm and finally becoming a police officer . 	david morse is the brother who has grown up in the small midwestern town in which they were raised , tending a failing farm and finally becoming a police officer .	1	-3	 david[0] morse[0] is[0] the[0] brother[0] who[0] has[0] grown[0] up[0] in[0] the[0] small[0] midwestern[0] town[0] in[0] which[0] they[0] were[0] raised[0] tending[0] a[0] failing[-2] farm[0] and[0] finally[0] becoming[0] a[0] police[0] officer[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
viggo mortensen is the wild brother , whose wild behavior seems to be a reaction to some ancient pain that he can't name , much less resolve . 	viggo mortensen is the wild brother , whose wild behavior seems to be a reaction to some ancient pain that he can't name , much less resolve .	2	-4	 viggo[0] mortensen[0] is[0] the[0] wild[0] brother[0] whose[0] wild[0] behavior[0] seems[0] to[0] be[0] a[0] reaction[0] to[0] some[0] ancient[0] pain[-3] that[0] he[0] can't[0] name[0] much[0] less[0] resolve[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
