i rented this movie with very high hopes . 	Translation	Positive	Negative	EmotionRationale
this movie got praise as one of the best films of 1998 , and unfortunately , was not as good as i hoped , but was still very intriguing and thought provoking . 	this movie got praise as one of the best films of 1998 , and unfortunately , was not as good as i hoped , but was still very intriguing and thought provoking .	3	-2	 this[0] movie[0] got[0] praise[2] as[0] one[0] of[0] the[0] best[1] films[0] of[0] 1998[0] and[0] unfortunately[-1] was[0] not[0] as[0] good[1][NegatedDueToPreviousWord] as[0] i[0] hoped[1] but[0] was[0] still[0] very[0] intriguing[0] and[0] thought[0] provoking[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
first of all , the casting for this film is great . 	first of all , the casting for this film is great .	3	-1	 first[0] of[0] all[0] the[0] casting[0] for[0] this[0] film[0] is[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
tobey maguire and reese witherspoon are the future of hollywood . 	tobey maguire and reese witherspoon are the future of hollywood .	1	-1	 tobey[0] maguire[0] and[0] reese[0] witherspoon[0] are[0] the[0] future[0] of[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they play their roles as the parker brother and sister perfectly . 	they play their roles as the parker brother and sister perfectly .	2	-1	 they[0] play[0] their[0] roles[0] as[0] the[0] parker[0] brother[0] and[0] sister[0] perfectly[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with a plot as unbelievable as this film , you need chemistry and honest acting from your cast . 	with a plot as unbelievable as this film , you need chemistry and honest acting from your cast .	1	-2	 with[0] a[0] plot[0] as[0] unbelievable[-1] as[0] this[0] film[0] you[0] need[0] chemistry[0] and[0] honest[0] acting[0] from[0] your[0] cast[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
tobey and reese ( bud and mary sue parker ) play their roles perfectly and display their characters with honesty and believability . 	tobey and reese ( bud and mary sue parker ) play their roles perfectly and display their characters with honesty and believability .	2	-1	 tobey[0] and[0] reese[0] bud[0] and[0] mary[0] sue[0] parker[0] play[0] their[0] roles[0] perfectly[1] and[0] display[0] their[0] characters[0] with[0] honesty[1] and[0] believability[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
william h . macy , an actor i have grown to love over the past year , turns in another great performance as the tv dad who is torn over his wife , a " colored " person and his friends , the " non-colored " ones . 	william h .<br> macy , an actor i have grown to love over the past year , turns in another great performance as the tv dad who is torn over his wife , a " colored " person and his friends , the " non-colored " ones .	3	-1	 william[0] h[0] [[Sentence=-1,1=word max, 1-5]] macy[0] an[0] actor[0] i[0] have[0] grown[0] to[0] love[2] over[0] the[0] past[0] year[0] turns[0] in[0] another[0] great[2] performance[0] as[0] the[0] tv[0] dad[0] who[0] is[0] torn[0] over[0] his[0] wife[0] a[0] colored[0] person[0] and[0] his[0] friends[1] the[0] non[0] colored[0] ones[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he also displays believability and must display a certain lack of chemistry with his wife . 	he also displays believability and must display a certain lack of chemistry with his wife .	1	-2	 he[0] also[0] displays[0] believability[0] and[0] must[0] display[0] a[0] certain[0] lack[-1] of[0] chemistry[0] with[0] his[0] wife[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he does this perfectly and yet again shows why he should be one of the top actors in hollywood . 	he does this perfectly and yet again shows why he should be one of the top actors in hollywood .	2	-1	 he[0] does[0] this[0] perfectly[1] and[0] yet[0] again[0] shows[0] why[0] he[0] should[0] be[0] one[0] of[0] the[0] top[0] actors[0] in[0] hollywood[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
joan allen is equally great as betty parker , the ideal tv mom . 	joan allen is equally great as betty parker , the ideal tv mom .	3	-1	 joan[0] allen[0] is[0] equally[0] great[2] as[0] betty[0] parker[0] the[0] ideal[0] tv[0] mom[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
