plot : during a 10-week span in london in the fall of 1888 , jack the ripper , a man whose identity was never uncovered , committed five ritualistic , grisly murders of prostitutes . 	Translation	Positive	Negative	EmotionRationale
this film is based on the graphic novel which assembled a theory behind the century-old mystery . 	this film is based on the graphic novel which assembled a theory behind the century-old mystery .	1	-1	 this[0] film[0] is[0] based[0] on[0] the[0] graphic[0] novel[0] which[0] assembled[0] a[0] theory[0] behind[0] the[0] century[0] old[0] mystery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
critique : awesome ! 	critique : awesome !	3	-1	 critique[0] awesome[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i love dark movies , i love stylish movies , i love good mysteries and i love johnny depp . . . so 	i love dark movies , i love stylish movies , i love good mysteries and i love johnny dep .<br> .<br> .<br> so	3	-1	 i[0] love[2] dark[0] movies[0] i[0] love[2] stylish[0] movies[0] i[0] love[2] good[1] mysteries[0] and[0] i[0] love[2] johnny[0] depp/dep[0] [[Sentence=-1,3=word max, 1-5]] so[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
yes , i really dug this movie ! 	yes , i really dug this movie !	1	-1	 yes[0] i[0] really[0] dug[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the hughes brothers are back with a vengeance , out to show the world that they are directors to be taken seriously , and this movie , my friends . . . is 	the hughes brothers are back with a vengeance , out to show the world that they are directors to be taken seriously , and this movie , my friends .<br> .<br> .<br> is	2	-3	 the[0] hughes[0] brothers[0] are[0] back[0] with[0] a[0] vengeance[-2] out[0] to[0] show[0] the[0] world[0] that[0] they[0] are[0] directors[0] to[0] be[0] taken[0] seriously[0] and[0] this[0] movie[0] my[0] friends[1] [[Sentence=-3,2=word max, 1-5]] is[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
very serious ! 	very serious !	1	-3	 very[0] serious[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in fact , it's also very gruesome and bloody and morbid and creepy and black as hell . 	in fact , it's also very gruesome and bloody and morbid and creepy and black as hell .	1	-2	 in[0] fact[0] it's[0] also[0] very[0] gruesome[0] and[0] bloody[-1] and[0] morbid[0] and[0] creepy[0] and[0] black[0] as[0] hell[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it ain't for the kids , i'll tell you that much . 	it ain't for the kids , i'll tell you that much .	1	-1	 it[0] ain't[0] for[0] the[0] kids[0] i'll[0] tell[0] you[0] that[0] much[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and if any of those recent hack directors of two-bit scream-esque slasher flicks want some advice on effective " kill scenes " , do not look any further , because each one committed to this film is a cinematic stunner , especially when compared to their generic slice-and-dice contrivances . 	and if any of those recent hack directors of two-bit scream-esque slasher flicks want some advice on effective " kill scenes " , do not look any further , because each one committed to this film is a cinematic stunner , especially when compared to their generic slice-and-dice contrivances .	1	-4	 and[0] if[0] any[0] of[0] those[0] recent[0] hack[-1] directors[0] of[0] two[0] bit[0] scream[-3] esque[0] slasher[-1] flicks[0] want[0] some[0] advice[0] on[0] effective[0] kill[-1] scenes[0] do[0] not[0] look[0] any[0] further[0] because[0] each[0] one[0] committed[0] to[0] this[0] film[0] is[0] a[0] cinematic[0] stunner[0] especially[0] when[0] compared[0] to[0] their[0] generic[0] slice[0] and[0] dice[0] contrivances[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in fact , most of this film's structure is very creative , the actors , all solid , the atmosphere and " feel " of the picture , remarkably real ( gotta love those " unfortunates " ) , and the descent into darkness , well honed by the filmmakers . 	in fact , most of this film's structure is very creative , the actors , all solid , the atmosphere and " feel " of the picture , remarkably real ( gotta love those " unfortunates " ) , and the descent into darkness , well honed by the filmmakers .	3	-2	 in[0] fact[0] most[0] of[0] this[0] film's[0] structure[0] is[0] very[0] creative[0] the[0] actors[0] all[0] solid[0] the[0] atmosphere[0] and[0] feel[0] of[0] the[0] picture[0] remarkably[0] real[0] gotta[0] love[2] those[0] unfortunates[-1] and[0] the[0] descent[0] into[0] darkness[0] well[0] honed[0] by[0] the[0] filmmakers[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
you can almost taste the seediness off the screen and quickly come to appreciate the politics of the time . 	you can almost taste the seediness off the screen and quickly come to appreciate the politics of the time .	2	-1	 you[0] can[0] almost[0] taste[0] the[0] seediness[0] off[0] the[0] screen[0] and[0] quickly[0] come[0] to[0] appreciate[1] the[0] politics[0] of[0] the[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but it's also an impressive mystery film , based on the true-life tale of jack the ripper , a man whose identity was never discovered . 	but it's also an impressive mystery film , based on the true-life tale of jack the ripper , a man whose identity was never discovered .	2	-1	 but[0] it's[0] also[0] an[0] impressive[1] mystery[0] film[0] based[0] on[0] the[0] true[1] life[0] tale[0] of[0] jack[0] the[0] ripper[0] a[0] man[0] whose[0] identity[0] was[0] never[0] discovered[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the theory in this film is based on the graphic novel " from hell " written by alan moore and presents a compelling story , which despite being a little oliver stone-ish , did manage to tie up all of its loose ends quite nicely , and present us with an entertaining bowl of mayhem , sexual depravity , drug usage , insanity , murders and love ? 	the theory in this film is based on the graphic novel " from hell " written by alan more and presents a compelling story , which despite being a little oliver stone-ish , did manage to tie up all of its loose ends quite nicely , and present us with an entertaining bowl of mayhem , sexual depravity , drug usage , insanity , murders and love ?	3	-4	 the[0] theory[0] in[0] this[0] film[0] is[0] based[0] on[0] the[0] graphic[0] novel[0] from[0] hell[-1] written[0] by[0] alan[0] moore/more[0] and[0] presents[0] a[0] compelling[0] story[0] which[0] despite[0] being[0] a[0] little[0] oliver[0] stone[0] ish[0] did[0] manage[0] to[0] tie[0] up[0] all[0] of[0] its[0] loose[0] ends[0] quite[0] nicely[1] and[0] present[0] us[0] with[0] an[0] entertaining[0] bowl[0] of[0] mayhem[0] sexual[0] depravity[-3] drug[0] usage[0] insanity[0] murders[-3] and[0] love[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
yes , the brothers even managed to slip a little " love " story in here , and despite not truly being developed , i guess it could've been much worse and taken up more time than was provided already . 	yes , the brothers even managed to slip a little " love " story in here , and despite not truly being developed , i guess it could've been much worse and taken up more time than was provided already .	3	-3	 yes[0] the[0] brothers[0] even[0] managed[0] to[0] slip[0] a[0] little[0] love[2] story[0] in[0] here[0] and[0] despite[0] not[0] truly[1][NegatedDueToPreviousWord] being[0] developed[0] i[0] guess[0] it[0] could've[0] been[0] much[0] worse[-2] and[0] taken[0] up[0] more[0] time[0] than[0] was[0] provided[0] already[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
that's right , there's no real need to put any " romance " in a film about a mass murderer ! 	that's right , there's no real need to put any " romance " in a film about a mass murderer !	4	-4	 that's[0] right[0] there's[0] no[0] real[0] need[0] to[0] put[0] any[0] romance[3] in[0] a[0] film[0] about[0] a[0] mass[0] murderer[-3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
but that aside , you gotta give up the props to actor extraordinaire johnny depp , who once again possesses the strength in character and flawless acting abilities , to center this movie all the way through . 	but that aside , you gotta give up the props to actor extraordinaire johnny dep , who once again possesses the strength in character and flawless acting abilities , to center this movie all the way through .	2	-1	 but[0] that[0] aside[0] you[0] gotta[0] give[0] up[0] the[0] props[0] to[0] actor[0] extraordinaire[0] johnny[0] depp/dep[0] who[0] once[0] again[0] possesses[0] the[0] strength[0] in[0] character[0] and[0] flawless[1] acting[0] abilities[0] to[0] center[0] this[0] movie[0] all[0] the[0] way[0] through[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sure , he's just playing a less goofier version of his ichabod crane character from sleepy hollow , but he does it so well and even added a michael caine accent to his mixed bag of tricks in this one . 	sure , he's just playing a less goofier version of his ichabod crane character from sleepy hollow , but he does it so well and even added a michael caine accent to his mixed bag of tricks in this one .	1	-2	 sure[0] he's[0] just[0] playing[1][-1 LastWordBoosterStrength] a[0] less[0] goofier[0] version[0] of[0] his[0] ichabod[0] crane[0] character[0] from[0] sleepy[0] hollow[-1] but[0] he[0] does[0] it[0] so[0] well[0] and[0] even[0] added[0] a[0] michael[0] caine[0] accent[0] to[0] his[0] mixed[0] bag[0] of[0] tricks[-1] in[0] this[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i was also surprised at how little heather graham annoyed me in this film ( i was sure that her presence would ruin this movie , but she was fine ) and how little the dreams/fantasies of depp's character had to do with the film's development ( from what i had seen in the trailer , i thought the filmmakers were going to make this the crux of the story , but thankfully , it wasn't ) . 	i was also surprised at how little heather graham annoyed me in this film ( i was sure that her presence would ruin this movie , but she was fine ) and how little the dreams/fantasies of depp's character had to do with the film's development ( from what i had seen in the trailer , i thought the filmmakers were going to make this the crux of the story , but thankfully , it wasn't ) .	3	-3	 i[0] was[0] also[0] surprised[0] at[0] how[0] little[0] heather[0] graham[0] annoyed[-2] me[0] in[0] this[0] film[0] i[0] was[0] sure[0] that[0] her[0] presence[0] would[0] ruin[-1][--1 LastWordBoosterStrength] this[0] movie[0] but[0] she[0] was[0] fine[2] and[0] how[0] little[0] the[0] dreams/fantasies[0] of[0] depp's[0] character[0] had[0] to[0] do[0] with[0] the[0] film's[0] development[0] from[0] what[0] i[0] had[0] seen[0] in[0] the[0] trailer[0] i[0] thought[0] the[0] filmmakers[0] were[0] going[0] to[0] make[0] this[0] the[0] crux[0] of[0] the[0] story[0] but[0] thankfully[1] it[0] wasn't[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
on the downside , the film doesn't really explain the whole freemasons cult organization real well and lacks character development . 	on the downside , the film doesn't really explain the whole freemasons cult organization real well and lacks character development .	1	-1	 on[0] the[0] downside[0] the[0] film[0] doesn't[0] really[0] explain[0] the[0] whole[0] freemasons[0] cult[0] organization[0] real[0] well[0] and[0] lacks[0] character[0] development[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but then again , a story about the most mysterious serial killer of all-time is probably not the ideal spot for character refinement . 	but then again , a story about the most mysterious serial killer of all-time is probably not the ideal spot for character refinement .	1	-2	 but[0] then[0] again[0] a[0] story[0] about[0] the[0] most[0] mysterious[0] serial[0] killer[-1] of[0] all[0] time[0] is[0] probably[0] not[0] the[0] ideal[0] spot[0] for[0] character[0] refinement[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i mean , the less i knew about each person , the more suspicious i became of each one's motives , reasons , etc . . . 	i mean , the less i knew about each person , the more suspicious i became of each one's motives , reasons , etc .<br> .<br> .	1	-2	 i[0] mean[0] the[0] less[0] i[0] knew[0] about[0] each[0] person[0] the[0] more[0] suspicious[-1] i[0] became[0] of[0] each[0] one's[0] motives[0] reasons[0] etc[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , i was actually quite surprised by who was presented as the killer in the end , and that was in part , due to the distance to which i'd been held from the film's characters . . . or 	in fact , i was actually quite surprised by who was presented as the killer in the end , and that was in part , due to the distance to which i'd been held from the film's characters .<br> .<br> .<br> or	1	-2	 in[0] fact[0] i[0] was[0] actually[0] quite[0] surprised[0] by[0] who[0] was[0] presented[0] as[0] the[0] killer[-1] in[0] the[0] end[0] and[0] that[0] was[0] in[0] part[0] due[0] to[0] the[0] distance[0] to[0] which[0] i'd[0] been[0] held[0] from[0] the[0] film's[0] characters[0] [[Sentence=-2,1=word max, 1-5]] or[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
am i giving the filmmakers too much credit for something that might not have been their intention ? 	am i giving the filmmakers too much credit for something that might not have been their intention ?	1	-1	 am[0] i[0] giving[0] the[0] filmmakers[0] too[0] much[0] credit[0] for[0] something[0] that[0] might[0] not[0] have[0] been[0] their[0] intention[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps . 	perhaps .	1	-1	 perhaps[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
overall , this is an extremely creepy production , with glorious cinematography ( reminiscent of coppola's dracula and burton's sleepy hollow ) , a grim score and solid acting . 	overall , this is an extremely creepy production , with glorious cinematography ( reminiscent of coppola's dracula and burton's sleepy hollow ) , a grim score and solid acting .	2	-3	 overall[0] this[0] is[0] an[0] extremely[0] creepy[0] production[0] with[0] glorious[1] cinematography[0] reminiscent[0] of[0] coppola's[0] dracula[0] and[0] burton's[0] sleepy[0] hollow[-1] a[0] grim[-2] score[0] and[0] solid[0] acting[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but it's not for everyone . 	but it's not for everyone .	1	-1	 but[0] it's[0] not[0] for[0] everyone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some may be utterly repulsed by the gory particulars of these tragic events , and even though the murders aren't shown as graphically as you might think , there's enough here to send the squeamish right out the doors . 	some may be utterly repulsed by the gory particulars of these tragic events , and even though the murders aren't shown as graphically as you might think , there's enough here to send the squeamish right out the doors .	1	-4	 some[0] may[0] be[0] utterly[0] repulsed[0] by[0] the[0] gory[0] particulars[0] of[0] these[0] tragic[-2] events[0] and[0] even[0] though[0] the[0] murders[-3] aren't[0] shown[0] as[0] graphically[0] as[0] you[0] might[0] think[0] there's[0] enough[0] here[0] to[0] send[0] the[0] squeamish[0] right[0] out[0] the[0] doors[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
