clue is an unfairly ignored comedy , very similar to 1976's murder by death . 	Translation	Positive	Negative	EmotionRationale
this big screen version of the classic board game ( what's next . . . 	this big screen version of the classic board game ( what's next .<br> .<br> .	1	-1	 this[0] big[0] screen[0] version[0] of[0] the[0] classic[0] board[0] game[0] what's[0] next[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chutes and ladders : the motion picture ? ) is filled with slapstick antics and silly dialogue . 	chutes and ladders : the motion picture ?<br> ) is filled with slapstick antics and silly dialogue .	1	-2	 chutes[0] and[0] ladders[0] the[0] motion[0] picture[0] [[Sentence=-1,1=word max, 1-5]] is[0] filled[0] with[0] slapstick[-1] antics[0] and[0] silly[-1] dialogue[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot , for what it's worth , has all the characters from the game ( in this case , the names from the game are used as aliases ) meeting in an isolated mansion to confront mr . boddy ( lee ving ) , the man who's been blackmailing them all . 	the plot , for what it's worth , has all the characters from the game ( in this case , the names from the game are used as aliases ) meeting in an isolated mansion to confront mr .<br> body ( lee ving ) , the man who's been blackmailing them all .	1	-3	 the[0] plot[0] for[0] what[0] it's[0] worth[0] has[0] all[0] the[0] characters[0] from[0] the[0] game[0] in[0] this[0] case[0] the[0] names[0] from[0] the[0] game[0] are[0] used[0] as[0] aliases[0] meeting[0] in[0] an[0] isolated[-1] mansion[0] to[0] confront[-2] mr[0] [[Sentence=-3,1=word max, 1-5]] boddy/body[0] lee[0] ving[0] the[0] man[0] who's[0] been[0] blackmailing[-2] them[0] all[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when he turns up dead , everyone ( including the audience ) must figure out whodunnit . . . 	when he turns up dead , everyone ( including the audience ) must figure out whodunnit .<br> .<br> .	1	-3	 when[0] he[0] turns[0] up[0] dead[-2] everyone[0] including[0] the[0] audience[0] must[0] figure[0] out[0] whodunnit[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and in what room , and with what object . 	and in what room , and with what object .	1	-1	 and[0] in[0] what[0] room[0] and[0] with[0] what[0] object[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while not as witty as neil simon's murder by death , clue definitely has it moments . 	while not as witty as neil simon's murder by death , clue definitely has it moments .	1	-4	 while[0] not[0] as[0] witty[0] as[0] neil[0] simon's[0] murder[-3] by[0] death[-2] clue[0] definitely[0] has[0] it[0] moments[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it has so many moments in fact that i use a lot of the lines from the film when i'm joking around with my friends . 	it has so many moments in fact that i use a lot of the lines from the film when i'm joking around with my friends .	3	-1	 it[0] has[0] so[0] many[0] moments[0] in[0] fact[0] that[0] i[0] use[0] a[0] lot[0] of[0] the[0] lines[0] from[0] the[0] film[0] when[0] i'm[0] joking[2] around[0] with[0] my[0] friends[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
to this day , whenever someone says the phrase " well , to make a long story short " i have the follow up phrase " too late " ready to go . 	to this day , whenever someone says the phrase " well , to make a long story short " i have the follow up phrase " too late " ready to go .	1	-1	 to[0] this[0] day[0] whenever[0] someone[0] says[0] the[0] phrase[0] well[0] to[0] make[0] a[0] long[0] story[0] short[0] i[0] have[0] the[0] follow[0] up[0] phrase[0] too[0] late[0] ready[0] to[0] go[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cast ( all very good comedic talents ) play well off one another , while the late madeline kahn ( as the dark and sultry mrs . white ) sometimes steals the film away from the rest . 	the cast ( all very good comedic talents ) play well off one another , while the late madeline kahn ( as the dark and sultry mrs .<br> white ) sometimes steals the film away from the rest .	3	-2	 the[0] cast[0] all[0] very[0] good[1][1 LastWordBoosterStrength] comedic[0] talents[1] play[0] well[0] off[0] one[0] another[0] while[0] the[0] late[0] madeline[0] kahn[0] as[0] the[0] dark[0] and[0] sultry[0] mrs[0] [[Sentence=-1,3=word max, 1-5]] white[0] sometimes[0] steals[-2][--1 LastWordBoosterStrength] the[0] film[0] away[0] from[0] the[0] rest[0] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
and colleen camp , as the french maid yvette , displays some of her natural talents as well . 	and colleen camp , as the french maid yvette , displays some of her natural talents as well .	2	-1	 and[0] colleen[0] camp[0] as[0] the[0] french[0] maid[0] yvette[0] displays[0] some[0] of[0] her[0] natural[0] talents[1] as[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
clue is available on dvd from paramount home video . 	clue is available on dvd from paramount home video .	1	-1	 clue[0] is[0] available[0] on[0] dvd[0] from[0] paramount[0] home[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it includes the film in its original theatrical aspect ratio of 1 . 85 : 1 ( and is enhanced for 16x9 televisions ) and features the original theatrical trailer . 	it includes the film in its original theatrical aspect ratio of 1 .<br> 85 : 1 ( and is enhanced for 16x9 televisions ) and features the original theatrical trailer .	1	-1	 it[0] includes[0] the[0] film[0] in[0] its[0] original[0] theatrical[0] aspect[0] ratio[0] of[0] 1[0] [[Sentence=-1,1=word max, 1-5]] 85[0] 1[0] and[0] is[0] enhanced[0] for[0] 16x9[0] televisions[0] and[0] features[0] the[0] original[0] theatrical[0] trailer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a french language audio track is also available . 	a french language audio track is also available .	1	-1	 a[0] french[0] language[0] audio[0] track[0] is[0] also[0] available[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the trailer holds up well considering most previews from that time do not , and it even includes a scene not in the film itself ( a scene that should have been in the film , as it's a good joke ) . 	the trailer holds up well considering most previews from that time do not , and it even includes a scene not in the film itself ( a scene that should have been in the film , as it's a good joke ) .	2	-1	 the[0] trailer[0] holds[0] up[0] well[0] considering[0] most[0] previews[0] from[0] that[0] time[0] do[0] not[0] and[0] it[0] even[0] includes[0] a[0] scene[0] not[0] in[0] the[0] film[0] itself[0] a[0] scene[0] that[0] should[0] have[0] been[0] in[0] the[0] film[0] as[0] it's[0] a[0] good[1] joke[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
