fritz lang's first american film since leaving nazi germany , is an eye-opener about a lynch mob in a small town . 	Translation	Positive	Negative	EmotionRationale
joe wilson ( spencer tracy ) is a regular joe , a hard-working stiff , a decent guy , who is living with his two brothers , tom ( walcott ) and charlie ( albertson ) , in chicago . 	joe wilson ( spencer tracy ) is a regular joe , a hard-working stiff , a decent guy , who is living with his two brothers , tom ( walcott ) and charlie ( albertson ) , in chicago .	1	-1	 joe[0] wilson[0] spencer[0] tracy[0] is[0] a[0] regular[0] joe[0] a[0] hard[0] working[0] stiff[0] a[0] decent[0] guy[0] who[0] is[0] living[0] with[0] his[0] two[0] brothers[0] tom[0] walcott[0] and[0] charlie[0] albertson[0] in[0] chicago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is engaged to katherine grant ( sylvia sidney ) , but can't save up enough money to marry her . 	he is engaged to katherine grant ( sylvia sidney ) , but can't save up enough money to marry her .	1	-2	 he[0] is[0] engaged[0] to[0] katherine[0] grant[0] sylvia[0] sidney[0] but[0] can't[0] save[1][NegatedDueToPreviousWord] up[0] enough[0] money[0] to[0] marry[0] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she takes the train west for a better paying job as a teacher . 	she takes the train west for a better paying job as a teacher .	1	-1	 she[0] takes[0] the[0] train[0] west[0] for[0] a[0] better[0] paying[0] job[0] as[0] a[0] teacher[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
before she departs , she gives him the wedding ring her father gave to her mother , sews up his ripped trench coat , corrects him when he mistakingly says the wrong word for memento , and kisses him goodbye . 	before she departs , she gives him the wedding ring her father gave to her mother , sews up his ripped trench coat , corrects him when he mistakingly says the wrong word for memento , and kisses him goodbye .	3	-2	 before[0] she[0] departs[0] she[0] gives[0] him[0] the[0] wedding[0] ring[0] her[0] father[0] gave[0] to[0] her[0] mother[0] sews[0] up[0] his[0] ripped[0] trench[0] coat[0] corrects[0] him[0] when[0] he[0] mistakingly[-1] says[0] the[0] wrong[-1] word[0] for[0] memento[0] and[0] kisses[2] him[0] goodbye[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
a year goes by and joe buys a car and tells katherine that he will meet her to get married in capitol city , that he has quit his job and hopes to open a gas station . 	a year goes by and joe buys a car and tells katherine that he will meet her to get married in capitol city , that he has quit his job and hopes to open a gas station .	2	-2	 a[0] year[0] goes[0] by[0] and[0] joe[0] buys[0] a[0] car[0] and[0] tells[0] katherine[0] that[0] he[0] will[0] meet[0] her[0] to[0] get[0] married[0] in[0] capitol[0] city[0] that[0] he[0] has[0] quit[-1] his[0] job[0] and[0] hopes[1] to[0] open[0] a[0] gas[0] station[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
driving through the rural backroads and camping out at night while going to met her , he arrives at a near-by town called strand . 	driving through the rural backroads and camping out at night while going to met her , he arrives at a near-by town called strand .	1	-1	 driving[0] through[0] the[0] rural[0] backroads[0] and[0] camping[0] out[0] at[0] night[0] while[0] going[0] to[0] met[0] her[0] he[0] arrives[0] at[0] a[0] near[0] by[0] town[0] called[0] strand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the deputy sheriff " buggs " meyers ( walter brennan ) comes upon him waving a shotgun and arrests him . 	but the deputy sheriff " bugs " meyers ( walter brennan ) comes upon him waving a shotgun and arrests him .	1	-1	 but[0] the[0] deputy[0] sheriff[0] buggs/bugs[0] meyers[0] walter[0] brennan[0] comes[0] upon[0] him[0] waving[0] a[0] shotgun[0] and[0] arrests[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he accuses him of the kidnapping of a little girl . 	he accuses him of the kidnapping of a little girl .	1	-2	 he[0] accuses[-1] him[0] of[0] the[0] kidnapping[0] of[0] a[0] little[0] girl[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the sheriff ( ellis ) finds salted peanuts on him just like the kidnapper had in his pocket , he also has a five dollar bill on him that matches one of the numbers of the ransom money , and he fits the general description of the suspect . 	the sheriff ( ellis ) finds salted peanuts on him just like the kidnapper had in his pocket , he also has a five dollar bill on him that matches one of the numbers of the ransom money , and he fits the general description of the suspect .	1	-2	 the[0] sheriff[0] ellis[0] finds[0] salted[0] peanuts[0] on[0] him[0] just[0] like[1][-1 LastWordBoosterStrength] the[0] kidnapper[0] had[0] in[0] his[0] pocket[0] he[0] also[0] has[0] a[0] five[0] dollar[0] bill[0] on[0] him[0] that[0] matches[0] one[0] of[0] the[0] numbers[0] of[0] the[0] ransom[0] money[0] and[0] he[0] fits[0] the[0] general[0] description[0] of[0] the[0] suspect[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
locked in jail , he waits for the district attorney to look at his claim of innocence . 	locked in jail , he waits for the district attorney to look at his claim of innocence .	2	-2	 locked[0] in[0] jail[-1] he[0] waits[0] for[0] the[0] district[0] attorney[0] to[0] look[0] at[0] his[0] claim[0] of[0] innocence[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
