in the opening shot of midnight cowboy , we see a close-up of a blank movie screen at a drive-in . 	Translation	Positive	Negative	EmotionRationale
we hear in the soundtrack human cries and the stomping of horses' hooves . 	we hear in the soundtrack human cries and the stomping of horses' hooves .	1	-3	 we[0] hear[0] in[0] the[0] soundtrack[0] human[0] cries[-2] and[0] the[0] stomping[0] of[0] horses'[0] hooves[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
without an image projected onto the screen , the audience unerringly identifies the familiar sound of cowboys chasing indians and can spontaneously fill in the blank screen with images of old westerns in our mind's eye . 	without an image projected onto the screen , the audience unerringly identifies the familiar sound of cowboys chasing indians and can spontaneously fill in the blank screen with images of old westerns in our mind's eye .	1	-1	 without[0] an[0] image[0] projected[0] onto[0] the[0] screen[0] the[0] audience[0] unerringly[0] identifies[0] the[0] familiar[0] sound[0] of[0] cowboys[0] chasing[0] indians[0] and[0] can[0] spontaneously[0] fill[0] in[0] the[0] blank[0] screen[0] with[0] images[0] of[0] old[0] westerns[0] in[0] our[0] mind's[0] eye[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even without having seen a cowboys and indians movie , somehow the cliched images of them seem to have found their way into our mental schema . 	even without having seen a cowboys and indians movie , somehow the cliched images of them seem to have found their way into our mental schema .	1	-1	 even[0] without[0] having[0] seen[0] a[0] cowboys[0] and[0] indians[0] movie[0] somehow[0] the[0] cliched[0] images[0] of[0] them[0] seem[0] to[0] have[0] found[0] their[0] way[0] into[0] our[0] mental[0] schema[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but do cowboys really exist , or are they merely hollywood images personified by john wayne and gary cooper ? 	but do cowboys really exist , or are they merely hollywood images personified by john wayne and gary cooper ?	1	-1	 but[0] do[0] cowboys[0] really[0] exist[0] or[0] are[0] they[0] merely[0] hollywood[0] images[0] personified[0] by[0] john[0] wayne[0] and[0] gary[0] cooper[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
exploring this theme , director john schlesinger uses the idea of the cowboy as a metaphor for the american dream , an equally cliched yet ambiguous concept . 	exploring this theme , director john schlesinger uses the idea of the cowboy as a metaphor for the american dream , an equally cliched yet ambiguous concept .	1	-2	 exploring[0] this[0] theme[0] director[0] john[0] schlesinger[0] uses[0] the[0] idea[0] of[0] the[0] cowboy[0] as[0] a[0] metaphor[0] for[0] the[0] american[0] dream[0] an[0] equally[0] cliched[0] yet[0] ambiguous[-1] concept[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
is the ease at which salvation and success can be attained in america a hallmark of its experience or an urban legend ? 	is the ease at which salvation and success can be attained in america a hallmark of its experience or an urban legend ?	3	-1	 is[0] the[0] ease[0] at[0] which[0] salvation[0] and[0] success[2] can[0] be[0] attained[0] in[0] america[0] a[0] hallmark[0] of[0] its[0] experience[0] or[0] an[0] urban[0] legend[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
midnight cowboy suggests that the american dream , like image of the cowboy , is merely a myth . 	midnight cowboy suggests that the american dream , like image of the cowboy , is merely a myth .	2	-1	 midnight[0] cowboy[0] suggests[0] that[0] the[0] american[0] dream[0] like[1] image[0] of[0] the[0] cowboy[0] is[0] merely[0] a[0] myth[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as joe buck migrates from place to place , he finds neither redemption nor reward in his attempt to create a life for himself , only further degeneration . 	as joe buck migrates from place to place , he finds neither redemption nor reward in his attempt to create a life for himself , only further degeneration .	2	-1	 as[0] joe[0] buck[0] migrates[0] from[0] place[0] to[0] place[0] he[0] finds[0] neither[0] redemption[0] nor[0] reward[1] in[0] his[0] attempt[0] to[0] create[0] a[0] life[0] for[0] himself[0] only[0] further[0] degeneration[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
during the opening credits , joe walks past an abandoned theater whose decrepit marquee reads  john wayne : the alamo . ' 	during the opening credits , joe walks past an abandoned theater whose decrepit marquee reads  john wayne : the alamo .<br> '	1	-2	 during[0] the[0] opening[0] credits[0] joe[0] walks[0] past[0] an[0] abandoned[-1] theater[0] whose[0] decrepit[0] marquee[0] reads[0] john[0] wayne[0] the[0] alamo[0] [[Sentence=-2,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
as joe is on the bus listening to a radio talk show , a lady on the air describes her ideal man as  gary cooper ? but he's dead . ' 	as joe is on the bus listening to a radio talk show , a lady on the air describes her ideal man as  gary cooper ?<br> but he's dead .<br> '	1	-3	 as[0] joe[0] is[0] on[0] the[0] bus[0] listening[0] to[0] a[0] radio[0] talk[0] show[0] a[0] lady[0] on[0] the[0] air[0] describes[0] her[0] ideal[0] man[0] as[0] gary[0] cooper[0] [[Sentence=-1,1=word max, 1-5]] but[0] he's[0] dead[-2] [[Sentence=-3,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
