accepting his oscar as producer of this year's best picture winner , saul zaentz remarked that his cup runneth over . 	Translation	Positive	Negative	EmotionRationale
one could almost say the same about his much-prized film . 	one could almost say the same about his much-prized film .	3	-1	 one[0] could[0] almost[0] say[0] the[0] same[0] about[0] his[0] much[0] prized[2] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
rarely is the screen so overflowing with potent imagery , symbolism , ideas and metaphors , complex and literate storytelling , all possessed of an intelligence that invites -- even demands -- constant scrutiny , an acuity of perception and observation that must somehow yield the truth . 	rarely is the screen so overflowing with potent imagery , symbolism , ideas and metaphors , complex and literate storytelling , all possessed of an intelligence that invites - even demands - constant scrutiny , an acuity of perception and observation that must somehow yield the truth .	2	-2	 rarely[0] is[0] the[0] screen[0] so[0] overflowing[-1] with[0] potent[0] imagery[0] symbolism[0] ideas[0] and[0] metaphors[0] complex[0] and[0] literate[0] storytelling[0] all[0] possessed[0] of[0] an[0] intelligence[0] that[0] invites[0] even[0] demands[0] constant[0] scrutiny[0] an[0] acuity[0] of[0] perception[0] and[0] observation[0] that[0] must[0] somehow[0] yield[0] the[0] truth[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in short , the antithesis of all things hollywood . 	in short , the antithesis of all things hollywood .	1	-1	 in[0] short[0] the[0] antithesis[0] of[0] all[0] things[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yet this surfeit of signals is made to serve a rather pale and thinly realized love story whose emotional impact is as dry as a desert wind . 	yet this surfeit of signals is made to serve a rather pale and thinly realized love story whose emotional impact is as dry as a desert wind .	3	-2	 yet[0] this[0] surfeit[0] of[0] signals[0] is[0] made[0] to[0] serve[0] a[0] rather[0] pale[0] and[0] thinly[0] realized[0] love[2] story[0] whose[0] emotional[-1] impact[0] is[0] as[0] dry[0] as[0] a[0] desert[0] wind[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
ralph fiennes is the title character , an amnesiac burn victim whose gradual return to memory , and particularly the memory of love , is the ostensible focus of the film . 	ralph fiennes is the title character , an amnesiac burn victim whose gradual return to memory , and particularly the memory of love , is the ostensible focus of the film .	3	-3	 ralph[0] fiennes[0] is[0] the[0] title[0] character[0] an[0] amnesiac[0] burn[-1] victim[-2] whose[0] gradual[0] return[0] to[0] memory[0] and[0] particularly[0] the[0] memory[0] of[0] love[2] is[0] the[0] ostensible[0] focus[0] of[0] the[0] film[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but despite the use of numerous flashbacks to help put the pieces of this personal puzzle together , we never learn enough about the man to feel much empathy for him . 	but despite the use of numerous flashbacks to help put the pieces of this personal puzle together , we never learn enough about the man to feel much empathy for him .	1	-1	 but[0] despite[0] the[0] use[0] of[0] numerous[0] flashbacks[0] to[0] help[0] put[0] the[0] pieces[0] of[0] this[0] personal[0] puzzle/puzle[0] together[0] we[0] never[0] learn[0] enough[0] about[0] the[0] man[0] to[0] feel[0] much[0] empathy[0] for[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his emotional life before the story begins is an essential clue that remains withheld . 	his emotional life before the story begins is an essential clue that remains witheld .	1	-2	 his[0] emotional[-1] life[0] before[0] the[0] story[0] begins[0] is[0] an[0] essential[0] clue[0] that[0] remains[0] withheld/witheld[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the same can easily be said for every other character in the film , of which there are too many . 	the same can easily be said for every other character in the film , of which there are too many .	1	-1	 the[0] same[0] can[0] easily[0] be[0] said[0] for[0] every[0] other[0] character[0] in[0] the[0] film[0] of[0] which[0] there[0] are[0] too[0] many[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
juliette binoche's nurse comes as close as this film gets to an emotional heart . 	juliette binoche's nurse comes as close as this film gets to an emotional heart .	1	-2	 juliette[0] binoche's[0] nurse[0] comes[0] as[0] close[0] as[0] this[0] film[0] gets[0] to[0] an[0] emotional[-1] heart[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at least we learn early on that she is scarred by the deaths of those close to her , and so we understand why she is eager to escape the company of her comrades in order to seek refuge in the convalescence of a mysterious , disfigured , dying stranger . 	at least we learn early on that she is scarred by the deaths of those close to her , and so we understand why she is eager to escape the company of her comrades in order to seek refuge in the convalescence of a mysterious , disfigured , dying stranger .	1	-3	 at[0] least[0] we[0] learn[0] early[0] on[0] that[0] she[0] is[0] scarred[0] by[0] the[0] deaths[-2] of[0] those[0] close[0] to[0] her[0] and[0] so[0] we[0] understand[0] why[0] she[0] is[0] eager[0] to[0] escape[0] the[0] company[0] of[0] her[0] comrades[0] in[0] order[0] to[0] seek[0] refuge[0] in[0] the[0] convalescence[0] of[0] a[0] mysterious[0] disfigured[0] dying[-1] stranger[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
even this information is imparted so quickly and in such cursory fashion , however , that it verges on the comical . 	even this information is imparted so quickly and in such cursory fashion , however , that it verges on the comical .	1	-2	 even[0] this[0] information[0] is[0] imparted[0] so[0] quickly[0] and[0] in[0] such[0] cursory[-1] fashion[0] however[0] that[0] it[0] verges[0] on[0] the[0] comical[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with so many characters enjoying so little screen time , the film's 160 minutes can be taxing . 	with so many characters enjoying so little screen time , the film's 160 minutes can be taxing .	3	-2	 with[0] so[0] many[0] characters[0] enjoying[2] so[0] little[0] screen[0] time[0] the[0] film's[0] 160[0] minutes[0] can[0] be[0] taxing[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
yet there is something so captivating about the sensibility behind the camera that i couldn't help but feel that greatness was in the air . 	yet there is something so captivating about the sensibility behind the camera that i couldn't help but feel that greatness was in the air .	3	-1	 yet[0] there[0] is[0] something[0] so[0] captivating[0] about[0] the[0] sensibility[0] behind[0] the[0] camera[0] that[0] i[0] couldn't[0] help[0] but[0] feel[0] that[0] greatness[2] was[0] in[0] the[0] air[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
