one of the funniest carry on movies and the third with a medical setting . 	Translation	Positive	Negative	EmotionRationale
the main story is about dr . james nookey ( jim dale ) who is disliked by his superiors , frederick carver , head of the hospital ( kenneth williams ) , and dr . ernest stoppidge ( charles hawtrey ) who seems to dislike everyone . 	the main story is about dr .<br> james nookey ( jim dale ) who is disliked by his superiors , frederick carver , head of the hospital ( kenneth williams ) , and dr .<br> ernest stoppidge ( charles hawtrey ) who seems to dislike everyone .	1	-3	 the[0] main[0] story[0] is[0] about[0] dr[0] [[Sentence=-1,1=word max, 1-5]] james[0] nookey[0] jim[0] dale[0] who[0] is[0] disliked[-2] by[0] his[0] superiors[0] frederick[0] carver[0] head[0] of[0] the[0] hospital[0] kenneth[0] williams[0] and[0] dr[0] [[Sentence=-3,1=word max, 1-5]] ernest[0] stoppidge[0] charles[0] hawtrey[0] who[0] seems[0] to[0] dislike[-2] everyone[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they attempt to cause him as much trouble in the hospital as possible and all the blame is laid on nookey . 	they attempt to cause him as much trouble in the hospital as possible and all the blame is laid on nookey .	1	-2	 they[0] attempt[0] to[0] cause[0] him[0] as[0] much[0] trouble[-1] in[0] the[0] hospital[0] as[0] possible[0] and[0] all[0] the[0] blame[-1] is[0] laid[0] on[0] nookey[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
carver learns of a possible job opportunity from wealthy ellen moore ( joan sims ) on a distant tropical island and gets nookey trannsferred there . 	carver learns of a possible job opportunity from wealthy ellen more ( joan sims ) on a distant tropical island and gets nookey transferred there .	1	-1	 carver[0] learns[0] of[0] a[0] possible[0] job[0] opportunity[0] from[0] wealthy[0] ellen[0] moore/more[0] joan[0] sims[0] on[0] a[0] distant[0] tropical[0] island[0] and[0] gets[0] nookey[0] trannsferred/transferred[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when nookey arrives at this island , he meets gladstone screwer ( sid james ) who has lived on the island just about all his life . 	when nookey arrives at this island , he meets gladstone screwer ( sid james ) who has lived on the island just about all his life .	1	-1	 when[0] nookey[0] arrives[0] at[0] this[0] island[0] he[0] meets[0] gladstone[0] screwer[0] sid[0] james[0] who[0] has[0] lived[0] on[0] the[0] island[0] just[0] about[0] all[0] his[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
screwer is in possession of a wonderful slimming drug made from natural ingredients . 	screwer is in possession of a wonderful slimming drug made from natural ingredients .	3	-1	 screwer[0] is[0] in[0] possession[0] of[0] a[0] wonderful[2] slimming[0] drug[0] made[0] from[0] natural[0] ingredients[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
dr . nookey returns with the drug to england and sets up a new slimming business with ellen moore's financial backing . 	dr .<br> nookey returns with the drug to england and sets up a new slimming business with ellen moore's financial backing .	1	-1	 dr[0] [[Sentence=-1,1=word max, 1-5]] nookey[0] returns[0] with[0] the[0] drug[0] to[0] england[0] and[0] sets[0] up[0] a[0] new[0] slimming[0] business[0] with[0] ellen[0] moore's[0] financial[0] backing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , nookey and moore face opposition from screwer who goes to england to cash in on the drug , and carver and stoppidge who want to know the ingredients to create a rival drug . 	however , nookey and more face opposition from screwer who goes to england to cash in on the drug , and carver and stoppidge who want to know the ingredients to create a rival drug .	1	-2	 however[0] nookey[0] and[0] moore/more[0] face[0] opposition[-1] from[0] screwer[0] who[0] goes[0] to[0] england[0] to[0] cash[0] in[0] on[0] the[0] drug[0] and[0] carver[0] and[0] stoppidge[0] who[0] want[0] to[0] know[0] the[0] ingredients[0] to[0] create[0] a[0] rival[-1] drug[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the performances are all very commendable . 	the performances are all very commendable .	1	-1	 the[0] performances[0] are[0] all[0] very[0] commendable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sid james has a slightly ambiguous character to play this time and he excels in his role . 	sid james has a slightly ambiguous character to play this time and he excels in his role .	3	-1	 sid[0] james[0] has[0] a[0] slightly[0] ambiguous[-1][--1 LastWordBoosterStrength] character[0] to[0] play[0] this[0] time[0] and[0] he[0] excels[2] in[0] his[0] role[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
kenneth williams , as usual , plays the unpopular and cunning head of the hospital . 	kenneth williams , as usual , plays the unpopular and cunning head of the hospital .	2	-2	 kenneth[0] williams[0] as[0] usual[0] plays[1] the[0] unpopular[-1] and[0] cunning[0] head[0] of[0] the[0] hospital[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
