i wish i could say that there is something more to the new star wars installment than what you see in the commercials , but there isn't . 	Translation	Positive	Negative	EmotionRationale
george lucas is an expert at crafting triumphant , special effects-bound flicks and he has done it again . 	george lucas is an expert at crafting triumphant , special effects-bound flicks and he has done it again .	3	-1	 george[0] lucas[0] is[0] an[0] expert[0] at[0] crafting[0] triumphant[2] special[1] effects[0] bound[0] flicks[0] and[0] he[0] has[0] done[0] it[0] again[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is the first star wars film i've seen on the big screen , so , of course , the impact was much greater than when i watched the three original episodes on video . 	this is the first star wars film i've seen on the big screen , so , of course , the impact was much greater than when i watched the three original episodes on video .	3	-3	 this[0] is[0] the[0] first[0] star[0] wars[-2] film[0] i've[0] seen[0] on[0] the[0] big[0] screen[0] so[0] of[0] course[0] the[0] impact[0] was[0] much[0] greater[2] than[0] when[0] i[0] watched[0] the[0] three[0] original[0] episodes[0] on[0] video[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
what is compelling about the phantom menace is not its disposable story , but its amazing visuals . 	what is compelling about the phantom menace is not its disposable story , but its amazing visuals .	3	-3	 what[0] is[0] compelling[0] about[0] the[0] phantom[0] menace[-2] is[0] not[0] its[0] disposable[0] story[0] but[0] its[0] amazing[2] visuals[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
basically , the film's plot is centered around trade disputes between two planets . 	basically , the film's plot is centered around trade disputes between two planets .	1	-1	 basically[0] the[0] film's[0] plot[0] is[0] centered[0] around[0] trade[0] disputes[0] between[0] two[0] planets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
qui-gon ( liam neeson ) and his young apprentice obi-wan kenobi ( ewan mcgregor ) set out with the animated jar-jar binks to fix the mess that may result in war . 	qui-gon ( liam neeson ) and his young apprentice obi-wan kenobi ( ewan mcgregor ) set out with the animated jar-jar binks to fix the mess that may result in war .	1	-3	 qui[0] gon[0] liam[0] neeson[0] and[0] his[0] young[0] apprentice[0] obi[0] wan[0] kenobi[0] ewan[0] mcgregor[0] set[0] out[0] with[0] the[0] animated[0] jar[0] jar[0] binks[0] to[0] fix[0] the[0] mess[0] that[0] may[0] result[0] in[0] war[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when their ship breaks down and they are stranded , they find a young boy , anakin skywalker ( jake lloyd ) and his slave mother . 	when their ship breaks down and they are stranded , they find a young boy , anakin skywalker ( jake lloyd ) and his slave mother .	1	-1	 when[0] their[0] ship[0] breaks[0] down[0] and[0] they[0] are[0] stranded[0] they[0] find[0] a[0] young[0] boy[0] anakin[0] skywalker[0] jake[0] lloyd[0] and[0] his[0] slave[0] mother[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
qui-gon strongly believes that anakin is destined for jedi greatness and immediately takes him under his wing . 	qui-gon strongly believes that anakin is destined for jedi greatness and immediately takes him under his wing .	3	-1	 qui[0] gon[0] strongly[0] believes[0] that[0] anakin[0] is[0] destined[0] for[0] jedi[0] greatness[2] and[0] immediately[0] takes[0] him[0] under[0] his[0] wing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
anakin participates in a heart-pounding podrace , one of the highlights of the film , to get the equipment needed to fix qui-gon's ship . 	anakin participates in a heart-pounding podrace , one of the highlights of the film , to get the equipment needed to fix qui-gon's ship .	1	-1	 anakin[0] participates[0] in[0] a[0] heart[0] pounding[0] podrace[0] one[0] of[0] the[0] highlights[0] of[0] the[0] film[0] to[0] get[0] the[0] equipment[0] needed[0] to[0] fix[0] qui[0] gon's[0] ship[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , most everyone is doubtful about entrusting the future to some unknown slave boy . 	however , most everyone is doubtful about entrusting the future to some unknown slave boy .	1	-2	 however[0] most[0] everyone[0] is[0] doubtful[-1] about[0] entrusting[0] the[0] future[0] to[0] some[0] unknown[0] slave[0] boy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
meanwhile , queen amadala ( natalie portman ) is frustrated and at wit's end , being na ? ve and young and having so much responsibility on her shoulders . 	meanwhile , queen amadala ( natalie portman ) is frustrated and at wit's end , being na ?<br> ve and young and having so much responsibility on her shoulders .	1	-3	 meanwhile[0] queen[0] amadala[0] natalie[0] portman[0] is[0] frustrated[-2] and[0] at[0] wit's[0] end[0] being[0] na[0] [[Sentence=-3,1=word max, 1-5]] ve[0] and[0] young[0] and[0] having[0] so[0] much[0] responsibility[0] on[0] her[0] shoulders[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
