john sayles' " men with guns " is about what happens to a society when brute force and constant threat of violence are the only means of gaining and maintaining power . 	Translation	Positive	Negative	EmotionRationale
the film takes place in an unnamed central american country , where the men with guns are the rulers . 	the film takes place in an unnamed central american country , where the men with guns are the rulers .	1	-2	 the[0] film[0] takes[0] place[0] in[0] an[0] unnamed[0] central[0] american[0] country[0] where[0] the[0] men[0] with[0] guns[-1] are[0] the[0] rulers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
most of the country is divided into tiny segments - some are controlled by guerrillas with guns , some are controlled by army soldiers with guns , and all the spaces in-between are controlled by thieves , bandits , and terrorists . 	most of the country is divided into tiny segments - some are controlled by guerrillas with guns , some are controlled by army soldiers with guns , and all the spaces in-between are controlled by thieves , bandits , and terrorists .	1	-3	 most[0] of[0] the[0] country[0] is[0] divided[0] into[0] tiny[0] segments[0] some[0] are[0] controlled[0] by[0] guerrillas[-1] with[0] guns[-1] some[0] are[0] controlled[0] by[0] army[0] soldiers[0] with[0] guns[-1] and[0] all[0] the[0] spaces[0] in[0] between[0] are[0] controlled[0] by[0] thieves[-1] bandits[-1] and[0] terrorists[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
all people not fitting one of those descriptions are defined only by their powerlessness . 	all people not fitting one of those descriptions are defined only by their powerlessness .	1	-2	 all[0] people[0] not[0] fitting[0] one[0] of[0] those[0] descriptions[0] are[0] defined[0] only[0] by[0] their[0] powerlessness[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , like so many central american countries , this one also features modernity . 	however , like so many central american countries , this one also features modernity .	2	-1	 however[0] like[1] so[0] many[0] central[0] american[0] countries[0] this[0] one[0] also[0] features[0] modernity[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is an unnamed capital city that bears all the hallmarks of contemporary civilization : skyscrapers , hospitals , televisions , highways , etc . but , it might as well be in another country because those who live in the comforts of the city have either decided to ignore the violence ravaging the rest of the land , or else they are simply ignorant of it . 	there is an unnamed capital city that bears all the hallmarks of contemporary civilization : skyscrapers , hospitals , televisions , highways , etc .<br> but , it might as well be in another country because those who live in the comforts of the city have either decided to ignore the violence ravaging the rest of the land , or else they are simply ignorant of it .	2	-4	 there[0] is[0] an[0] unnamed[0] capital[0] city[0] that[0] bears[0] all[0] the[0] hallmarks[0] of[0] contemporary[0] civilization[0] skyscrapers[0] hospitals[0] televisions[0] highways[0] etc[0] [[Sentence=-1,1=word max, 1-5]] but[0] it[0] might[0] as[0] well[0] be[0] in[0] another[0] country[0] because[0] those[0] who[0] live[0] in[0] the[0] comforts[1] of[0] the[0] city[0] have[0] either[0] decided[0] to[0] ignore[0] the[0] violence[-3] ravaging[-1] the[0] rest[0] of[0] the[0] land[0] or[0] else[0] they[0] are[0] simply[0] ignorant[-2] of[0] it[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the film's main character , dr . fuentes ( federico luppi ) falls into the latter category . 	the film's main character , dr .<br> fuentes ( federico luppi ) falls into the latter category .	1	-1	 the[0] film's[0] main[0] character[0] dr[0] [[Sentence=-1,1=word max, 1-5]] fuentes[0] federico[0] luppi[0] falls[0] into[0] the[0] latter[0] category[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of his patients , an army general , describes him as the most educated man he has ever met , and also the most naive . 	one of his patients , an army general , describes him as the most educated man he has ever met , and also the most naive .	1	-2	 one[0] of[0] his[0] patients[0] an[0] army[0] general[0] describes[0] him[0] as[0] the[0] most[0] educated[0] man[0] he[0] has[0] ever[0] met[0] and[0] also[0] the[0] most[0] naive[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fuentes is a true liberal , a caring man who thinks he can cure the ills of his country by fighting bacteria and ignorance among the indigenous indians . 	fuentes is a true liberal , a caring man who thinks he can cure the ills of his country by fighting bacteria and ignorance among the indigenous indians .	3	-3	 fuentes[0] is[0] a[0] true[1] liberal[0] a[0] caring[2] man[0] who[0] thinks[0] he[0] can[0] cure[0] the[0] ills[0] of[0] his[0] country[0] by[0] fighting[-2] bacteria[0] and[0] ignorance[-2] among[0] the[0] indigenous[0] indians[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
with government assistance , he has trained a large group of eager young medical students and sent them into the rainforest to cure and educate . 	with government assistance , he has trained a large group of eager young medical students and sent them into the rainforest to cure and educate .	1	-1	 with[0] government[0] assistance[0] he[0] has[0] trained[0] a[0] large[0] group[0] of[0] eager[0] young[0] medical[0] students[0] and[0] sent[0] them[0] into[0] the[0] rainforest[0] to[0] cure[0] and[0] educate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this program was to be his legacy , and he repeats over and over that it was a good idea . 	this program was to be his legacy , and he repeats over and over that it was a good idea .	2	-1	 this[0] program[0] was[0] to[0] be[0] his[0] legacy[0] and[0] he[0] repeats[0] over[0] and[0] over[0] that[0] it[0] was[0] a[0] good[1] idea[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
