kirk douglas is one of those rare american actors who can say more with a simple glance than most can say with pages of dialogue . 	Translation	Positive	Negative	EmotionRationale
all he has to do is look at someone with a raised eyebrow , and you instantly know what he's thinking . 	all he has to do is look at someone with a raised eyebrow , and you instantly know what he's thinking .	1	-1	 all[0] he[0] has[0] to[0] do[0] is[0] look[0] at[0] someone[0] with[0] a[0] raised[0] eyebrow[0] and[0] you[0] instantly[0] know[0] what[0] he's[0] thinking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " detective story " features one of kirk douglas's finest performances . 	 " detective story " features one of kirk douglas's finest performances .	1	-1	 detective[0] story[0] features[0] one[0] of[0] kirk[0] douglas's[0] finest[0] performances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he stars as a new york detective that has his whole world fall apart in one night . 	he stars as a new york detective that has his whole world fall apart in one night .	1	-1	 he[0] stars[0] as[0] a[0] new[0] york[0] detective[0] that[0] has[0] his[0] whole[0] world[0] fall[0] apart[0] in[0] one[0] night[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is based on a play , and this is quite evident , as most of the movie takes place in the one-room flat that the detective's work in . 	the film is based on a play , and this is quite evident , as most of the movie takes place in the one-room flat that the detective's work in .	1	-1	 the[0] film[0] is[0] based[0] on[0] a[0] play[0] and[0] this[0] is[0] quite[0] evident[0] as[0] most[0] of[0] the[0] movie[0] takes[0] place[0] in[0] the[0] one[0] room[0] flat[0] that[0] the[0] detective's[0] work[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film opens with the douglas character getting ready to go home to his wife , but through a series of events , he never quite makes it there . 	the film opens with the douglas character getting ready to go home to his wife , but through a series of events , he never quite makes it there .	1	-1	 the[0] film[0] opens[0] with[0] the[0] douglas[0] character[0] getting[0] ready[0] to[0] go[0] home[0] to[0] his[0] wife[0] but[0] through[0] a[0] series[0] of[0] events[0] he[0] never[0] quite[0] makes[0] it[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the bulk of the movie follows the case of a man named schneider , a surgeon who routinely performs abortions with a high fatality rate . 	the bulk of the movie follows the case of a man named schneider , a surgeon who routinely performs abortions with a high fatality rate .	1	-3	 the[0] bulk[0] of[0] the[0] movie[0] follows[0] the[0] case[0] of[0] a[0] man[0] named[0] schneider[0] a[0] surgeon[0] who[0] routinely[0] performs[0] abortions[0] with[0] a[0] high[0] fatality[-2] rate[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , this schneider character has a connection in the past of douglas's wife ; a connection douglas himself is not aware of . 	however , this schneider character has a connection in the past of douglas's wife ; a connection douglas himself is not aware of .	1	-1	 however[0] this[0] schneider[0] character[0] has[0] a[0] connection[0] in[0] the[0] past[0] of[0] douglas's[0] wife[0] a[0] connection[0] douglas[0] himself[0] is[0] not[0] aware[0] of[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many secrets are revealed in the last half hour of this film . 	many secrets are revealed in the last half hour of this film .	1	-1	 many[0] secrets[0] are[0] revealed[0] in[0] the[0] last[0] half[0] hour[0] of[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
secrets i would not dream of giving away . 	secrets i would not dream of giving away .	1	-1	 secrets[0] i[0] would[0] not[0] dream[0] of[0] giving[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with a name like " detective story " , one would assume the film would resemble an episode of " nypd blue " , but it doesn't quite work out that way . 	with a name like " detective story " , one would assume the film would resemble an episode of " nypd blue " , but it doesn't quite work out that way .	2	-1	 with[0] a[0] name[0] like[1] detective[0] story[0] one[0] would[0] assume[0] the[0] film[0] would[0] resemble[0] an[0] episode[0] of[0] nypd[0] blue[0] but[0] it[0] doesn't[0] quite[0] work[0] out[0] that[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , we do see douglas at work on a few other cases throughout the running time . 	however , we do see douglas at work on a few other cases throughout the running time .	1	-1	 however[0] we[0] do[0] see[0] douglas[0] at[0] work[0] on[0] a[0] few[0] other[0] cases[0] throughout[0] the[0] running[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lee grant ( virtually unrecognizable ) plays a meek jewish woman arrested for shoplifting . 	lee grant ( virtually unrecognizable ) plays a meek jewish woman arrested for shoplifting .	2	-2	 lee[0] grant[0] virtually[0] unrecognizable[0] plays[1] a[0] meek[-1] jewish[0] woman[0] arrested[0] for[0] shoplifting[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
her scenes with bendix , another detective , provide the movie with a few laughs . 	her scenes with bendix , another detective , provide the movie with a few laughs .	2	-1	 her[0] scenes[0] with[0] bendix[0] another[0] detective[0] provide[0] the[0] movie[0] with[0] a[0] few[0] laughs[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the performances all around are fantastic . 	the performances all around are fantastic .	3	-1	 the[0] performances[0] all[0] around[0] are[0] fantastic[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
