 " very bad things , " is the most delightfully morbid film of the year , a movie that goes so far over the deep end with its outrageousness and violence that i couldn't help but be won over by the material . 	Translation	Positive	Negative	EmotionRationale
the film starts off with five friends leaving their homes in los angeles for a bachelor party in las vegas . 	the film starts off with five friends leaving their homes in los angeles for a bachelor party in las vegas .	2	-1	 the[0] film[0] starts[0] off[0] with[0] five[0] friends[1] leaving[0] their[0] homes[0] in[0] los[0] angeles[0] for[0] a[0] bachelor[0] party[0] in[0] las[0] vegas[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the groom-to-be is kyle fisher ( jon favreau ) , who is about to be married to the controlling , wedding-obsessed laura ( cameron diaz ) . 	the groom-to-be is kyle fisher ( jon favreau ) , who is about to be married to the controlling , wedding-obsessed laura ( cameron diaz ) .	1	-3	 the[0] groom[0] to[0] be[0] is[0] kyle[0] fisher[0] jon[0] favreau[0] who[0] is[0] about[0] to[0] be[0] married[0] to[0] the[0] controlling[0] wedding[0] obsessed[-2] laura[0] cameron[0] diaz[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the other friends are real estate agent robert boyd ( christian slater ) , quiet charles ( leland orser ) , and brothers , michael ( jeremy piven ) and family man adam ( daniel stern ) . 	the other friends are real estate agent robert boyd ( christian slater ) , quiet charles ( leland orser ) , and brothers , michael ( jeremy piven ) and family man adam ( daniel stern ) .	2	-2	 the[0] other[0] friends[1] are[0] real[0] estate[0] agent[0] robert[0] boyd[0] christian[0] slater[0] quiet[0] charles[0] leland[0] orser[0] and[0] brothers[0] michael[0] jeremy[0] piven[0] and[0] family[0] man[0] adam[0] daniel[0] stern[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after a wild night of gambling , boozing , and drugs , a stripper ( carla scott ) who was paid for by robert comes into their hotel room , but after a freak accident , to everyone's terror , she is killed . 	after a wild night of gambling , boozing , and drugs , a stripper ( carla scot ) who was paid for by robert comes into their hotel room , but after a freak accident , to everyone's terror , she is killed .	1	-4	 after[0] a[0] wild[0] night[0] of[0] gambling[0] boozing[0] and[0] drugs[0] a[0] stripper[0] carla[0] scott/scot[0] who[0] was[0] paid[0] for[0] by[0] robert[0] comes[0] into[0] their[0] hotel[0] room[0] but[0] after[0] a[0] freak[-1] accident[-1] to[0] everyone's[0] terror[-1] she[0] is[0] killed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as robert puts it : " there are two options : go to the police and go to prison , or bury her out in the desert where no one will ever find her . " 	as robert puts it : " there are two options : go to the police and go to prison , or bury her out in the desert where no one will ever find her .<br> "	1	-3	 as[0] robert[0] puts[0] it[0] there[0] are[0] two[0] options[0] go[0] to[0] the[0] police[0] and[0] go[0] to[0] prison[-1] or[0] bury[-2] her[0] out[0] in[0] the[0] desert[0] where[0] no[0] one[0] will[0] ever[0] find[0] her[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after a security guard enters into the hotel room unexpectantly and sees the body , robert is forced to kill him as well . 	after a security guard enters into the hotel room unexpectantly and sees the body , robert is forced to kill him as well .	2	-2	 after[0] a[0] security[1] guard[0] enters[0] into[0] the[0] hotel[0] room[0] unexpectantly[0] and[0] sees[0] the[0] body[0] robert[0] is[0] forced[0] to[0] kill[-1] him[0] as[0] well[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " okay , there is only one option now . 	 " okay , there is only one option now .	1	-1	 okay[0] there[0] is[0] only[0] one[0] option[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you can forget about calling the police , " he says . 	you can forget about calling the police , " he says .	1	-1	 you[0] can[0] forget[0] about[0] calling[0] the[0] police[0] he[0] says[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by the time the five friends return home and as the wedding draws nearer , most of them are overcome with guilt , which sets off an even more elaborate series of event , that includes much , much more murder , double-crosses , and the inevitable wedding from hell . 	by the time the five friends return home and as the wedding draws nearer , most of them are overcome with guilt , which sets off an even more elaborate series of event , that includes much , much more murder , double-crosses , and the inevitable wedding from hell .	2	-4	 by[0] the[0] time[0] the[0] five[0] friends[1] return[0] home[0] and[0] as[0] the[0] wedding[0] draws[0] nearer[0] most[0] of[0] them[0] are[0] overcome[0] with[0] guilt[-3] which[0] sets[0] off[0] an[0] even[0] more[0] elaborate[0] series[0] of[0] event[0] that[0] includes[0] much[0] much[0] more[0] murder[-3] double[0] crosses[0] and[0] the[0] inevitable[0] wedding[0] from[0] hell[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 " very bad things , " which is actor peter berg's feature film directing debut , is the shockingly perverse and wicked comedy that , " there's something about mary , " wanted to be . 	 " very bad things , " which is actor peter berg's feature film directing debut , is the shockingly perverse and wicked comedy that , " there's something about mary , " wanted to be .	3	-3	 very[0] bad[-1][-1 LastWordBoosterStrength] things[0] which[0] is[0] actor[0] peter[0] berg's[0] feature[0] film[0] directing[0] debut[0] is[0] the[0] shockingly[-2] perverse[-1] and[0] wicked[2] comedy[0] that[0] there's[0] something[0] about[0] mary[0] wanted[0] to[0] be[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
