the central focus of michael winterbottom's " welcome to sarajevo " is sarajevo itself , the city under siege , and its different effect on the characters unfortunate enough to be stuck there . 	Translation	Positive	Negative	EmotionRationale
it proves the backdrop for a stunningly realized story which refreshingly strays from mythic portents ( " platoon " ) , racial tumultuosness ( the risible " the walking dead " ) or a tinge of schmaltziness ( " schindler's list " ) . 	it proves the backdrop for a stunningly realized story which refreshingly strays from mythic portents ( " platoon " ) , racial tumultuosness ( the risible " the walking dead " ) or a tinge of schmaltziness ( " schindler's list " ) .	1	-3	 it[0] proves[0] the[0] backdrop[0] for[0] a[0] stunningly[0] realized[0] story[0] which[0] refreshingly[0] strays[0] from[0] mythic[0] portents[0] platoon[0] racial[0] tumultuosness[0] the[0] risible[0] the[0] walking[0] dead[-2] or[0] a[0] tinge[0] of[0] schmaltziness[0] schindler's[0] list[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the two leads , stephen dillane as a reporter and emira nusevic as an orphan with a plight few can identify with , are extremely believable ; not one moment with them involved rings false . 	the two leads , stephen dillane as a reporter and emira nusevic as an orphan with a plight few can identify with , are extremely believable ; not one moment with them involved rings false .	1	-2	 the[0] two[0] leads[0] stephen[0] dillane[0] as[0] a[0] reporter[0] and[0] emira[0] nusevic[0] as[0] an[0] orphan[-1] with[0] a[0] plight[-1] few[0] can[0] identify[0] with[0] are[0] extremely[0] believable[0] not[0] one[0] moment[0] with[0] them[0] involved[0] rings[0] false[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the question is not what went right . 	the question is not what went right .	1	-1	 the[0] question[0] is[0] not[0] what[0] went[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the question is what went wrong . 	the question is what went wrong .	1	-2	 the[0] question[0] is[0] what[0] went[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for one , the film fails to provide a political overview of the war as it progresses ( the dillane characters reports an american plane departing from sarajevo as it departs , and that's about it . ) . 	for one , the film fails to provide a political overview of the war as it progresses ( the dillane characters reports an american plane departing from sarajevo as it departs , and that's about it .<br> ) .	1	-3	 for[0] one[0] the[0] film[0] fails[-2] to[0] provide[0] a[0] political[0] overview[0] of[0] the[0] war[-2] as[0] it[0] progresses[0] the[0] dillane[0] characters[0] reports[0] an[0] american[0] plane[0] departing[0] from[0] sarajevo[0] as[0] it[0] departs[0] and[0] that's[0] about[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the assortment of high-profile supporting actors , ranging from woody harrelson as a yankee reporter " into " liquor and cigarrettes to marisa tomei as a huggable children's aid or somesuch are incapable of rising above the sketchiness of their characters , albeit they strive . 	the assortment of high-profile supporting actors , ranging from woody harrelson as a yankee reporter " into " liquor and cigarettes to marisa tomei as a huggable children's aid or somesuch are incapable of rising above the sketchiness of their characters , albeit they strive .	3	-2	 the[0] assortment[0] of[0] high[0] profile[0] supporting[1] actors[0] ranging[0] from[0] woody[0] harrelson[0] as[0] a[0] yankee[0] reporter[0] into[0] liquor[0] and[0] cigarrettes/cigarettes[0] to[0] marisa[0] tomei[0] as[0] a[0] huggable[2] children's[0] aid[0] or[0] somesuch[0] are[0] incapable[-1] of[0] rising[0] above[0] the[0] sketchiness[0] of[0] their[0] characters[0] albeit[0] they[0] strive[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the interrupted use of authentic war footage somewhat hampers the rest of the film , it makes the fictional characters seem powerless by comparison . 	the interrupted use of authentic war footage somewhat hampers the rest of the film , it makes the fictional characters seem powerless by comparison .	1	-3	 the[0] interrupted[-1] use[0] of[0] authentic[0] war[-2] footage[0] somewhat[0] hampers[0] the[0] rest[0] of[0] the[0] film[0] it[0] makes[0] the[0] fictional[0] characters[0] seem[0] powerless[-1] by[0] comparison[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
still , winterbottom eschews mawkishness through flashy , frantic editing and imaginative use of music . 	still , winterbottom eschews mawkishness through flashy , frantic editing and imaginative use of music .	2	-2	 still[0] winterbottom[0] eschews[0] mawkishness[0] through[0] flashy[0] frantic[-1] editing[0] and[0] imaginative[1] use[0] of[0] music[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and it's a plus , because he doesn't toy with our emotions with sentimental blandness . 	and it's a plus , because he doesn't toy with our emotions with sentimental blandness .	3	-1	 and[0] it's[0] a[0] plus[0] because[0] he[0] doesn't[0] toy[0] with[0] our[0] emotions[0] with[0] sentimental[2] blandness[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he wants us to know that in war , no one is victorious . 	he wants us to know that in war , no one is victorious .	1	-3	 he[0] wants[0] us[0] to[0] know[0] that[0] in[0] war[-2] no[0] one[0] is[0] victorious[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the sweet hereafter 	the sweet hereafter	2	-1	 the[0] sweet[1] hereafter[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
starring ian holm , sarah polley , bruce greenwood , tom mccamus , gabrielle rose , arsinee khanjian , alberta watson , maury chaykin , caerthan banks . 	starring ian holm , sarah polley , bruce greenwood , tom mccamus , gabrielle rose , arsinee khanjian , alberta watson , maury chaykin , caerthan banks .	1	-1	 starring[0] ian[0] holm[0] sarah[0] polley[0] bruce[0] greenwood[0] tom[0] mccamus[0] gabrielle[0] rose[0] arsinee[0] khanjian[0] alberta[0] watson[0] maury[0] chaykin[0] caerthan[0] banks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
produced by atom egoyan and camelia frieberg . 	produced by atom egoyan and camelia frieberg .	1	-1	 produced[0] by[0] atom[0] egoyan[0] and[0] camelia[0] frieberg[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
script by atom egoyan ( based on the novel by russell banks ) . 	script by atom egoyan ( based on the novel by russell banks ) .	1	-1	 script[0] by[0] atom[0] egoyan[0] based[0] on[0] the[0] novel[0] by[0] russell[0] banks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
directed by atom egoyan . 	directed by atom egoyan .	1	-1	 directed[0] by[0] atom[0] egoyan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
