he has spent his entire life in an awful little apartment , raised and cared for and imprisoned by his domineering mother . 	Translation	Positive	Negative	EmotionRationale
she inspires his love and his fear , and instills in him a similar love and fear of jesus . 	she inspires his love and his fear , and instills in him a similar love and fear of jesus .	3	-4	 she[0] inspires[2] his[0] love[2] and[0] his[0] fear[-3] and[0] instills[0] in[0] him[0] a[0] similar[0] love[2] and[0] fear[-3] of[0] jesus[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
he has a rudimentary grasp of language , mouthing monosyllables and repetitions of his mother's phrases . 	he has a rudimentary grasp of language , mouthing monosyllables and repetitions of his mother's phrases .	1	-1	 he[0] has[0] a[0] rudimentary[0] grasp[0] of[0] language[0] mouthing[0] monosyllables[0] and[0] repetitions[0] of[0] his[0] mother's[0] phrases[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is taught that the world outside is fatally poisonous ; his mother dons a gasmask whenever she goes out the door . 	he is taught that the world outside is fatally poisonous ; his mother dons a gasmask whenever she goes out the door .	1	-4	 he[0] is[0] taught[0] that[0] the[0] world[0] outside[0] is[0] fatally[-2] poisonous[-2][-1 MultiplePositiveWords] his[0] mother[0] dons[0] a[0] gasmask[0] whenever[0] she[0] goes[0] out[0] the[0] door[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he is 35-years-old in body , but a child in mind and spirit . 	he is 35-years-old in body , but a child in mind and spirit .	1	-1	 he[0] is[0] 35[0] years[0] old[0] in[0] body[0] but[0] a[0] child[0] in[0] mind[0] and[0] spirit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is the premise for bad boy bubby , a defiantly original australian movie about a man called bubby ( nicholas hope ) who has spent his entire life in an awful little apartment , etc . , etc . then one day his father ( ralph cotterill ) appears . 	he is the premise for bad boy bubby , a defiantly original australian movie about a man called bubby ( nicholas hope ) who has spent his entire life in an awful little apartment , etc .<br> , etc .<br> then one day his father ( ralph cotterill ) appears .	3	-4	 he[0] is[0] the[0] premise[0] for[0] bad[-1] boy[0] bubby[0] a[0] defiantly[-1] original[0] australian[0] movie[0] about[0] a[0] man[0] called[0] bubby[0] nicholas[0] hope[2] who[0] has[0] spent[0] his[0] entire[0] life[0] in[0] an[0] awful[-3] little[0] apartment[0] etc[0] [[Sentence=-4,3=word max, 1-5]] etc[0] [[Sentence=-1,1=word max, 1-5]] then[0] one[0] day[0] his[0] father[0] ralph[0] cotterill[0] appears[0] [[Sentence=-1,1=word max, 1-5]][[[3,-4 max of sentences]]]
his father is a shabby down-at-heels priest who appears to have permanently misplaced his religion . 	his father is a shabby down-at-heels priest who appears to have permanently misplaced his religion .	1	-2	 his[0] father[0] is[0] a[0] shabby[-1] down[0] at[0] heels[0] priest[0] who[0] appears[0] to[0] have[0] permanently[0] misplaced[0] his[0] religion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unsurprisingly , he is not thrilled with the way " his " boy has turned out . 	unsurprisingly , he is not thrilled with the way " his " boy has turned out .	1	-4	 unsurprisingly[0] he[0] is[0] not[0] thrilled[3][NegatedDueToPreviousWord] with[0] the[0] way[0] his[0] boy[0] has[0] turned[0] out[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he is , however , rather pleased at renewing his acquaintance with the mother ( claire benito ) , and , more to the point , her ample breasts . 	he is , however , rather pleased at renewing his acquaintance with the mother ( claire benito ) , and , more to the point , her ample breasts .	2	-1	 he[0] is[0] however[0] rather[0] pleased[1] at[0] renewing[0] his[0] acquaintance[0] with[0] the[0] mother[0] claire[0] benito[0] and[0] more[0] to[0] the[0] point[0] her[0] ample[0] breasts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
soon they are copulating on the dingy couch , while bubby crouches , confused , in the next room , acutely aware that the mother who had devoted all her attention to him has a new interest . 	soon they are copulating on the dingy couch , while bubby crouches , confused , in the next room , acutely aware that the mother who had devoted all her attention to him has a new interest .	3	-2	 soon[0] they[0] are[0] copulating[0] on[0] the[0] dingy[0] couch[0] while[0] bubby[0] crouches[0] confused[-1] in[0] the[0] next[0] room[0] acutely[0] aware[0] that[0] the[0] mother[0] who[0] had[0] devoted[2] all[0] her[0] attention[0] to[0] him[0] has[0] a[0] new[0] interest[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
bubby's relationship to the world may be warped , but it is at least stable . 	bubby's relationship to the world may be warped , but it is at least stable .	1	-2	 bubby's[0] relationship[0] to[0] the[0] world[0] may[0] be[0] warped[-1] but[0] it[0] is[0] at[0] least[0] stable[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
