while it was part of former yugoslavia , my country , croatia , used to be almost completely ignored by western films in general . 	Translation	Positive	Negative	EmotionRationale
words " croatia " and " croatians " were unheard , even in movies whose plots actually took place on croatian locations . 	words " croatia " and " croatians " were unheard , even in movies whose plots actually took place on croatian locations .	1	-1	 words[0] croatia[0] and[0] croatians[0] were[0] unheard[0] even[0] in[0] movies[0] whose[0] plots[0] actually[0] took[0] place[0] on[0] croatian[0] locations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the rare exception was the dogs of war , 1980 adaptation of frederick forsyth's bestselling novel , yet that rare occasion only added insult to the injury , by mentioning croatians in most unflattering context . 	the rare exception was the dogs of war , 1980 adaptation of frederick forsyth's bestselling novel , yet that rare occasion only added insult to the injury , by mentioning croatians in most unflattering context .	1	-3	 the[0] rare[0] exception[0] was[0] the[0] dogs[0] of[0] war[-2] 1980[0] adaptation[0] of[0] frederick[0] forsyth's[0] bestselling[0] novel[0] yet[0] that[0] rare[0] occasion[0] only[0] added[0] insult[-2] to[0] the[0] injury[-1] by[0] mentioning[0] croatians[0] in[0] most[0] unflattering[0] context[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in a single line they are referred as a bunch of mean people , probably terrorists , who happen to remove parts of arm dealers' stomachs when they are unsatisfied with the quality of merchandise . 	in a single line they are referred as a bunch of mean people , probably terrorists , who happen to remove parts of arm dealers' stomachs when they are unsatisfied with the quality of merchandise .	1	-3	 in[0] a[0] single[0] line[0] they[0] are[0] referred[0] as[0] a[0] bunch[0] of[0] mean[0] people[0] probably[0] terrorists[-2] who[0] happen[0] to[0] remove[0] parts[0] of[0] arm[0] dealers'[0] stomachs[0] when[0] they[0] are[0] unsatisfied[0] with[0] the[0] quality[0] of[0] merchandise[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
same line also illustrates the milieu where the movie takes place - dark and violent world of shady international deals with the blurred boundaries between business , politics and crime . 	same line also illustrates the milieu where the movie takes place - dark and violent world of shady international deals with the blurred boundaries between business , politics and crime .	1	-3	 same[0] line[0] also[0] illustrates[0] the[0] milieu[0] where[0] the[0] movie[0] takes[0] place[0] dark[0] and[0] violent[-2] world[0] of[0] shady[-1] international[0] deals[0] with[0] the[0] blurred[-1] boundaries[0] between[0] business[0] politics[0] and[0] crime[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the movie protagonist , shannon ( christopher walken ) is a mercenary who spent the best years of his life fighting numerous little wars all over the globe . 	the movie protagonist , shannon ( christopher walken ) is a mercenary who spent the best years of his life fighting numerous little wars all over the globe .	2	-3	 the[0] movie[0] protagonist[0] shannon[0] christopher[0] walken[0] is[0] a[0] mercenary[0] who[0] spent[0] the[0] best[1] years[0] of[0] his[0] life[0] fighting[-2] numerous[0] little[0] wars[-2] all[0] over[0] the[0] globe[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
his latest job is a intelligence mission for powerful mining corporation that demands information about political climate in west african nation of zangaro . 	his latest job is a intelligence mission for powerful mining corporation that demands information about political climate in west african nation of zangaro .	1	-1	 his[0] latest[0] job[0] is[0] a[0] intelligence[0] mission[0] for[0] powerful[0] mining[0] corporation[0] that[0] demands[0] information[0] about[0] political[0] climate[0] in[0] west[0] african[0] nation[0] of[0] zangaro[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shannon arrives in that country only to find oppressive regime of president kimba , bloodthirsty madman whose brutality crushed any opposition and scared almost any westerners away . 	shannon arrives in that country only to find oppressive regime of president kimba , bloodthirsty madman whose brutality crushed any opposition and scared almost any westerners away .	1	-4	 shannon[0] arrives[0] in[0] that[0] country[0] only[0] to[0] find[0] oppressive[-2] regime[0] of[0] president[0] kimba[0] bloodthirsty[-1] madman[-1] whose[0] brutality[-2] crushed[0] any[0] opposition[-1] and[0] scared[-3] almost[0] any[0] westerners[0] away[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
after being arrested and tortured by kimba's secret police , shannon leaves country with a help of british journalist north ( colin blakely ) . 	after being arrested and tortured by kimba's secret police , shannon leaves country with a help of british journalist north ( colin blakely ) .	1	-4	 after[0] being[0] arrested[0] and[0] tortured[-3] by[0] kimba's[0] secret[0] police[0] shannon[0] leaves[0] country[0] with[0] a[0] help[0] of[0] british[0] journalist[0] north[0] colin[0] blakely[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
upon return , he is approached by mining company again , but this time they want him to plan and execute the coup d'etat against kimba . 	upon return , he is approached by mining company again , but this time they want him to plan and execute the coup d'etat against kimba .	1	-2	 upon[0] return[0] he[0] is[0] approached[0] by[0] mining[0] company[0] again[0] but[0] this[0] time[0] they[0] want[0] him[0] to[0] plan[0] and[0] execute[-1] the[0] coup[0] d'etat[0] against[-1] kimba[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
shannon reluctantly agrees and assembles small group of his surviving mercenary friends who begin meticulous preparation for another small war . 	shannon reluctantly agrees and assembles small group of his surviving mercenary friends who begin meticulous preparation for another small war .	2	-3	 shannon[0] reluctantly[-1] agrees[0] and[0] assembles[0] small[0] group[0] of[0] his[0] surviving[0] mercenary[0] friends[1] who[0] begin[0] meticulous[0] preparation[0] for[0] another[0] small[0] war[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
thing that separates the dogs of war from conventional action movies , especially those made in 1980s , is its authenticity , almost close to documentary . 	thing that separates the dogs of war from conventional action movies , especially those made in 1980s , is its authenticity , almost close to documentary .	1	-3	 thing[0] that[0] separates[0] the[0] dogs[0] of[0] war[-2] from[0] conventional[0] action[0] movies[0] especially[0] those[0] made[0] in[0] 1980s[0] is[0] its[0] authenticity[0] almost[0] close[0] to[0] documentary[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it shouldn't surprise anyone , because the author of the novel , frederick forsyth , made reputation by blending fiction with real life , thus creating interesting , exciting yet very believable plots for his books . 	it shouldn't surprise anyone , because the author of the novel , frederick forsyth , made reputation by blending fiction with real life , thus creating interesting , exciting yet very believable plots for his books .	3	-1	 it[0] shouldn't[0] surprise[0] anyone[0] because[0] the[0] author[0] of[0] the[0] novel[0] frederick[0] forsyth[0] made[0] reputation[0] by[0] blending[0] fiction[0] with[0] real[0] life[0] thus[0] creating[0] interesting[1] exciting[2] yet[0] very[0] believable[0] plots[0] for[0] his[0] books[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
those plots were also responsible for few very successful 1970s thrillers , and one of them , zinnemman's the day of the jackal , is now considered a classic in that genre . 	those plots were also responsible for few very successful 1970s thrillers , and one of them , zinnemman's the day of the jackal , is now considered a classic in that genre .	4	-1	 those[0] plots[0] were[0] also[0] responsible[0] for[0] few[0] very[0] successful[2][1 LastWordBoosterStrength] 1970s[0] thrillers[1] and[0] one[0] of[0] them[0] zinnemman's[0] the[0] day[0] of[0] the[0] jackal[0] is[0] now[0] considered[0] a[0] classic[0] in[0] that[0] genre[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
this one deals with soldiers of fortune , ancient tradition that was resurrected in great turmoil of 1960s and 1970s and filled the void left by vanishing colonial empires . 	this one deals with soldiers of fortune , ancient tradition that was resurrected in great turmoil of 1960s and 1970s and filled the void left by vanishing colonial empires .	3	-3	 this[0] one[0] deals[0] with[0] soldiers[0] of[0] fortune[0] ancient[0] tradition[0] that[0] was[0] resurrected[0] in[0] great[2] turmoil[-2] of[0] 1960s[0] and[0] 1970s[0] and[0] filled[0] the[0] void[-1] left[0] by[0] vanishing[-1] colonial[0] empires[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
