at first glance , daylight would seem like your typical disaster movie . 	Translation	Positive	Negative	EmotionRationale
on second glance it looks that way too . 	on second glance it looks that way too .	1	-1	 on[0] second[0] glance[0] it[0] looks[0] that[0] way[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although , as typical disaster movies go , daylight isn't that bad . 	although , as typical disaster movies go , daylight isn't that bad .	2	-2	 although[0] as[0] typical[0] disaster[-1] movies[0] go[0] daylight[0] isn't[0] that[0] bad[-1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
admittedly , it seems to rip off a great deal of its plot devices from disaster flicks of days gone by ( think poseidon adventure ) . 	admittedly , it seems to rip off a great deal of its plot devices from disaster flicks of days gone by ( think poseidon adventure ) .	3	-2	 admittedly[0] it[0] seems[0] to[0] rip[-1] off[0] a[0] great[2] deal[0] of[0] its[0] plot[0] devices[0] from[0] disaster[-1] flicks[0] of[0] days[0] gone[0] by[0] think[0] poseidon[0] adventure[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but the decent dialogue and surprisingly good acting make up for the " haven't i seen this scene somewhere before ? " 	but the decent dialogue and surprisingly good acting make up for the " haven't i seen this scene somewhere before ?<br> "	2	-1	 but[0] the[0] decent[0] dialogue[0] and[0] surprisingly[0] good[1] acting[0] make[0] up[0] for[0] the[0] haven't[0] i[0] seen[0] this[0] scene[0] somewhere[0] before[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
feeling that creeps up all too often during the film . 	feeling that creeps up all too often during the film .	1	-1	 feeling[0] that[0] creeps[0] up[0] all[0] too[0] often[0] during[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sylvester stallone stars as the recently fired head of new york's emergency response team . 	sylvester stallone stars as the recently fired head of new york's emergency response team .	1	-3	 sylvester[0] stallone[0] stars[0] as[0] the[0] recently[0] fired[-2] head[0] of[0] new[0] york's[0] emergency[-1] response[0] team[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
by sheer luck , he is in the right place at the right time when disaster strikes the unaware inhabitants of this little film . 	by sheer luck , he is in the right place at the right time when disaster strikes the unaware inhabitants of this little film .	3	-2	 by[0] sheer[0] luck[2] he[0] is[0] in[0] the[0] right[0] place[0] at[0] the[0] right[0] time[0] when[0] disaster[-1] strikes[0] the[0] unaware[0] inhabitants[0] of[0] this[0] little[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 " what disaster is that ? " 	 " what disaster is that ?<br> "	1	-2	 what[0] disaster[-1] is[0] that[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you ask , as you inch ever closer to the edge of your seat . 	you ask , as you inch ever closer to the edge of your seat .	1	-1	 you[0] ask[0] as[0] you[0] inch[0] ever[0] closer[0] to[0] the[0] edge[0] of[0] your[0] seat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
glad you asked . 	glad you asked .	2	-1	 glad[1] you[0] asked[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
through a whole sequence of entirely probable events ( about as probable as hitting the lottery ) a large explosion takes place in the lincoln tunnel running under the hudson river in new york city . 	through a whole sequence of entirely probable events ( about as probable as hitting the lottery ) a large explosion takes place in the lincoln tunnel running under the hudson river in new york city .	1	-2	 through[0] a[0] whole[0] sequence[0] of[0] entirely[0] probable[0] events[0] about[0] as[0] probable[0] as[0] hitting[0] the[0] lottery[0] a[0] large[0] explosion[-1] takes[0] place[0] in[0] the[0] lincoln[0] tunnel[0] running[0] under[0] the[0] hudson[0] river[0] in[0] new[0] york[0] city[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the explosion results in the tunnel collapsing at both ends , which causes not only massive loss of life , but traps a dozen people inside the wreckage of the tunnel . 	the explosion results in the tunnel collapsing at both ends , which causes not only massive loss of life , but traps a dozen people inside the wreckage of the tunnel .	1	-3	 the[0] explosion[-1] results[0] in[0] the[0] tunnel[0] collapsing[0] at[0] both[0] ends[0] which[0] causes[0] not[0] only[0] massive[0] loss[-2] of[0] life[0] but[0] traps[0] a[0] dozen[0] people[0] inside[0] the[0] wreckage[-1] of[0] the[0] tunnel[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
good old sly , who is only feet away from entering the tunnel when it collapses , offers his services to the rescuers , who gladly accept it . 	good old sly , who is only feet away from entering the tunnel when it collapses , offers his services to the rescuers , who gladly accept it .	2	-2	 good[1] old[0] sly[-1] who[0] is[0] only[0] feet[0] away[0] from[0] entering[0] the[0] tunnel[0] when[0] it[0] collapses[-1] offers[0] his[0] services[0] to[0] the[0] rescuers[0] who[0] gladly[1] accept[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sly then enters the tunnel through a vent shaft ( think judge dredd ) which he can only go in , and not out off , and proceeds to try to rescue those trapped inside . 	sly then enters the tunnel through a vent shaft ( think judge dredd ) which he can only go in , and not out off , and proceeds to try to rescue those trapped inside .	1	-2	 sly[-1] then[0] enters[0] the[0] tunnel[0] through[0] a[0] vent[0] shaft[0] think[0] judge[0] dredd[0] which[0] he[0] can[0] only[0] go[0] in[0] and[0] not[0] out[0] off[0] and[0] proceeds[0] to[0] try[0] to[0] rescue[0] those[0] trapped[0] inside[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so begins the fun , but the fun has to be quick , because this tunnel has started to spring a leak . 	so begins the fun , but the fun has to be quick , because this tunnel has started to spring a leak .	2	-2	 so[0] begins[0] the[0] fun[1] but[0] the[0] fun[1] has[0] to[0] be[0] quick[0] because[0] this[0] tunnel[0] has[0] started[0] to[0] spring[0] a[0] leak[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the acting is about what you would expect of a stallone movie . 	the acting is about what you would expect of a stallone movie .	1	-1	 the[0] acting[0] is[0] about[0] what[0] you[0] would[0] expect[0] of[0] a[0] stallone[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not superb by any means , but far above some of his other films ( think judge dredd again ) . 	not superb by any means , but far above some of his other films ( think judge dredd again ) .	1	-1	 not[0] superb[0] by[0] any[0] means[0] but[0] far[0] above[0] some[0] of[0] his[0] other[0] films[0] think[0] judge[0] dredd[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
daylight's acting is probably average , or a little above , in terms of this sort of genre , starring this particular star . 	daylight's acting is probably average , or a little above , in terms of this sort of genre , starring this particular star .	1	-1	 daylight's[0] acting[0] is[0] probably[0] average[0] or[0] a[0] little[0] above[0] in[0] terms[0] of[0] this[0] sort[0] of[0] genre[0] starring[0] this[0] particular[0] star[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
amy brenneman is the only actor of any note , and she does a pretty good job as stallone's reluctant helper . 	amy brenneman is the only actor of any note , and she does a pretty good job as stallone's reluctant helper .	3	-2	 amy[0] brenneman[0] is[0] the[0] only[0] actor[0] of[0] any[0] note[0] and[0] she[0] does[0] a[0] pretty[2] good[1] job[0] as[0] stallone's[0] reluctant[-1] helper[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
oh yeah , stallone's real life son , sage , is in this too . 	oh yeah , stallone's real life son , sage , is in this too .	1	-2	 oh[0] yeah[0] stallone's[0] real[0] life[0] son[0] sage[-1] is[0] in[0] this[0] too[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sage -- nice name . 	sage - nice name .	2	-2	 sage[-1] nice[1] name[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i guess it could be worse , he could have been named nutmeg or parsley . 	i guess it could be worse , he could have been named nutmeg or parsley .	1	-3	 i[0] guess[0] it[0] could[0] be[0] worse[-2] he[0] could[0] have[0] been[0] named[0] nutmeg[0] or[0] parsley[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
note to sage -- you are still young . 	note to sage - you are still young .	1	-2	 note[0] to[0] sage[-1] you[0] are[0] still[0] young[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
go to school and get a good education -- you don't have a future in acting . 	go to school and get a good education - you don't have a future in acting .	2	-1	 go[0] to[0] school[0] and[0] get[0] a[0] good[1] education[0] you[0] don't[0] have[0] a[0] future[0] in[0] acting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the plot runs along the same lines as the acting -- interesting , but predictable . 	the plot runs along the same lines as the acting - interesting , but predictable .	2	-1	 the[0] plot[0] runs[0] along[0] the[0] same[0] lines[0] as[0] the[0] acting[0] interesting[1] but[0] predictable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mostly due to the fact that it was pretty well recycled from a dozen other action flicks . 	mostly due to the fact that it was pretty well recycled from a dozen other action flicks .	3	-1	 mostly[0] due[0] to[0] the[0] fact[0] that[0] it[0] was[0] pretty[2] well[0] recycled[0] from[0] a[0] dozen[0] other[0] action[0] flicks[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the biggest problem with a film of this nature is that they try to cram too many things into the movie . 	the biggest problem with a film of this nature is that they try to cram too many things into the movie .	1	-2	 the[0] biggest[0] problem[-1] with[0] a[0] film[0] of[0] this[0] nature[0] is[0] that[0] they[0] try[0] to[0] cram[-1] too[0] many[0] things[0] into[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as soon as the cast clears one seemingly impossible hurdle , another one seems to pop right up , even worse than the last one . 	as soon as the cast clears one seemingly impossible hurdle , another one seems to pop right up , even worse than the last one .	1	-3	 as[0] soon[0] as[0] the[0] cast[0] clears[0] one[0] seemingly[0] impossible[0] hurdle[0] another[0] one[0] seems[0] to[0] pop[0] right[0] up[0] even[0] worse[-2] than[0] the[0] last[0] one[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i realize that it wouldn't be much of a movie otherwise , but it does make the movie a bit predictable . 	i realize that it wouldn't be much of a movie otherwise , but it does make the movie a bit predictable .	1	-1	 i[0] realize[0] that[0] it[0] wouldn't[0] be[0] much[0] of[0] a[0] movie[0] otherwise[0] but[0] it[0] does[0] make[0] the[0] movie[0] a[0] bit[0] predictable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
adding to the predictability is the cast of characters , which of course , has to include at least one or two difficult people who want to do things their own way and think the qualified guy ( in this case stallone ) doesn't know what he is doing . 	adding to the predictability is the cast of characters , which of course , has to include at least one or two difficult people who want to do things their own way and think the qualified guy ( in this case stallone ) doesn't know what he is doing .	1	-2	 adding[0] to[0] the[0] predictability[0] is[0] the[0] cast[0] of[0] characters[0] which[0] of[0] course[0] has[0] to[0] include[0] at[0] least[0] one[0] or[0] two[0] difficult[-1] people[0] who[0] want[0] to[0] do[0] things[0] their[0] own[0] way[0] and[0] think[0] the[0] qualified[0] guy[0] in[0] this[0] case[0] stallone[0] doesn't[0] know[0] what[0] he[0] is[0] doing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why is it in disaster movies we can never have everyone agree with each other and all work together ? 	why is it in disaster movies we can never have everyone agree with each other and all work together ?	1	-2	 why[0] is[0] it[0] in[0] disaster[-1] movies[0] we[0] can[0] never[0] have[0] everyone[0] agree[0] with[0] each[0] other[0] and[0] all[0] work[0] together[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
would this be too much to ask ? 	would this be too much to ask ?	1	-1	 would[0] this[0] be[0] too[0] much[0] to[0] ask[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
can't we all just get along ? 	can't we all just get along ?	1	-1	 can't[0] we[0] all[0] just[0] get[0] along[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
special effects weren't bad -- but i've certainly seen better . 	special effects weren't bad - but i've certainly seen better .	2	-2	 special[1] effects[0] weren't[0] bad[-1] but[0] i've[0] certainly[0] seen[0] better[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
some of the scenes , while fun to watch , were such blatant rip-offs that you had to wonder if scripts from old movies were just copied verbatim . 	some of the scenes , while fun to watch , were such blatant rip-offs that you had to wonder if scripts from old movies were just copied verbatim .	2	-2	 some[0] of[0] the[0] scenes[0] while[0] fun[1] to[0] watch[0] were[0] such[0] blatant[-1] rip[-1] offs[0] that[0] you[0] had[0] to[0] wonder[0] if[0] scripts[0] from[0] old[0] movies[0] were[0] just[0] copied[0] verbatim[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
especially all of the scenes that involved anything underwater ( the tunnel , of course , starts to flood ) . 	especially all of the scenes that involved anything underwater ( the tunnel , of course , starts to flood ) .	1	-1	 especially[0] all[0] of[0] the[0] scenes[0] that[0] involved[0] anything[0] underwater[0] the[0] tunnel[0] of[0] course[0] starts[0] to[0] flood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i really expected gene hackman , roddy mcdowell and ernest borgnine to appear at any minute -- i wasn't sure if i was watching daylight or the poseidon adventure . 	i really expected gene hackman , roddy mcdowell and ernest borgnine to appear at any minute - i wasn't sure if i was watching daylight or the poseidon adventure .	1	-1	 i[0] really[0] expected[0] gene[0] hackman[0] roddy[0] mcdowell[0] and[0] ernest[0] borgnine[0] to[0] appear[0] at[0] any[0] minute[0] i[0] wasn't[0] sure[0] if[0] i[0] was[0] watching[0] daylight[0] or[0] the[0] poseidon[0] adventure[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i suppose if you have to rip off a movie for good ideas , the poseidon adventure is a good one to use . 	i suppose if you have to rip off a movie for good ideas , the poseidon adventure is a good one to use .	2	-2	 i[0] suppose[0] if[0] you[0] have[0] to[0] rip[-1] off[0] a[0] movie[0] for[0] good[1] ideas[0] the[0] poseidon[0] adventure[0] is[0] a[0] good[1] one[0] to[0] use[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the underwater sequences ( aside from the deja vu ) were very well shot and worked fairly well . 	the underwater sequences ( aside from the deja vu ) were very well shot and worked fairly well .	1	-2	 the[0] underwater[0] sequences[0] aside[0] from[0] the[0] deja[0] vu[0] were[0] very[0] well[0] shot[-1] and[0] worked[0] fairly[0] well[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they were the best part of the movie by a long shot . 	they were the best part of the movie by a long shot .	2	-2	 they[0] were[0] the[0] best[1] part[0] of[0] the[0] movie[0] by[0] a[0] long[0] shot[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
better than average stallone flick . 	better than average stallone flick .	1	-1	 better[0] than[0] average[0] stallone[0] flick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i realize that's not saying much when the man has judge dredd on his resume . 	i realize that's not saying much when the man has judge dredd on his resume .	1	-1	 i[0] realize[0] that's[0] not[0] saying[0] much[0] when[0] the[0] man[0] has[0] judge[0] dredd[0] on[0] his[0] resume[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but certainly not up to the standards of cliffhanger . 	but certainly not up to the standards of cliffhanger .	1	-1	 but[0] certainly[0] not[0] up[0] to[0] the[0] standards[0] of[0] cliffhanger[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
