corey yuen's latest film , " hero " is notable on two fronts . 	Translation	Positive	Negative	EmotionRationale
first this is the film to bring back the shaw brothers studio back to the forefront of film production . 	first this is the film to bring back the shaw brothers studio back to the forefront of film production .	1	-1	 first[0] this[0] is[0] the[0] film[0] to[0] bring[0] back[0] the[0] shaw[0] brothers[0] studio[0] back[0] to[0] the[0] forefront[0] of[0] film[0] production[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
secondly , the film is the re-discovery of yuen biao . 	secondly , the film is the re-discovery of yuen biao .	1	-1	 secondly[0] the[0] film[0] is[0] the[0] re[0] discovery[0] of[0] yuen[0] biao[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film opens around the end of the qin dynasty , when many immigrants were making their way to shanghai . 	the film opens around the end of the qin dynasty , when many immigrants were making their way to shanghai .	1	-1	 the[0] film[0] opens[0] around[0] the[0] end[0] of[0] the[0] qin[0] dynasty[0] when[0] many[0] immigrants[0] were[0] making[0] their[0] way[0] to[0] shanghai[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
poverty and crime rule most of china . 	poverty and crime rule most of china .	1	-2	 poverty[-1] and[0] crime[-1] rule[0] most[0] of[0] china[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a young man , ma wing jing and his brother enter the fabled city and become laborers at the pier . 	a young man , ma wing jing and his brother enter the fabled city and become laborers at the pier .	1	-1	 a[0] young[0] man[0] ma[0] wing[0] jing[0] and[0] his[0] brother[0] enter[0] the[0] fabled[0] city[0] and[0] become[0] laborers[0] at[0] the[0] pier[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tam see is the most powerful gangster in town , having control of the center of the city and having an alliance with the british army . 	tam see is the most powerful gangster in town , having control of the center of the city and having an alliance with the british army .	1	-1	 tam[0] see[0] is[0] the[0] most[0] powerful[0] gangster[0] in[0] town[0] having[0] control[0] of[0] the[0] center[0] of[0] the[0] city[0] and[0] having[0] an[0] alliance[0] with[0] the[0] british[0] army[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wing jing and see become friends during a confrontation . 	wing jing and see become friends during a confrontation .	2	-3	 wing[0] jing[0] and[0] see[0] become[0] friends[1] during[0] a[0] confrontation[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
their friendship grows as both men start to realize their dreams , wing jing's to be a powerful and wealthy man , and see to settle down with a woman he can truly love . 	their friendship grows as both men start to realize their dreams , wing jing's to be a powerful and wealthy man , and see to settle down with a woman he can truly love .	3	-1	 their[0] friendship[1] grows[0] as[0] both[0] men[0] start[0] to[0] realize[0] their[0] dreams[0] wing[0] jing's[0] to[0] be[0] a[0] powerful[0] and[0] wealthy[0] man[0] and[0] see[0] to[0] settle[0] down[0] with[0] a[0] woman[0] he[0] can[0] truly[1] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
wing jing meets the singer at the club ( jessica hester ) and falls in love with her , not realizing that she is the star attraction . 	wing jing meets the singer at the club ( jessica hester ) and falls in love with her , not realizing that she is the star attraction .	3	-1	 wing[0] jing[0] meets[0] the[0] singer[0] at[0] the[0] club[0] jessica[0] hester[0] and[0] falls[0] in[0] love[2] with[0] her[0] not[0] realizing[0] that[0] she[0] is[0] the[0] star[0] attraction[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
after stealing her picture from a display , wing jing and his brother plot to impress her . 	after stealing her picture from a display , wing jing and his brother plot to impress her .	2	-3	 after[0] stealing[-2] her[0] picture[0] from[0] a[0] display[0] wing[0] jing[0] and[0] his[0] brother[0] plot[0] to[0] impress[1] her[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
