as i write the review for the new hanks/ryan romantic comedy you've got mail , i am acutely aware that i am typing it on a computer and sending it a billion miles away on the internet . 	Translation	Positive	Negative	EmotionRationale
i am also aware that i have just spent the last 2 hours watching the world's biggest paid commercial for america online . 	i am also aware that i have just spent the last 2 hours watching the world's biggest paid commercial for america online .	1	-1	 i[0] am[0] also[0] aware[0] that[0] i[0] have[0] just[0] spent[0] the[0] last[0] 2[0] hours[0] watching[0] the[0] world's[0] biggest[0] paid[0] commercial[0] for[0] america[0] online[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and i wonder : is that so bad ? 	and i wonder : is that so bad ?	1	-2	 and[0] i[0] wonder[0] is[0] that[0] so[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , the commercial part is . 	well , the commercial part is .	1	-1	 well[0] the[0] commercial[0] part[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as for the movie , well , as long as i can watch tom hanks and meg ryan , i think i'll be okay . 	as for the movie , well , as long as i can watch tom hanks and meg ryan , i think i'll be okay .	1	-1	 as[0] for[0] the[0] movie[0] well[0] as[0] long[0] as[0] i[0] can[0] watch[0] tom[0] hanks[0] and[0] meg[0] ryan[0] i[0] think[0] i'll[0] be[0] okay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to paraphrase james berardinelli , whose reviews i admire very much , tom hanks and meg ryan can act . 	to paraphrase james berardinelli , whose reviews i admire very much , tom hanks and meg ryan can act .	3	-1	 to[0] paraphrase[0] james[0] berardinelli[0] whose[0] reviews[0] i[0] admire[2] very[0] much[0] tom[0] hanks[0] and[0] meg[0] ryan[0] can[0] act[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they are both wonderful , but for all of hanks' glorious work in serious films , such as his magnificent performance in saving private ryan , and his glorious triumph in philadelphia , i like him best when he's suitably obnoxious . 	they are both wonderful , but for all of hanks' glorious work in serious films , such as his magnificent performance in saving private ryan , and his glorious triumph in philadelphia , i like him best when he's suitably obnoxious .	4	-3	 they[0] are[0] both[0] wonderful[2] but[0] for[0] all[0] of[0] hanks'[0] glorious[1] work[0] in[0] serious[-1] films[0] such[0] as[0] his[0] magnificent[3] performance[0] in[0] saving[0] private[0] ryan[0] and[0] his[0] glorious[1] triumph[2] in[0] philadelphia[0] i[0] like[1] him[0] best[1] when[0] he's[0] suitably[0] obnoxious[-2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
tom hanks is wonderful when he is obnoxious in a romantic comedy when he's going to get the girl : the only question is how ? 	tom hanks is wonderful when he is obnoxious in a romantic comedy when he's going to get the girl : the only question is how ?	4	-3	 tom[0] hanks[0] is[0] wonderful[2] when[0] he[0] is[0] obnoxious[-2] in[0] a[0] romantic[3] comedy[0] when[0] he's[0] going[0] to[0] get[0] the[0] girl[0] the[0] only[0] question[0] is[0] how[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
meg ryan , america's high school sweetheart , can act . 	meg ryan , america's high school sweetheart , can act .	4	-1	 meg[0] ryan[0] america's[0] high[0] school[0] sweetheart[3] can[0] act[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
she's had a handful of memorable performances , including the great scene in the diner in when harry met sally ( i must not mention what she does , due to the , well , um , you get the idea , and if you don't , get the movie-- fantastic ) . 	she's had a handful of memorable performances , including the great scene in the diner in when harry met sally ( i must not mention what she does , due to the , well , um , you get the idea , and if you don't , get the movie- fantastic ) .	3	-1	 she's[0] had[0] a[0] handful[0] of[0] memorable[0] performances[0] including[0] the[0] great[2] scene[0] in[0] the[0] diner[0] in[0] when[0] harry[0] met[0] sally[0] i[0] must[0] not[0] mention[0] what[0] she[0] does[0] due[0] to[0] the[0] well[0] um[0] you[0] get[0] the[0] idea[0] and[0] if[0] you[0] don't[0] get[0] the[0] movie[0] fantastic[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but , i like her best when she's , well , perky . 	but , i like her best when she's , well , perky .	2	-1	 but[0] i[0] like[1] her[0] best[1] when[0] she's[0] well[0] perky[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
