 " dangerous beauty " is a really nothing more than a grandiose soap opera set in venice circa 1583 . 	Translation	Positive	Negative	EmotionRationale
it is beautifully filmed , wonderfully acted , and certainly nothing short of entertaining , but it lacks any true fundamental seriousness . 	it is beautifully filmed , wonderfully acted , and certainly nothing short of entertaining , but it lacks any true fundamental seriousness .	3	-2	 it[0] is[0] beautifully[2] filmed[0] wonderfully[2] acted[0] and[0] certainly[0] nothing[0] short[0] of[0] entertaining[0] but[0] it[0] lacks[0] any[0] true[1] fundamental[0] seriousness[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
dealing with themes of forbidden love , religious intolerance , subordination of women , sexual freedom , and the roles of pleasure and sin in a high-cultured society , it still feels like brightly lit fluff . 	dealing with themes of forbidden love , religious intolerance , subordination of women , sexual freedom , and the roles of pleasure and sin in a high-cultured society , it still feels like brightly lit fluff .	3	-2	 dealing[0] with[0] themes[0] of[0] forbidden[-1] love[2] religious[0] intolerance[0] subordination[0] of[0] women[0] sexual[0] freedom[0] and[0] the[0] roles[0] of[0] pleasure[2] and[0] sin[-1] in[0] a[0] high[0] cultured[0] society[0] it[0] still[0] feels[0] like[1] brightly[0] lit[0] fluff[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the director , marshall herskovitz , doesn't want to follow the dark and dangerous trail this story could lead down , so he opts for a more genial , livelier , and relatively shallow interpretation . 	the director , marshal herskovitz , doesn't want to follow the dark and dangerous trail this story could lead down , so he opts for a more genial , livelier , and relatively shallow interpretation .	2	-2	 the[0] director[0] marshall/marshal[0] herskovitz[0] doesn't[0] want[0] to[0] follow[0] the[0] dark[0] and[0] dangerous[-1] trail[0] this[0] story[0] could[0] lead[0] down[0] so[0] he[0] opts[0] for[0] a[0] more[0] genial[0] livelier[1] and[0] relatively[0] shallow[-1] interpretation[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film takes place during the renaissance , a time when venice was the pleasure capital of europe . 	the film takes place during the renaissance , a time when venice was the pleasure capital of europe .	3	-1	 the[0] film[0] takes[0] place[0] during[0] the[0] renaissance[0] a[0] time[0] when[0] venice[0] was[0] the[0] pleasure[2] capital[0] of[0] europe[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
at this time , venice was its own republic , and it thrived on being the central juncture of east-west commerce . 	at this time , venice was its own republic , and it thrived on being the central juncture of east-west commerce .	1	-1	 at[0] this[0] time[0] venice[0] was[0] its[0] own[0] republic[0] and[0] it[0] thrived[0] on[0] being[0] the[0] central[0] juncture[0] of[0] east[0] west[0] commerce[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is told almost entirely through the viewpoint of the aristocracy and the bourgeoisie of venice , so we rarely get to see how the rest of the society lived . 	the film is told almost entirely through the viewpoint of the aristocracy and the bourgeoisie of venice , so we rarely get to see how the rest of the society lived .	1	-1	 the[0] film[0] is[0] told[0] almost[0] entirely[0] through[0] the[0] viewpoint[0] of[0] the[0] aristocracy[0] and[0] the[0] bourgeoisie[0] of[0] venice[0] so[0] we[0] rarely[0] get[0] to[0] see[0] how[0] the[0] rest[0] of[0] the[0] society[0] lived[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , there is an abundance of detail concerning the lives and livelihoods of the upper classes , their hedonistic lifestyles and constant merriment . 	however , there is an abundance of detail concerning the lives and livelihoods of the upper classes , their hedonistic lifestyles and constant merriment .	2	-2	 however[0] there[0] is[0] an[0] abundance[0] of[0] detail[0] concerning[-1] the[0] lives[0] and[0] livelihoods[1] of[0] the[0] upper[0] classes[0] their[0] hedonistic[0] lifestyles[0] and[0] constant[0] merriment[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the story centers on veronica franco ( catherine mccormack ) , a lower class woman who falls in love with marco venier ( rufus sewell ) , the son of wealthy aristocratic parents ( jeroen krabb ? and joanna cassidy ) . 	the story centers on veronica franco ( catherine mccormack ) , a lower class woman who falls in love with marco venier ( rufus sewell ) , the son of wealthy aristocratic parents ( jeroen krabb ?<br> and joanna cassidy ) .	3	-1	 the[0] story[0] centers[0] on[0] veronica[0] franco[0] catherine[0] mccormack[0] a[0] lower[0] class[0] woman[0] who[0] falls[0] in[0] love[2] with[0] marco[0] venier[0] rufus[0] sewell[0] the[0] son[0] of[0] wealthy[0] aristocratic[0] parents[0] jeroen[0] krabb[0] [[Sentence=-1,3=word max, 1-5]] and[0] joanna[0] cassidy[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
unfortunately , the culture of that time period did not view marriage as an act of love -- rather , it was more like a business transaction , where rich families married their sons and daughters to each other in order to secure power , wealth , and ensure that outsiders couldn't get in . 	unfortunately , the culture of that time period did not view marriage as an act of love - rather , it was more like a business transaction , where rich families married their sons and daughters to each other in order to secure power , wealth , and ensure that outsiders couldn't get in .	3	-2	 unfortunately[-1] the[0] culture[0] of[0] that[0] time[0] period[0] did[0] not[0] view[0] marriage[0] as[0] an[0] act[0] of[0] love[2] rather[0] it[0] was[0] more[0] like[1] a[0] business[0] transaction[0] where[0] rich[0] families[0] married[0] their[0] sons[0] and[0] daughters[0] to[0] each[0] other[0] in[0] order[0] to[0] secure[1] power[0] wealth[0] and[0] ensure[0] that[0] outsiders[-1] couldn't[0] get[0] in[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
veronica , despite her charm and good looks , is certainly an outsider . 	veronica , despite her charm and good looks , is certainly an outsider .	2	-2	 veronica[0] despite[0] her[0] charm[1] and[0] good[1] looks[0] is[0] certainly[0] an[0] outsider[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after a short love affair , marco breaks her heart with the news that he cannot marry her . 	after a short love affair , marco breaks her heart with the news that he cannot marry her .	3	-1	 after[0] a[0] short[0] love[2] affair[0] marco[0] breaks[0] her[0] heart[0] with[0] the[0] news[0] that[0] he[0] cannot[0] marry[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
