this remake of " la cage aux folles " features a gay couple pretending to be straight in order to pull the wool over the eyes of their son's future in-laws . 	Translation	Positive	Negative	EmotionRationale
the couple ( robin williams and nathan lane ) are about as archetypal , or as the less kind might put it ? stereotypical , gays possible . 	the couple ( robin williams and nathan lane ) are about as archetypal , or as the less kind might put it ?<br> stereotypical , gays possible .	2	-1	 the[0] couple[0] robin[0] williams[0] and[0] nathan[0] lane[0] are[0] about[0] as[0] archetypal[0] or[0] as[0] the[0] less[0] kind[1] might[0] put[0] it[0] [[Sentence=-1,2=word max, 1-5]] stereotypical[0] gays[0] possible[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
williams owns a nightclub featuring drag queens where his partner performs as the featured star . 	williams owns a nightclub featuring drag queens where his partner performs as the featured star .	1	-2	 williams[0] owns[0] a[0] nightclub[0] featuring[0] drag[-1] queens[0] where[0] his[0] partner[0] performs[0] as[0] the[0] featured[0] star[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they live above the club in what could not possibly be mistaken as a heterosexual abode . 	they live above the club in what could not possibly be mistaken as a heterosexual abode .	1	-2	 they[0] live[0] above[0] the[0] club[0] in[0] what[0] could[0] not[0] possibly[0] be[0] mistaken[-1] as[0] a[0] heterosexual[0] abode[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
williams is excellent as should be no surprise . 	williams is excellent as should be no surprise .	4	-1	 williams[0] is[0] excellent[3] as[0] should[0] be[0] no[0] surprise[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
gene hackman as right-wing potential father-in-law is refreshing in one of his few comedic roles . 	gene hackman as right-wing potential father-in-law is refreshing in one of his few comedic roles .	1	-1	 gene[0] hackman[0] as[0] right[0] wing[0] potential[0] father[0] in[0] law[0] is[0] refreshing[0] in[0] one[0] of[0] his[0] few[0] comedic[0] roles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the real star is lane . 	the real star is lane .	1	-1	 the[0] real[0] star[0] is[0] lane[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his attempted transformation from one of the most obviously gay men in the world to the straight-shooting uncle is hilarious . 	his attempted transformation from one of the most obviously gay men in the world to the straight-shooting uncle is hilarious .	3	-2	 his[0] attempted[0] transformation[0] from[0] one[0] of[0] the[0] most[0] obviously[0] gay[-1] men[0] in[0] the[0] world[0] to[0] the[0] straight[0] shooting[-1] uncle[0] is[0] hilarious[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
perhaps it is a personal failing on my part , but the crying and screaming drag queen faux high drama just grates on my nerves and the first few minutes of this film are filled with it . 	perhaps it is a personal failing on my part , but the crying and screaming drag queen faux high drama just grates on my nerves and the first few minutes of this film are filled with it .	1	-4	 perhaps[0] it[0] is[0] a[0] personal[0] failing[-2] on[0] my[0] part[0] but[0] the[0] crying[-3] and[0] screaming[-3] drag[-1] queen[0] faux[0] high[0] drama[0] just[0] grates[0] on[0] my[0] nerves[0] and[0] the[0] first[0] few[0] minutes[0] of[0] this[0] film[0] are[0] filled[0] with[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
luckily ( for me at least ) , it doesn't last long and the rest of the story focuses on the relationship between the men , their son and the deception . 	luckily ( for me at least ) , it doesn't last long and the rest of the story focuses on the relationship between the men , their son and the deception .	3	-2	 luckily[2] for[0] me[0] at[0] least[0] it[0] doesn't[0] last[0] long[0] and[0] the[0] rest[0] of[0] the[0] story[0] focuses[0] on[0] the[0] relationship[0] between[0] the[0] men[0] their[0] son[0] and[0] the[0] deception[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the question of stereotypes is a touchy one . 	the question of stereotypes is a touchy one .	1	-2	 the[0] question[0] of[0] stereotypes[0] is[0] a[0] touchy[-1] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these guys personify the homophobic gay image . 	these guys personify the homophobic gay image .	1	-2	 these[0] guys[0] personify[0] the[0] homophobic[0] gay[-1] image[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you can almost hear the swishing . 	you can almost hear the swishing .	1	-1	 you[0] can[0] almost[0] hear[0] the[0] swishing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you think that they are supposed to be representative of every gay man in the world , you'll be outraged . 	if you think that they are supposed to be representative of every gay man in the world , you'll be outraged .	1	-3	 if[0] you[0] think[0] that[0] they[0] are[0] supposed[0] to[0] be[0] representative[0] of[0] every[0] gay[-1] man[0] in[0] the[0] world[0] you'll[0] be[0] outraged[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but if you can accept the view is that this is a movie about gay individuals , you'll love it . 	but if you can accept the view is that this is a movie about gay individuals , you'll love it .	3	-2	 but[0] if[0] you[0] can[0] accept[0] the[0] view[0] is[0] that[0] this[0] is[0] a[0] movie[0] about[0] gay[-1] individuals[0] you'll[0] love[2] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
your choice . 	your choice .	1	-1	 your[0] choice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
