this is the best british gangster film since the long good friday . 	Translation	Positive	Negative	EmotionRationale
jon bennet ( played by andrew howard ) is an extremely good assassin . 	jon bennet ( played by andrew howard ) is an extremely good assassin .	4	-3	 jon[0] bennet[0] played[0] by[0] andrew[0] howard[0] is[0] an[0] extremely[0] good[1][2 LastWordBoosterStrength] assassin[-2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
as such he is probably an evil man but it does not worry him . 	as such he is probably an evil man but it does not worry him .	4	-3	 as[0] such[0] he[0] is[0] probably[0] an[0] evil[-2] man[0] but[0] it[0] does[0] not[0] worry[-3][NegatedDueToPreviousWord] him[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
he has become an unquestioning weapon . 	he has become an unquestioning weapon .	1	-2	 he[0] has[0] become[0] an[0] unquestioning[0] weapon[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is in the employ of a kingpin ( david calder ) far more evil than he is . 	he is in the employ of a kingpin ( david calder ) far more evil than he is .	1	-3	 he[0] is[0] in[0] the[0] employ[0] of[0] a[0] kingpin[0] david[0] calder[0] far[0] more[0] evil[-2] than[0] he[0] is[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but even assassins have innocent pasts . 	but even assassins have innocent pasts .	2	-3	 but[0] even[0] assassins[-2] have[0] innocent[1] pasts[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he runs into an old from school days and he is married to a mutual girl friend from school . 	he runs into an old from school days and he is married to a mutual girl friend from school .	2	-1	 he[0] runs[0] into[0] an[0] old[0] from[0] school[0] days[0] and[0] he[0] is[0] married[0] to[0] a[0] mutual[0] girl[0] friend[1] from[0] school[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
complicating matters is that they live near where he had a recent job and their young daughter may have seen him at the crime . 	complicating matters is that they live near where he had a recent job and their young daughter may have seen him at the crime .	1	-2	 complicating[0] matters[0] is[0] that[0] they[0] live[0] near[0] where[0] he[0] had[0] a[0] recent[0] job[0] and[0] their[0] young[0] daughter[0] may[0] have[0] seen[0] him[0] at[0] the[0] crime[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a big piece of what makes this film work is the depiction of the kingpin . 	a big piece of what makes this film work is the depiction of the kingpin .	1	-1	 a[0] big[0] piece[0] of[0] what[0] makes[0] this[0] film[0] work[0] is[0] the[0] depiction[0] of[0] the[0] kingpin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
calder is a familiar actor in britain , though not frequently seen in the us . 	calder is a familiar actor in britain , though not frequently seen in the us .	1	-1	 calder[0] is[0] a[0] familiar[0] actor[0] in[0] britain[0] though[0] not[0] frequently[0] seen[0] in[0] the[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he was seen in the world is not enough . 	he was seen in the world is not enough .	1	-1	 he[0] was[0] seen[0] in[0] the[0] world[0] is[0] not[0] enough[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
