catherine deane ( jennifer lopez ) is a psychologist who has been hired to participate in a project where she can enter the minds of comatose victims and try to interact with their subconscious in an attempt to wake them up . 	Translation	Positive	Negative	EmotionRationale
she has been experiencing moderate success with a young boy in a coma , but the boy's parents aren't happy with the apparent lack of progress and the toll of her job is having adverse affects on her regular life . 	she has been experiencing moderate success with a young boy in a coma , but the boy's parents aren't happy with the apparent lack of progress and the toll of her job is having adverse affects on her regular life .	3	-2	 she[0] has[0] been[0] experiencing[0] moderate[0] success[2] with[0] a[0] young[0] boy[0] in[0] a[0] coma[0] but[0] the[0] boy's[0] parents[0] aren't[0] happy[1][NegatedDueToPreviousWord] with[0] the[0] apparent[0] lack[-1] of[0] progress[0] and[0] the[0] toll[0] of[0] her[0] job[0] is[0] having[0] adverse[-1] affects[0] on[0] her[0] regular[0] life[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as if trying to assure the boy's parents wasn't hard enough on her , a new development arises that furthers the strain on deane's mental faculties . 	as if trying to assure the boy's parents wasn't hard enough on her , a new development arises that furthers the strain on deane's mental faculties .	1	-2	 as[0] if[0] trying[0] to[0] assure[0] the[0] boy's[0] parents[0] wasn't[0] hard[0] enough[0] on[0] her[0] a[0] new[0] development[0] arises[0] that[0] furthers[0] the[0] strain[-1] on[0] deane's[0] mental[0] faculties[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a vicious serial killer named carl stargher ( vincent d'onofrio ) has been kidnapping women , locking them in an automated cell that drowns them slowly in a matter of days , then soaking the corpses in bleach to turn them into life-sized dolls . 	a vicious serial killer named carl stargher ( vincent d'onofrio ) has been kidnapping women , locking them in an automated cell that drowns them slowly in a matter of days , then soaking the corpses in bleach to turn them into life-sized dolls .	1	-4	 a[0] vicious[-3] serial[0] killer[-1] named[0] carl[0] stargher[0] vincent[0] d'onofrio[0] has[0] been[0] kidnapping[0] women[0] locking[0] them[0] in[0] an[0] automated[0] cell[0] that[0] drowns[-1] them[0] slowly[0] in[0] a[0] matter[0] of[0] days[0] then[0] soaking[0] the[0] corpses[0] in[0] bleach[0] to[0] turn[0] them[0] into[0] life[0] sized[0] dolls[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
just after kidnapping his latest victim and locking her in the cell , stargher has a traumatic experience that triggers a schizophrenic virus in his brain and causes him to sink in an eternal catatonia . 	just after kidnapping his latest victim and locking her in the cell , stargher has a traumatic experience that triggers a schizophrenic virus in his brain and causes him to sink in an eternal catatonia .	1	-4	 just[0] after[0] kidnapping[0] his[0] latest[0] victim[-2] and[0] locking[0] her[0] in[0] the[0] cell[0] stargher[0] has[0] a[0] traumatic[-3] experience[0] that[0] triggers[0] a[0] schizophrenic[0] virus[0] in[0] his[0] brain[0] and[0] causes[0] him[0] to[0] sink[0] in[0] an[0] eternal[0] catatonia[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the police , led by fbi agent peter novak ( vince vaughn ) are able to locate stargher by some clues he left while dumping his previous victim's body , but they feel all hope is lost for his current victim due to his vegetative state . 	the police , led by fbi agent peter novak ( vince vaughn ) are able to locate stargher by some clues he left while dumping his previous victim's body , but they feel all hope is lost for his current victim due to his vegetative state .	3	-3	 the[0] police[0] led[0] by[0] fbi[0] agent[0] peter[0] novak[0] vince[0] vaughn[0] are[0] able[0] to[0] locate[0] stargher[0] by[0] some[0] clues[0] he[0] left[0] while[0] dumping[-1] his[0] previous[0] victim's[-2] body[0] but[0] they[0] feel[0] all[0] hope[2] is[0] lost[0] for[0] his[0] current[0] victim[-2] due[0] to[0] his[0] vegetative[0] state[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in a last ditch attempt , they ask deane and the scientists that created the project to undergo the frightening task of entering stargher's mind to try and find the location of the victim locked in the deadly cell . . . 	in a last ditch attempt , they ask deane and the scientists that created the project to undergo the frightening task of entering stargher's mind to try and find the location of the victim locked in the deadly cell .<br> .<br> .	1	-4	 in[0] a[0] last[0] ditch[0] attempt[0] they[0] ask[0] deane[0] and[0] the[0] scientists[0] that[0] created[0] the[0] project[0] to[0] undergo[0] the[0] frightening[-3] task[0] of[0] entering[0] stargher's[0] mind[0] to[0] try[0] and[0] find[0] the[0] location[0] of[0] the[0] victim[-2] locked[0] in[0] the[0] deadly[-1] cell[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a cell which will completely fill with water in the next 40 hours ! 	a cell which will completely fill with water in the next 40 hours !	1	-1	 a[0] cell[0] which[0] will[0] completely[0] fill[0] with[0] water[0] in[0] the[0] next[0] 40[0] hours[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
initial reports about this film described it as a cross between the silence of the lambs and the matrix . 	initial reports about this film described it as a cross between the silence of the lambs and the matrix .	1	-2	 initial[0] reports[0] about[0] this[0] film[0] described[0] it[0] as[0] a[0] cross[-1] between[0] the[0] silence[0] of[0] the[0] lambs[0] and[0] the[0] matrix[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while it does share some characteristics with both films ( particularly the first forty minutes , which seem almost like a condensed version of lambs ) , the cell also seems to contain elements of dreamscape and brainstorm . 	while it does share some characteristics with both films ( particularly the first forty minutes , which seem almost like a condensed version of lambs ) , the cell also seems to contain elements of dreamscape and brainstorm .	2	-1	 while[0] it[0] does[0] share[0] some[0] characteristics[0] with[0] both[0] films[0] particularly[0] the[0] first[0] forty[0] minutes[0] which[0] seem[0] almost[0] like[1] a[0] condensed[0] version[0] of[0] lambs[0] the[0] cell[0] also[0] seems[0] to[0] contain[0] elements[0] of[0] dreamscape[0] and[0] brainstorm[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the buzz around this project is that first-time feature film director tarsem singh ( who won many awards for his video of r . e . m . 's " losing my religion " ) wanted a script that he could fashion images out of instead of a cohesive story , and a good portion of this film supports that theory . 	the buz around this project is that first-time feature film director tarsem singh ( who won many awards for his video of are .<br> e .<br> m .<br> 's " losing my religion " ) wanted a script that he could fashion images out of instead of a cohesive story , and a good portion of this film supports that theory .	2	-3	 the[0] buzz/buz[0] around[0] this[0] project[0] is[0] that[0] first[0] time[0] feature[0] film[0] director[0] tarsem[0] singh[0] who[0] won[0] many[0] awards[0] for[0] his[0] video[0] of[0] r[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] m[0] [[Sentence=-1,1=word max, 1-5]] 's[0] losing[-2] my[0] religion[0] wanted[0] a[0] script[0] that[0] he[0] could[0] fashion[0] images[0] out[0] of[0] instead[0] of[0] a[0] cohesive[0] story[0] and[0] a[0] good[1] portion[0] of[0] this[0] film[0] supports[1] that[0] theory[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
